name,country,city,type,address,website,email,phone,status
Παιχνίδια Μουστάκας Μοναστηράκι,Greece,Athens,board game store,"Ermou 87-89, Athina 105 55, Greece",http://www.moustakastoys.gr/,orders@moustakastoys.gr,21 0321 0410,contacted
Dimitris Gounaris - Chess,Greece,Athens,board game store,"Ifestou 11, Athina 105 55, Greece",http://www.chesstavli.com/,info@chesstavli.com,21 0321 7488,contacted
Puzzle World,Greece,Athens,board game store,"Omirou 27, Athina 106 72, Greece",http://www.puzzleworld.gr/,info@puzzleworld.gr,21 0363 5517,contacted
"Παιδικά Παιχνίδια, Υπολογιστές, Περιφερειακά - Game Arena",Greece,Athens,board game store,"Petroupoleos 20, Athina 131 23, Greece",https://gamearena.gr/,info@gamearena.gr,21 0220 1705,contacted
The Console Club - Videogames,Greece,Athens,game shop,"Leof. Irakliou 378, Iraklio 141 22, Greece",http://www.theconsoleclub.gr/,info@theconsoleclub.gr,21 0281 0019,contacted
e-katastima.com,Greece,Athens,game shop,"Moraitini 14, Athina 104 45, Greece",https://www.e-katastima.com/,info@e-katastima.com,21 0364 8038,contacted
Gamescape TCG Store,Greece,Athens,game shop,"I. Metaxa 10, Ag. Dimitrios 173 43, Greece",http://www.gamescape.gr/,info@gamescape.gr,21 1001 1626,contacted
ZOUZOU Toys Athens,Greece,Athens,toy store,"Voukourestiou 26, Athina 106 71, Greece",http://www.zouzoutoys.gr/,info@zouzoutoys.gr,21 0363 9182,contacted
Hello Kids,Greece,Athens,toy store,"Char. Trikoupi 6-10, Athina 106 79, Greece",http://hellokids.gr/,hello@hellokids.gr,21 0682 8809,contacted
ΤΟ ΠΑΙΧΝΙΔΙ,Greece,Athens,toy store,"Solonos 12, Athina 106 73, Greece",http://www.the-toy.gr/,info@the-toy.gr,21 0363 1652,contacted
"Kleidas, D., & Co. E.E.",Greece,Athens,toy store,"Kaniggos 5, Athina 106 77, Greece",http://www.kleidas.gr/,info@kleidas.gr,21 0524 5860,contacted
HAPPY,Greece,Athens,toy store,"Kapsali 8, Athina 106 74, Greece",http://instahappy.gr/,info@instahappy.gr,21 0729 4899,contacted
Moustakas,Greece,Athens,toy store,"Titanon 27, Elliniko 167 77, Greece",http://www.moustakastoys.gr/,orders@moustakastoys.gr,21 0990 4210,contacted
NewAsianMarket,Greece,Athens,Japanese store,"Lavragka 8, Athina 104 44, Greece",http://www.newasianmarket.gr/,info@newasianmarket.gr,21 3033 5049,contacted
NYX Japanese Rooftop Gastrobar,Greece,Athens,Japanese store,"Omirou 19, Athina 106 19, Greece",http://www.nyxrooftop.com/,hello@nyxrooftop.com,698 151 8000,contacted
PLASTIMODELLISMO - ΕΙΔΗ ΜΟΝΤΕΛΙΣΜΟΥ,Greece,Athens,hobby shop,"Theodoritou Vresthenis 39, Athina 106 80, Greece",https://www.pla.gr/,info@pla.gr,21 0361 3011,contacted
the paper place co.,Greece,Athens,hobby shop,"Kolokotroni 27, 10562, Athina 105 62, Greece",http://www.thepaperplace.gr/,sales@thepaperplace.gr,21 0321 6416,contacted
Hobby Gallery scale models shop,Greece,Athens,hobby shop,"Stilianou Gonata 1, Thessaloniki 546 21, Greece",http://www.hobbygallery.gr/,info@hobbygallery.gr,231 028 6038,contacted
Greek Souvenirs Store,Greece,Athens,gift shop,"Mitropoleos 57, Athina 105 55, Greece",https://greek-souvenirs-store.com/,info@greek-souvenirs-store.com,21 0331 5162,contacted
Flâneur Souvenirs & Supplies,Greece,Athens,gift shop,"Flessa 1, Athina 105 58, Greece",http://flaneur-shop.gr/,info@flaneur-shop.gr,21 0322 6900,contacted
Thiki Greece,Greece,Athens,gift shop,"120, Adrianou street, Athina 105 58, Greece",http://www.thikigreece.com/,info@thikigreece.com,21 0323 5234,contacted
Nomad Concept Store,Greece,Athens,concept store,"Adrianou 59, Athina 105 56, Greece",http://www.nomadconceptstore.com/,info@nomadconceptstore.com,,contacted
Modernon Retrosexual Vintage Shop,Greece,Athens,concept store,"Agias Irinis 3, Athina 105 51, Greece",https://www.retrosexual.gr/,info@modernon.gr,21 0545 1553,contacted
HÄC CONCEPT STORE,Greece,Athens,concept store,"Kerkiras 40, Athina 113 62, Greece",https://hacconceptstore.com/,hello@hacconceptstore.com,21 1002 4284,contacted
A FUTURE PERFECT + FRIENDS,Greece,Athens,concept store,"Praxitelous 23, Athina 105 62, Greece",http://www.afutureperfect.gr/,info@afutureperfect.gr,697 430 4656,contacted
CaptainBook.gr,Greece,Athens,bookstore,"5th floor Σόλωνος 99 5ος όροφος, Athina 106 78, Greece",http://captainbook.gr/,info@captainbook.gr,21 0384 6805,contacted
Patakis Bookstore,Greece,Athens,bookstore,"Akadimias 65, Athina 106 78, Greece",http://www.vivliopoleiopataki.gr/,bookstore@patakis.gr,21 0381 1850,contacted
Le Livre Ouvert,Greece,Athens,bookstore,"Solonos 77, Athina 106 79, Greece",http://www.lelivreouvert.gr/,info@lelivreouvert.gr,21 0362 9703,contacted
NOTOS EDITION LTD,Greece,Athens,bookstore,"Omirou 15, Athina 106 72, Greece",http://www.notosplusbooks.gr/,info@notosbooks.gr,21 0362 9746,contacted
OldBooks Store Stathmos,Greece,Athens,bookstore,"Astiggos 4, Athina 105 55, Greece",http://www.stathmosbooks.gr/,info@stathmosbooks.gr,21 1213 8894,contacted
ComicStrip,Greece,Athens,comic shop,"Solonos 125, Athina 106 78, Greece",https://comicstrip.gr/,info@comicstrip.gr,21 5540 2852,contacted
Jemma-Tilt,Greece,Athens,comic shop,"Asklipiou 37, Athina 106 80, Greece",http://www.jemmacomics.com/,info@jemmacomics.com,21 0363 6028,contacted
Nerdom,Greece,Athens,comic shop,"Kallirrois 17, Athina 117 43, Greece",http://www.nerdom.gr/,info@nerdom.gr,21 0923 0883,contacted
Comicworld Store (Πεφάνης Γ. Ανδρέας),Greece,Athens,comic shop,"Ag. Varvaras 1, Koridallos 181 20, Greece",http://www.comicworld.gr/,info@comicworld.gr,21 0495 7843,contacted
Jemma Βooks & Comics - Jemma Press,Greece,Athens,comic shop,"Alkiviadou 138-140, Pireas 185 35, Greece",http://www.jemmacomics.com/,info@jemmacomics.com,21 0422 7664,contacted
Myran - Scandinavian Design,Greece,Athens,design shop,"Fokilidou 3, Athina 106 73, Greece",http://www.myran.gr/,info@myran.gr,21 0382 4744,contacted
Paris Valtadoros (Athens Boutique),Greece,Athens,design shop,"Voukourestiou 37, Athina 106 73, Greece",http://www.parisvaltadoros.com/,sales@parisvaltadoros.com,21 0364 8017,contacted
MOID Greek Designer,Greece,Athens,design shop,"Ermou 122, Athina 105 54, Greece",https://moid.gr/,info@moid.gr,21 0323 2617,contacted
Paraphernalia | Athens,Greece,Athens,design shop,"loannou Paparrigopoulou 15, Athina 105 61, Greece",https://www.paraphernalia.gr/,hello@paraphernalia.gr,21 3034 3663,contacted
eFantasy.gr Games 'n' Comics,Greece,Thessaloniki,board game store,"Ermou 55, Thessaloniki 546 23, Greece",http://www.efantasy.gr/,info@efantasy.gr,231 302 1171,contacted
Toys-shop.gr Aristotelous,Greece,Thessaloniki,board game store,"Aristotélous 10, Thessaloniki 546 23, Greece",https://www.toys-shop.gr/,info@toys-shop.gr,231 022 0051,contacted
eFantasy.gr Game Arena,Greece,Thessaloniki,board game store,"Leonida Iasonidou 8, Thessaloniki 546 35, Greece",https://www.efantasy.gr/,info@efantasy.gr,231 325 3182,contacted
My Greek Games,Greece,Thessaloniki,board game store,"Kallitheas 18, Thessaloniki 565 32, Greece",http://www.mygreekgames.com/,hello@mygreekgames.com,231 063 6465,contacted
Black Flame Collectibles,Greece,Thessaloniki,board game store,"Kouskoura 18, Thessaloniki 551 31, Greece",https://www.blackflamecollectibles.com/,info@blackflamecollectibles.com,694 376 6775,contacted
Playhouse,Greece,Thessaloniki,board game store,"Geor. Charalampous Kipriou 7, Thessaloniki 546 22, Greece",http://www.playhouse.gr/,info@playhouse.gr,231 026 1086,contacted
Χιονάτη κατάστημα παιχνιδιών,Greece,Thessaloniki,board game store,"Ionos Dragoumi 14, Thessaloniki 546 24, Greece",https://xionati.toys/,info@xionati.toys,231 027 7104,contacted
Λάμπρος Παιχνίδια,Greece,Thessaloniki,board game store,"Leof. Vasilissis Olgas 167, Thessaloniki 546 45, Greece",https://lambrostoys.gr/,info@lambrostoys.gr,698 704 7898,contacted
