name,country,city,type,address,website,email,phone,status
Donya Orientalische Lebensmittel,Germany,Bremen,Japanese store,"Bahnhofspl. 42, 28195 Bremen, Germany",https://donyamarket.de/,matinm.afshar@gmail.com,0421 95799361,contacted
Japan Plaza (Shochiku),Germany,Bremen,Japanese store,"Immermannstraße 15, 40210 Düsseldorf, Germany",https://japanplaza-shop.de/,online@japanfoodexpress.de,0211 365959,contacted
House of Sweets Bremen,Germany,Bremen,Japanese store,"Obernstraße 56, 28195 Bremen, Germany",http://www.house-of-sweets.com/,support@house-of-sweets.com,,contacted
Buddhawelt Teehaus,Germany,Bremen,Japanese store,"Vor dem Steintor 30, 28203 Bremen, Germany",https://buddhawelt.de/,info@buddhawelt.de,0421 78813,contacted
Yaki Sushi,Germany,Bremen,Japanese store,"Schwachhauser Heerstraße 6, 28203 Bremen, Germany",https://yakisushi.de/,yaki.sushi@yahoo.com,0421 84799199,contacted
Osaka Bremen,Germany,Bremen,Japan shop,"Knochenhauerstraße 16-17, 28195 Bremen, Germany",https://www.osaka-bremen.de/,info@osaka-bremen.de,0421 87828888,contacted
Gerstaecker Bremen,Germany,Bremen,hobby shop,"Überseetor 13, 28217 Bremen, Germany",http://www.gerstaecker.de/bremen,info@gerstaecker.com,0421 3887738,contacted
idee. Creativmarkt,Germany,Bremen,hobby shop,"Hutfilterstraße 24-26, 28195 Bremen, Germany",https://www.idee-shop.com/bastelladen-bremen/,service@idee-shop.com,0421 16899720,contacted
"Das Depot,Modelleisenbahnen,Modellautos und Zubehör",Germany,Bremen,hobby shop,"Verdener Str. 37, 28205 Bremen, Germany",http://www.dasdepot-online.de/,info@dasdepot-online.de,0421 43689888,contacted
Manufactum Warenhaus,Germany,Bremen,gift shop,"Domshof 8-12, 28195 Bremen, Germany",https://www.manufactum.de/manufactum-bremen-c199350/,info@manufactum.de,0421 89776540,contacted
Magellan Store,Germany,Bremen,gift shop,"Pieperstraße 5, 28195 Bremen, Germany",http://www.magellan-store.de/,info@magellan-store.de,0421 1685011,contacted
NANU-NANA,Germany,Bremen,gift shop,"Sögestraße 45, 28195 Bremen, Germany",https://unternehmen.nanu-nana.de/filiale/bremen-soegestr-45,info@nanu-nana.de,0421 3398066,contacted
Go Bäng !,Germany,Bremen,gift shop,"Knochenhauerstraße 20-25, 28195 Bremen, Germany",http://www.gobaeng.de/,info@gobaeng.de,0421 12132,contacted
Bremer Bonbon Manufaktur,Germany,Bremen,gift shop,"Böttcherstraße 8, 28195 Bremen, Germany",https://www.bremer-bonbon-manufaktur.de/,info@bremer-bonbon-manufaktur.de,0421 36491231,contacted
EuroShop,Germany,Bremen,gift shop,"Hutfilterstraße 17-19, 28195 Bremen, Germany",https://euroshop-online.de/filiale,info@euroshop-online.de,0931 90004128,contacted
Werkschau-Laden,Germany,Bremen,gift shop,"Böttcherstraße 8, 28195 Bremen, Germany",http://www.werkschau-boettcherstrasse.de/,info@boettcherstrasse.de,0421 3388226,contacted
Weihnachtsträume,Germany,Bremen,gift shop,"Marterburg 45, 28195 Bremen, Germany",http://www.weihnachtstraeume.de/,kontakt@weihnachtstraeume.de,0421 323262,contacted
Weltladen Bremen GmbH,Germany,Bremen,gift shop,"Ostertorsteinweg 90, 28203 Bremen, Germany",https://www.weltladen.de/bremen/,info@weltladen.de,0421 7949699,contacted
