name,country,city,type,address,website,email,phone,status
Xzone Brno,Czech Republic,Brno,board game store,"Palackého tř. 177/50, 612 00 Brno-Královo Pole, Czechia",http://www.xzone.cz/,xzone@xzone.cz,737 337 880,
KONZOLIŠTĚ,Czech Republic,Brno,board game store,"M. Horákové 1, 602 00 Brno-Brno-střed, Czechia",https://konzoliste.cz/?utm_source=google&utm_medium=gmb,obchod@konzoliste.cz,,
Rishada.cz,Czech Republic,Brno,board game store,"Antonína Slavíka 2, 602 00 Brno-sever, Czechia",http://www.rishada.cz/,60200obchod@rishada.cztel,777 820 735,
Hrana Stolu - Board Game Pub,Czech Republic,Brno,board game store,"Úvoz 466/8, 602 00 Brno-střed, Czechia",https://hranastolu.cz/,info@hranastolu.cz,730 274 546,
Sparkys,Czech Republic,Brno,board game store,"Masarykova 15, 602 00 Brno-střed, Czechia",https://www.sparkys.cz/,eshop@sparkys.cz,602 519 742,
AP games,Czech Republic,Brno,board game store,"Příkop 843/4, 602 00 Brno-střed, Czechia",http://www.apgames.cz/,info@apgames.cz,607 482 962,
Agátin svět Brno - Starobrněnská,Czech Republic,Brno,board game store,"Starobrněnská 13, 602 00 Brno-střed-Staré Brno, Czechia",https://www.agatinsvet.cz/,plzen@agatinsvet.cz,778 144 177,
Wildgame.cz - guns and hunting,Czech Republic,Brno,board game store,"Řípská 1525/11g, 627 00 Brno-Slatina, Czechia",http://www.wildgame.cz/,info@wildgame.cz,773 784 038,
Gamehole,Czech Republic,Brno,board game store,"Zeleného 803/13, 616 00 Brno-Brno-Žabovřesky, Czechia",https://www.gamehole.cz/,info@gamehole.cz,721 838 679,
Za Zrcadlem,Czech Republic,Brno,board game store,"Jaselská 199/16, 602 00 Brno-střed-Veveří, Czechia",http://www.cajovnazazrcadlem.cz/,info@cajovnazazrcadlem.cz,603 351 619,
PokešihoMat - První automat s Pokémony v ČR,Czech Republic,Brno,board game store,"nám. Svobody 702/9, 602 00 Brno-střed-Brno-město, Czechia",http://www.pokesihomat.cz/,info@pokesihomat.czwww.pokesihomat.czpravidla,,
HRAS - the world of board games and puzzles,Czech Republic,Brno,board game store,"pasáž Rokoko, Václavské nám. 794/38, 110 00 Praha 1-Nové Město, Czechia",http://www.hras.cz/,obchod@hras.cz,224 946 506,
Quest Games - Escape games Brno,Czech Republic,Brno,board game store,"Hybešova 69, Staré Brno, 602 00 Brno-Brno-střed, Czechia",http://www.questgames.cz/,team@questgames.cz,735 515 018,
The world of board games,Czech Republic,Brno,board game store,"Kubánské nám. 1268/9, 100 00 Praha 10-Vršovice, Czechia",http://www.svet-deskovych-her.cz/,info@svet-deskovych-her.cz,733 512 361,
Dětský eshop,Czech Republic,Brno,board game store,"Okružní 848/35A, 638 00 Brno-sever-Lesná, Czechia",https://www.detskyeshop.cz/,info@detskyeshop.cz,777 555 226,
Game Center Brno,Czech Republic,Brno,game shop,"9, Jánská 453, 602 00 Brno-střed, Czechia",https://www.gamecenterbrno.cz/,info@gamecenterbrno.cz,777 430 890,
ALBI prodejna - Campus Square Brno,Czech Republic,Brno,game shop,"Netroufalky 770/16, 625 00 Brno-Bohunice, Czechia",http://www.albi.cz/,eshop@albi.cz,733 157 649,
Mironet.cz Inc.,Czech Republic,Brno,game shop,"26, Křenová 299, 602 00 Brno-Brno-střed, Czechia",https://www.mironet.cz/,callcentrum@mironet.cz,234 700 880,
Bambule - Království hraček,Czech Republic,Brno,toy store,"Cimburkova 599/4A, 612 00 Brno-Královo Pole, Czechia",https://www.bambule.cz/,info@bambule.cz,727 805 707,
Nejbaby.cz - Hračky a kojenecké potřeby Brno,Czech Republic,Brno,toy store,"Palackého tř. 441/91, 612 00 Brno-Královo Pole, Czechia",http://www.nejbaby.cz/,objednavky@nejbaby.cz,777 911 014,
