name,country,city,type,address,website,email,phone,status
Brave New World,Germany,Cologne,board game store,"Herzogstraße 25, 50667 Köln, Germany",https://bravenewworld.biz/,braveneworldkoeln@gmail.com,0221 98040410,
Hiveworld - Christopher Ruddat,Germany,Cologne,board game store,"Hohe Str. 18, 50667 Köln, Germany",http://www.hiveworld.de/,info@hiveworld.comweb,0221 56077814,
Spielbrett Köln Inh. Nadine Pick,Germany,Cologne,board game store,"Engelbertstraße 5, 50674 Köln, Germany",http://www.spielbrett-koeln.de/,spielbrett@t-online.de,0221 231489,
Elbenwald,Germany,Cologne,board game store,"Hohe Str. 134, 50667 Köln, Germany",https://www.elbenwald.de/Elbenwald-Store-Koeln,e-mailinfo@elbenwald.de,0221 27098322,contacted
Card & Board Games Cologne e.V.,Germany,Cologne,board game store,"Metzer Str. 25, 50677 Köln, Germany",https://cbg.cologne/,cardboardgamescologne@gmail.com,,
retrospiel.com - neue Spiele für alte Konsolen,Germany,Cologne,board game store,"Gladbacher Str. 33, 50672 Köln, Germany",http://www.retrospiel.com/,info@retrospiel.com,0177 1914575,contacted
Manga-Mafia Store,Germany,Cologne,board game store,"Mittelstraße 3, 50672 Köln, Germany",https://manga-mafia.de/store-koeln,shopnospamplease@nospampleasemanga-mafia.de,0221 58923539,
Top Tables,Germany,Cologne,board game store,"Sternengasse 1B, 50676 Köln, Germany",https://www.top-tables.de/,contact@top-tables.de,0221 47674470,contacted
Gamer Köln - Die Gameshow,Germany,Cologne,game shop,"Mühlenbach 8, 50676 Köln, Germany",https://www.gamer.now/koeln?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=website_button,koeln@gamer.now,,contacted
Toysino,Germany,Cologne,toy store,"Im Rhein-Center, Aachener Str. 1253, 50858 Köln, Germany",https://www.toysino.de/,info@thalia.de,02234 9489681,contacted
Hampelmann Spielwaren,Germany,Cologne,toy store,"Merowingerstr. 37, 50677 Köln, Germany",http://www.hampelmann-spielwarenkoeln.de/,klikki64@gmail.com,0221 328213,
The RAVEN Cologne,Germany,Cologne,toy store,"Dürener Str. 225, 50931 Köln, Germany",https://www.derrabe.de/,rabepost@derrabe.de,0221 27784066,contacted
