name,country,city,type,address,website,email,phone,status
TINGTING Asiamarkt Völs,Austria,Innsbruck,Japanese store,"CYTA AREAL, Cytastraße 5, 6176 Völs, Austria",https://www.tingting.at/,asiamarkt.voels@tingting.at,0676 83289106,contacted
DEZ Innsbruck,Austria,Innsbruck,Japanese store,"Amraser-See-Straße 56a, 6020 Innsbruck, Austria",https://www.dez.at/,info@ece.com,0512 3250,contacted
TINGTING Asiamarkt DEZ,Austria,Innsbruck,Japanese store,"Eingang OST, Amraser-See-Straße 56a, 6020 Innsbruck, Austria",https://www.tingting.at/,asiamarkt.voels@tingting.at,0676 83289107,contacted
Meer Sensei,Austria,Innsbruck,Japan shop,"Maria-Theresien-Straße 35, 6020 Innsbruck, Austria",http://www.meersensei.at/,office@meersensei.at,0512 566633,contacted
"X Double Skateboards, Streetwear, Sneaker, Girls Corner",Austria,Innsbruck,Japan shop,"Leopoldstraße 32, 6020 Innsbruck, Austria",http://www.xdouble.com/,info@xdouble.com,0512 589228,contacted
Modellsport GesmbH,Austria,Innsbruck,hobby shop,"Amraser Str. 73, 6020 Innsbruck, Austria",http://www.ramo.at/,shop@ramo.at,0512 364280,contacted
DIE MODELLBAUER,Austria,Innsbruck,hobby shop,"Innstraße 23, 6020 Innsbruck, Austria",http://www.diemodellbauer.eu/,atelier@diemodellbauer.eu,0681 10364858,contacted
Steck Modellarchitektur,Austria,Innsbruck,hobby shop,"Weiherburggasse 5a, 6020 Innsbruck, Austria",http://www.modellarchitektur.at/,steck@modellarchitektur.at,0699 10059707,contacted
Airsoft Sports - Sportwaffen Selector,Austria,Innsbruck,hobby shop,"Haller Str. 55, 6020 Innsbruck, Austria",http://www.airsoft-sports.com/,office@airsoft-sports.com,0512 319486,contacted
Sportwaffen Selector GmbH,Austria,Innsbruck,hobby shop,"Haller Str. 55, 6020 Innsbruck, Austria",https://sportwaffen-selector.com/,office@sportwaffen-selector.com,0512 319486,contacted
Papelier — Raum für Grafik und Kreatives,Austria,Innsbruck,hobby shop,"Sillgasse 7, 6020 Innsbruck, Austria",https://papelier.at/,workshops@papelier.at,0677 62824342,contacted
Berlhofer-Farben,Austria,Innsbruck,hobby shop,"Amraser Str. 17, 6020 Innsbruck, Austria",http://www.berlhofer-farben.at/,info@berlhofer-farben.at,0512 343215,contacted
Golden Roof.shop-PRESENTS.tirol,Austria,Innsbruck,gift shop,"Herzog-Friedrich-Straße 5, 6020 Innsbruck, Austria",https://lasertechnik-oetztal.at/,info@lasertechnik-oetztal.at,0699 10881341,contacted
feinheiten - concept store,Austria,Innsbruck,gift shop,"Das Geschäft der schönen Dinge, Pfarrgasse 8, 6020 Innsbruck, Austria",https://www.feinheiten-innsbruck.at/,office@feinheiten-innsbruck.at,0512 908026,contacted
TIROLER EDLES,Austria,Innsbruck,gift shop,"Seilergasse 13, 6020 Innsbruck, Austria",http://tiroleredles.at/,58239311shop@tiroleredles.at,0512 58239311,contacted
House of Ambacht,Austria,Innsbruck,gift shop,"Wilhelm-Greil-Straße 1, 6020 Innsbruck, Austria",https://www.houseofambacht.com/,office@houseofambacht.comunternehmensform,0660 4556682,
A LA CARD Shop,Austria,Innsbruck,gift shop,"Sparkassenpl. 2, 6020 Innsbruck, Austria",http://www.a-la-card.shop/,office@a-la-card.shop,0512 584979,contacted
NANU-NANA,Austria,Innsbruck,gift shop,"Museumstraße 38, 6020 Innsbruck, Austria",https://unternehmen.nanu-nana.de/filiale/innsbruck-sillpark-museumstr-38,info@nanu-nana.de,0512 574790,contacted
ONE Innsbruck,Austria,Innsbruck,concept store,"Anichstraße 24, 6020 Innsbruck, Austria",http://www.oneinnsbruck.at/,shop@oneinnsbruck.com,0512 551329,contacted
NOWHERESTORE,Austria,Innsbruck,concept store,"Anichstraße 20, 6020 Innsbruck, Austria",http://www.nowherestore.at/,info@nowherestore.at,0660 5611050,contacted
ANDWELL Store,Austria,Innsbruck,concept store,"Viaduktbögen 52, 6020 Innsbruck, Austria",http://andwell.store/,319592hello@andwell.storemontag,0512 319592,
EINWALLER ANNA Designer Fashion,Austria,Innsbruck,concept store,"Herzog-Friedrich-Straße 38, 6020 Innsbruck, Austria",https://www.einwaller.com/,onlineshop@einwaller.com,0512 58586718,contacted
Patagonia Innsbruck,Austria,Innsbruck,concept store,"Maria-Theresien-Straße 57, 6020 Innsbruck, Austria",https://eu.patagonia.com/nl/en/patagonia-innsbruck-austria/store_2007196669.html,directsales.europe@patagonia.com,0512 319460,contacted
The Garderobe Innsbruck,Austria,Innsbruck,concept store,"Riesengasse 6, 6020 Innsbruck, Austria",http://www.thegarderobe.at/,info@thegarderobe.at,0676 7157990,contacted
rebekka ruétz,Austria,Innsbruck,concept store,"Valiergasse 58, 6020 Innsbruck, Austria",http://www.rebekkaruetz.com/,onlineshop@rebekkaruetz.com,0676 841625300,contacted
Petera,Austria,Innsbruck,concept store,"Maria-Theresien-Straße 18, 6020 Innsbruck, Austria",https://www.petera.at/,mailto:hello@petera.at,0512 58486017,contacted
EINWALLER ICON Designer Fashion,Austria,Innsbruck,concept store,"Herzog-Friedrich-Straße 37, 6020 Innsbruck, Austria",https://www.einwaller.com/,onlineshop@einwaller.com,0512 58586721,contacted
The Grasshopper,Belgium,Brussels,board game store,"Rue du Marché aux Herbes 39, 1000 Bruxelles, Belgium",http://www.thegrasshopper.be/,info@thegrasshopper.be,02 511 96 22,contacted
SAJOU,Belgium,Brussels,board game store,"Av. de Jette 298, 1090 Jette, Belgium",https://www.sajou.be/,info@sajou.be,02 427 08 87,contacted
Multi BD,Belgium,Brussels,board game store,"Bd Anspach 122, 1000 Bruxelles, Belgium",http://www.multibd.com/,info@multibd.com,02 513 72 35,contacted
Le Bar à Jeux,Belgium,Brussels,board game store,"Chau. d'Alsemberg 136, 1060 Saint-Gilles, Belgium",https://lebarajeux.shop/,info@lebarajeux.be,02 850 23 83,contacted
Gamealot,Belgium,Brussels,board game store,"Amerlolaan 8, 2900 Schoten, Belgium",https://gamealot.shop/,hello@gamealot.shop,0498 62 01 72,contacted
Oli Wood Toys Etterbeek,Belgium,Brussels,board game store,"Etterbeek, Av. de la Chasse 94A, 1040 Bruxelles, Belgium",http://www.oliwoodtoys.be/?utm_source=google&utm_medium=mybusiness&utm_campaign=GMB-Etterbeek,info@oliwoodtoys.be,02 319 53 91,contacted
Gamestate Brussels,Belgium,Brussels,game shop,"Bd Anspach 13, 1000 Bruxelles, Belgium",https://www.gamestate.com/fr/bruxelles?utm_source=googlemijnbedrijf&utm_medium=organic,info@gamestate.com,02 592 00 84,contacted
Ichiban,Belgium,Brussels,game shop,"Bd Anspach 94, 1000 Bruxelles, Belgium",http://www.ichiban-store.be/,ichibanbxl@gmail.com,02 304 02 15,contacted
Serneels,Belgium,Brussels,toy store,"Av. Louise 69, 1050 Bruxelles, Belgium",https://serneels.be/,info@serneels.be,02 538 30 66,contacted
OliWood Toys STOCKEL,Belgium,Brussels,toy store,"Avenue Baron Albert d'Huart 24-26-28, 1150 Bruxelles, Belgium",https://oliwoodtoys.be/?utm_source=google&utm_medium=mybusiness&utm_campaign=GMB-Stockel,info@oliwoodtoys.be,02 672 79 72,contacted
Woodee,Belgium,Brussels,toy store,"Av. Félix Marchal 31/A, 1030 Schaerbeek, Belgium",http://www.woodee.be/,coline.woodee@gmail.com,02 742 33 56,contacted
Oli Wood Toys,Belgium,Brussels,toy store,"Chau. de Waterloo 529, 1050 Ixelles, Belgium",https://oliwoodtoys.be/?utm_source=google&utm_medium=mybusiness&utm_campaign=GMB-Ixelles,info@oliwoodtoys.be,02 319 53 95,contacted
DONG CO,Belgium,Brussels,toy store,"Rue du Midi 33, 1000 Bruxelles, Belgium",https://dong-co.com/,dong-co@hotmail.com,02 503 36 88,contacted
Kam Yuen Supermarket,Belgium,Brussels,Japanese store,"Rue de la Vge Noire 2, 1000 Bruxelles, Belgium",https://kam-yuen.com/,info@kam-yuen.be,02 511 48 68,contacted
Boutique Japan,Belgium,Brussels,Japanese store,"Rue Sainte-Catherine 15, 1000 Bruxelles, Belgium",http://www.boutiquejapan.be/,japan_bxl07@yahoo.fr,0495 26 86 68,contacted
Haru Chan / Japanese Grocery Store - SUSHI - BENTO,Belgium,Brussels,Japanese store,"Rue des Bégonias 17, 1170 Watermael-Boitsfort, Belgium",http://sowatrading.be/,info@sowatrading.be,02 660 06 66,contacted
Ken Chan,Belgium,Brussels,Japanese store,"Rue Kelle 120, 1150 Woluwe-Saint-Pierre, Belgium",http://sowatrading.be/,info@sowatrading.be,02 771 72 24,contacted
Suwada - Japanese Gift Shop,Belgium,Brussels,Japanese store,"Rue Stevin 117A, 1000 Bruxelles, Belgium",http://suwada1926.com/,info@suwada1926.com,0492 07 31 57,contacted
BHM (Brussels Hobby Models),Belgium,Brussels,hobby shop,"Rue François Vekemans 125, 1120 Bruxelles, Belgium",http://www.bhm.be/,mag@bhm.be,02 262 38 04,contacted
Tracks and wings,Belgium,Brussels,hobby shop,"Rue des Alliés 40, 1190 Forest, Belgium",http://www.tracksandwings.be/,info@tracksandwings.be,02 527 90 19,contacted
Present,Belgium,Brussels,gift shop,"Rue du Marché aux Herbes 46, 1000 Bruxelles, Belgium",https://herecomespresent.com/,hello@herecomespresent.comwhatsapp,,
Hopono - Concept Store Bruxelles,Belgium,Brussels,gift shop,"Rue Simonis 51/53 - 55, 1050 Bruxelles, Belgium",https://www.hopono-shop.com/,hello@hopono-shop.com,02 725 20 72,contacted
Euro-House,Belgium,Brussels,gift shop,"Rue de l'Étuve 1000, 1000 Bruxelles, Belgium",http://www.promotioneurope.com/,info@promotioneurope.com,02 511 91 90,contacted
