name,country,city,type,address,website,email,phone,status
Toy Museum Salzburg,Austria,Salzburg,toy store,"Bürgerspitalgasse 2, 5020 Salzburg, Austria",http://www.spielzeugmuseum.at/,katharina.ulbing@salzburgmuseum.at,0662 620808300,contacted
Hobby-Sommer GesmbH & Co KEG,Austria,Salzburg,toy store,"Schrannengasse 6, 5020 Salzburg, Austria",https://hobbysommer.com/,info@hobbysommer.com,0662 8748880,contacted
Hangar-7 Shop,Austria,Salzburg,toy store,"Wilhelm-Spazier-Straße 7a, 5020 Salzburg, Austria",https://www.hangar-7.com/de/shop/merchandising-shop,willkommen@hangar-7.com,0662 2197,contacted
Red Bull World Salzburg,Austria,Salzburg,toy store,"Getreidegasse 34, 5020 Salzburg, Austria",http://www.redbullworld.at/,info@redbullworld.at,0662 843605,contacted
Asian specialty market,Austria,Salzburg,Japanese store,"Schrannengasse 2, 5020 Salzburg, Austria",http://www.asiamarkt-salzburg.com/,asiamarkt-salzburg@aon.atfolge,0662 873668,
Look! Asia Supermarkt,Austria,Salzburg,Japanese store,"Schallmooser Hauptstraße 29, 5020 Salzburg, Austria",https://u1151171.at.heise-webseiten.de/,linjing3320@gmail.com,0662 874751,contacted
Nippon-Ya 日本屋 | Japanmarkt,Austria,Salzburg,Japanese store,"Faulmanngasse 5, 1040 Wien, Austria",http://www.nipponya.at/,office@nippon-ya.at,01 5861084,contacted
Asia Food - LongLong,Austria,Salzburg,Japanese store,"Maxglaner Hauptstraße 12, 5020 Salzburg, Austria",https://asia-salzburg.at/,longlong@asia-salzburg.atweb,0662 820393,
TEA & Co,Austria,Salzburg,Japanese store,"Griesgasse 7, 5020 Salzburg, Austria",https://www.teaandco.at/,office@tee.co.at,0676 7356914,contacted
Koi Japan Restaurant,Austria,Salzburg,Japanese store,"Rainerstraße 30, 5020 Salzburg, Austria",https://koisalzburg.at/,koi.salzburg@gmail.com,0660 4371426,contacted
NAGANO,Austria,Salzburg,Japanese store,"Griesgasse 19A, 5020 Salzburg, Austria",https://www.nagano-salzburg.com/,kontakt@naganosalzburg.comgastronomiebetriebuid,0662 849488,
Koi Alm Salzburg,Austria,Salzburg,Japanese store,"Grünauerstraße 17, 5071 Wals, Austria",http://www.koialm-salzburg.at/,office@koialm-salzburg.at,0664 4000834,contacted
Japan-Shop Shirakura,Austria,Salzburg,Japanese store,"Klammstraße 6, 4020 Linz, Austria",https://www.japan-shop.at/,office@japan-shop.at,0650 9022488,contacted
Aekshea World Supermarket,Austria,Salzburg,Japanese store,"Sterneckstraße 31/33, 5020 Salzburg, Austria",https://www.aeksheafoods.at/?lang=de,info@aeksheafoods.at,0662 880138,contacted
Mila Markt,Austria,Salzburg,Japanese store,"Kiesel Passage Shop 21, Rainerstraße 21, 5020 Salzburg, Austria",http://www.milamarkt.at/,hello@milamarkt.at,0664 5343588,contacted
Boba and Chill Salzburg,Austria,Salzburg,Japanese store,"Rudolfskai 4, 5020 Salzburg, Austria",https://www.bubbleteasalzburg.at/,uhrhello@bubbleteasalzburg.at,0660 2233184,contacted
Tokyo Bay,Austria,Salzburg,Japanese store,"Ignaz-Harrer-Straße 38, 5026 Salzburg, Austria",https://www.tokyobay.at/,info@tokyobay.at,0662 243106,contacted
Heimatkunst Lackner - Souvenirs & Cuckoo Clocks,Austria,Salzburg,Japan shop,"Badergäßchen 2, Sterngäßchen 4, 5020 Salzburg, Austria",http://www.cuckooclocks.shop/,office@woodart.at,0662 842385,contacted
Yaoyao,Austria,Salzburg,Japan shop,"Europastraße 1, 5020 Salzburg, Austria",http://www.yaoyao.at/,office@yaoyao.atschlie,0662 257447,
bachhuber-hobby,Austria,Salzburg,hobby shop,"Industriestraße 20, 83395 Freilassing, Germany",https://bachhuber-hobby-shop.de/,info@bachhuber-hobby.de,08654 7755793,contacted
MK Racing GmbH,Austria,Salzburg,hobby shop,"Siezenheimer Str. 151, 5020 Salzburg, Austria",https://www.mkracing.eu/,office@mkracing.eu,0662 431643,contacted
bastlerecke-neu GmbH,Austria,Salzburg,hobby shop,"Kaiser-Karl-Straße 1 / Ecke, Maxglaner Hauptstraße 22, 5020 Salzburg, Austria",https://www.bastlerecke-neu.at/kontakt,bastlerecke-neu@gmx.at,0662 847027,contacted
scm-modellbau e.U.,Austria,Salzburg,hobby shop,"Kalkofenweg 4/2, 5400 Hallein, Austria",https://www.scm-modellbau.com/,info@scm-modellbau.com,0664 8474477,contacted
Geschenke aus den Stadtarkaden,Austria,Salzburg,gift shop,"Getreidegasse 5, 5020 Salzburg, Austria",http://www.geschenke-stadtarkaden.at/,office@creativer-schenken.com,0664 9503491,contacted
Christmas In Salzburg (the store),Austria,Salzburg,gift shop,"Judengasse 11, 5020 Salzburg, Austria",http://www.christmas-in-salzburg.at/,office@christmas-in-salzburg.at,0664 5357111,contacted
Handmade Salzburg Souvenirs since 1894,Austria,Salzburg,gift shop,"Badergäßchen 2, 5020 Salzburg, Austria",http://www.woodart.at/,office@woodart.at,0662 842385,contacted
The Living Store,Austria,Salzburg,gift shop,"Kaigasse 36-38/1, 5020 Salzburg, Austria",http://www.thelivingstore.at/,office@thelivingstore.at,0662 621404,contacted
NANU-NANA,Austria,Salzburg,gift shop,"EKZ Forum 1 Salzburg, Südtiroler Pl. 13, 5020 Salzburg, Austria",https://unternehmen.nanu-nana.de/filiale/salzburg-ekz-forum-1,info@nanu-nana.de,0662 458012,contacted
Trachten & Souvenir Salzburg,Austria,Salzburg,gift shop,"Getreidegasse 17, 5020 Salzburg, Austria",http://www.trachtenwelt.com/,shop@trachtenwelt.com,0660 9636497,contacted
Christmas & Easter Store,Austria,Salzburg,gift shop,"Judengasse 10, 5020 Salzburg, Austria",https://www.christmas-easter-store.at/,christmas-easter.salzburg@hotmail.com,0662 840689,contacted
