name,country,city,type,address,website,email,phone,status
Boutique Racing Club de Strasbourg,France,Strasbourg,concept store,"1 Rue de la Mésange, 67000 Strasbourg, France",https://boutique.rcstrasbourgalsace.fr/,boutique@rcstrasbourgalsace.fr,07 43 15 23 74,contacted
Celeste,France,Strasbourg,concept store,"30 Grand'Rue, 67000 Strasbourg, France",https://www.boutiqueceleste.com/,celeste@boutiqueceleste.com,09 80 31 98 49,contacted
EXCALIBUR - Magasin de Jeux de Société - Montpellier,France,Montpellier,board game store,"7 Rue de l'Ancien Courrier, 34000 Montpellier, France",https://www.excalibur34.fr/,contact@excalibur34.fr,04 67 60 81 33,contacted
Tableraze,France,Montpellier,board game store,"4 Rue Joseph Vidal, 34000 Montpellier, France",https://tablerazemontpellier.com/,montpelliertableraze.montpellier@outlook.fr,06 72 56 98 87,contacted
Cartapapa,France,Montpellier,board game store,"21 Rue des Étuves, 34000 Montpellier, France",http://www.cartapapa.fr/,48cartapapa@hotmail.fr,04 67 55 73 48,contacted
WARHAMMER,France,Montpellier,board game store,"2 Rue Draperie Saint-Firmin, 34000 Montpellier, France",http://www.warhammer.com/,titanicusfaq@gwplc.com,04 48 18 86 48,contacted
Archi Chouette Jeux et Jouets Montpellier,France,Montpellier,board game store,"10 Rue du Palais des Guilhem, 34000 Montpellier, France",https://archi-chouette.fr/,lyonsupport@archi-chouette.fr,04 67 60 76 34,contacted
La Grande Récré,France,Montpellier,board game store,"CC POLYGONE, 1 Rue des Pertuisanes, 34070 Montpellier, France",https://www.lagranderecre.fr/magasins/montpellier.html,rgpd@lagranderecre.com,04 67 22 13 52,contacted
GAME TAVERNE - Bar à jeux & Cocktails,France,Montpellier,board game store,"22 Rue de Candolle, 34000 Montpellier, France",http://www.gametaverne.fr/,gametaverne@gmail.com,06 31 63 72 22,contacted
ARG!,France,Montpellier,board game store,"4 bis Av. Georges Clemenceau, 34000 Montpellier, France",https://www.arg-montpellier.fr/,contact@arg-montpellier.fr,04 34 43 10 13,contacted
ESCAPEGAME.LOL - Escape Game Montpellier,France,Montpellier,game shop,"12 Rue Farges, 34000 Montpellier, France",https://escapegame.lol/,contact@escapegame.lol,06 51 63 89 59,contacted
Heroes Place,France,Montpellier,game shop,"6 Rue d'Alger, 34000 Montpellier, France",https://heroesplace.fr/,contact@heroesplace.fr,09 72 85 84 55,contacted
JouéClub,France,Montpellier,toy store,"Rond point du, 163 Rue Alexander Fleming, 34430 Saint-Jean-de-Védas, France",https://www.joueclub.fr/magasin/joueclub-saint-jean-de-vedas.html,jc-stjean@joueclub.net,04 99 52 88 00,contacted
TANUKI MANGA STORE,France,Montpellier,Japanese store,"43 Grand Rue Jean Moulin, 34000 Montpellier, France",https://www.tanukimangastore.fr/,montpellier@tanukimangastore.fr,06 52 17 57 02,contacted
"De La Luce, pâtisseries & salon de thé japonais",France,Montpellier,Japanese store,"1 Rue Saint-Come, 34000 Montpellier, France",https://www.delaluce.com/,contactinfo@delaluce.com,04 99 66 71 30,contacted
YUKIMA,France,Montpellier,Japanese store,"476 Av. Albert Einstein, 34000 Montpellier, France",http://www.yukima.fr/,info@yukima.fr,04 67 85 75 92,contacted
Wei sin,France,Montpellier,Japanese store,"45-47 Av. Georges Clemenceau, 34000 Montpellier, France",https://weisin-epicerie.com/,hello@weisin.com,04 67 06 92 43,contacted
Nishikidôri : épicerie fine japonaise,France,Montpellier,Japanese store,"Locaux PALMIFRANCE, 140 Rue Georges Guynemer ZAC de l’Aéropôle, 44150, 44150 Ancenis-Saint-Géréon, France",https://www.nishikidori.com/fr/,sav@nishikidori.com,02 40 83 33 99,contacted
