name,country,city,type,address,website,email,phone,status
Games of the World,France,Toulouse,board game store,"77 Rue Pargaminières, 31000 Toulouse, France",http://www.jeuxdumonde.fr/,contact@jeuxdumonde.fr,05 61 23 73 88,contacted
Univers Parallèle,France,Toulouse,board game store,"36 Rue Sainte-Ursule, 31000 Toulouse, France",http://www.univers-parallele.fr/,u.p@wanadoo.fr,05 62 30 84 74,contacted
TABLERAZE TOULOUSE,France,Toulouse,board game store,"112-114 Av. de Muret, 31300 Toulouse, France",https://tablerazetoulouse31.hiboutik.com/shop/,tableraze.toulouse@outlook.com,09 51 93 55 22,contacted
Figurines Toulouse : King Games Figurines,France,Toulouse,board game store,"17 Rue de Neouvielle, 31120 Portet-sur-Garonne, France",https://www.king-games.fr/,kgportet@gmail.com,05 61 72 03 11,contacted
Sabretache,France,Toulouse,board game store,"1B Rue Pargaminières, 31000 Toulouse, France",http://sabretache.org/,contact-mag@sabretache.fr,05 61 21 34 57,contacted
LIBERTY Toys,France,Toulouse,board game store,"14 Rue du Taur, 31000 Toulouse, France",http://www.libertytoys.com/,%6c%69%62%65%72%74%79%74%6f%79%73@%6f%72%61%6e%67%65.%66%72,05 62 27 06 69,
Le Cercle du Jeu,France,Toulouse,board game store,"26b Av. des Pyrénées, 31830 Plaisance-du-Touch, France",http://www.lecercledujeu.fr/,contact@lecercledujeu.fr,09 78 80 61 71,contacted
Imagin'ères,France,Toulouse,board game store,"17 Rue Sainte-Ursule, 31000 Toulouse, France",http://www.imagineres.fr/,contact@imagineres.fr,05 61 21 34 49,contacted
La grande récré TOULOUSE,France,Toulouse,toy store,"55 Rue Saint-Rome, 31000 Toulouse, France",https://www.lagranderecre.fr/magasins/toulouse.html,rgpd@lagranderecre.com,05 61 29 07 15,contacted
Bonhomme de Bois Toulouse - Magasin de jouets,France,Toulouse,toy store,"22 Rue Sainte-Ursule, 31000 Toulouse, France",https://www.bonhommedebois.com/bonhomme-de-bois-toulouse---centre-commercial,serviceclient@bonhommedebois.com,05 62 30 10 30,contacted
Balmakids,France,Toulouse,toy store,"43 Av. des Mimosas, 31130 Balma, France",https://www.balmakids.com/,balmakids@gmail.com,05 61 46 75 87,contacted
Au petit Japon,France,Toulouse,Japanese store,"31 Rue de la Colombette, 31000 Toulouse, France",https://www.aupetitjapon.fr/,contact@aupetitjapon.frcontactez,05 31 22 52 23,
Toulouse Saké Club - Epicerie Fine Japonaise Et Vente De Sakés Japonais,France,Toulouse,Japanese store,"19 Rue de Caumont, 31500 Toulouse, France",http://toulousesakeclub.com/,yokoso@toulousesakeclub.com,07 80 97 28 63,contacted
MIASIA 梁品铺子,France,Toulouse,Japanese store,"50 Rue Pharaon, 31000 Toulouse, France",http://www.miasia.fr/,miasia31000@gmail.com,06 58 95 56 48,contacted
Arrow Workshop - Modern Haberdashery,France,Toulouse,hobby shop,"11 Rue Sainte-Ursule, 31000 Toulouse, France",http://www.arrow-workshop.com/,benjamin.dula@gmail.com,,contacted
