name,country,city,type,address,website,email,phone,status
Chobanov Games,Bulgaria,Varna,board game store,"Varna CenterOdesos, ul. ""Praga"" 15, 9000 Varna, Bulgaria",https://chobanovgamesltd.com/,contact@chobanovgamesltd.comphone,,
Tea Toys | Детски играчки | Плюшени играчки,Bulgaria,Varna,board game store,"на гърба на Диес хоум, Western Industrial ZoneVladislav Varnenchik, ul. ""Atanas Moskov"" 308, 9009 Varna, Bulgaria",https://teatoys.bg/,info@teatoys.bg,088 875 3333,contacted
Pikko Games,Bulgaria,Varna,board game store,"Sofia Center, ul. ""Neofit Rilski"" 31, 1000 Sofia, Bulgaria",https://nastolniigri.com/,store@pikko-games.com,087 833 7852,contacted
VR VARNA,Bulgaria,Varna,game shop,"bul. ""Slivnitsa"" 185, 9009, ВладиславовоМладост, 9000 Варна, Bulgaria",http://vrvarna.com/,contactvrvarnalab@gmail.com,088 256 5956,contacted
Delta Planet Mall,Bulgaria,Varna,game shop,"g.k. TroshevoMladost, bul. ""Slivnitsa"" 185, 9009 Varna, Bulgaria",http://deltaplanet.bg/,office@deltaplanet.bg,052 810 232,contacted
Grand Mall,Bulgaria,Varna,game shop,"Mladost, ul. ""Akademik Andrei Saharov"" 2, 9000 Varna, Bulgaria",http://grandmall-varna.com/,information@grandmall-varna.com,087 883 2721,contacted
SPEED COMPUTERS,Bulgaria,Varna,game shop,"Northern Industrial ZoneMladost, bul. ""Slivnitsa"" 166A, 9000 Varna, Bulgaria",https://www.speedcomputers.biz/,sales@speedcomputers.biz,087 844 8073,contacted
Children Market VEGA,Bulgaria,Varna,toy store,"Varna CenterOdesos, ul. ""Pirin"" 43, 9000 Varna, Bulgaria",https://www.vegatoys.com/,office@vegatoys.com,089 780 1203,contacted
Vega,Bulgaria,Varna,toy store,"Varna CenterOdesos, ul. ""Doctor Piskyuliev"" 62, 9000 Varna, Bulgaria",https://www.vegatoys.com/,office@vegatoys.com,089 855 6155,contacted
Детски маркет ВЕГА,Bulgaria,Varna,toy store,"Sveti Ivan RilskiMladost, ul. ""Kapitan Raycho Nikolov"" 101, 9009 Varna, Bulgaria",https://vegatoys.com/,office@vegatoys.com,089 780 1206,contacted
Детски играчки ПуХчо toys,Bulgaria,Varna,toy store,"Varna CenterOdesos, ul. ""Shipka"" 2, 9000 Varna, Bulgaria",http://detski-magazin.bg/,pankolita@abv.bg,089 845 8421,contacted
DinoToys,Bulgaria,Varna,toy store,"Varna CenterOdesos, ul. ""Tsaribrod"" 66, 9000 Varna, Bulgaria",https://dinotoys.bg/,dinotoysbg@gmail.com,088 336 4616,contacted
Магнитни конструктори,Bulgaria,Varna,toy store,"Местност ПлановаМладост, 9000 Варна, Bulgaria",http://www.magblock.bg/,magblockbg@gmail.com,089 964 2703,contacted
