name,country,city,type,address,website,email,phone,status
Luksusbaby Møllegade,Denmark,Aalborg,toy store,"Møllegade 13, 9000 Aalborg, Denmark",https://www.luksusbaby.dk/,info@luksusbaby.dk,28 83 50 00,
Billig-Billy. Costumes and dollar store,Denmark,Aalborg,toy store,"Nibevej 15, 9200 Aalborg SV, Denmark",https://billig-billy.dk/aalborg-city-syd-butik,webshop@billig-billy.dk,,
Hotgirl Aalborg sexbutik megastore,Denmark,Aalborg,toy store,"Vesterbro 35, 9000 Aalborg, Denmark",http://www.hotgirl.dk/,support@hotgirl.dk,26 37 80 04,
BabySam,Denmark,Aalborg,toy store,"Hobrovej 440, 9200 Aalborg, Denmark",https://www.babysam.dk/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=48,kundeservice@babysam.dk,98 38 26 44,
Hobbykæden,Denmark,Aalborg,toy store,"Vesterbro 20B, 9000 Aalborg, Denmark",http://www.hobbykaeden.dk/,info@hobbykaeden.dk,98 17 65 55,
Mekong Market,Denmark,Aalborg,Japanese store,"Nørregade 26, 9000 Aalborg, Denmark",http://www.mekong-asian.dk/,info@mekong-asian.dk,98 11 05 80,
Sekiryu,Denmark,Aalborg,Japanese store,"Boulevarden 8, 9000 Aalborg, Denmark",https://sekiryu.dk/,info@sekiryu.dk,91 88 88 67,
Budoshop,Denmark,Aalborg,Japanese store,"Vendsysselgade 1, 9000 Aalborg, Denmark",http://www.budoshop.dk/,info@budoshop.dk,22 53 13 33,
AI Japan,Denmark,Aalborg,Japanese store,"Brandstrupsgade 11, 9000 Aalborg, Denmark",http://aijapan.dk/,info.aalborg@aijapan.dk,91 88 20 80,
Shoppen,Denmark,Aalborg,Japan shop,"Vandmanden 5A, 9200 Aalborg SV, Denmark",https://shoppen-aalborg.dk/,n.frost@shoppen-aalborg.dk,41 24 27 11,
Fjernstyret.dk,Denmark,Aalborg,hobby shop,"Amalienborgvej 57, 9400 Nørresundby, Denmark",https://fjernstyret.dk/,info@fjernstyret.dk,46 92 86 97,
Archi Tegn Aalborg,Denmark,Aalborg,hobby shop,"Rendsburggade 14, 9000 Aalborg, Denmark",https://architegn.dk/shop/frontpage.html,kontakt@architegn.dk,81 55 02 25,
Papirhuset,Denmark,Aalborg,gift shop,"Gravensgade 16, 9000 Aalborg, Denmark",https://papirhusetaalborg.dk/,denmarkpapirhuset@firma.tele.dk,98 12 27 45,
Salling Department Store,Denmark,Aalborg,gift shop,"Nytorv 8, 9000 Aalborg, Denmark",https://salling.dk/kundeservice/abningstider/,salling@salling.dk,87 78 60 00,
Sinnerup Aalborg,Denmark,Aalborg,gift shop,"Nytorv 18-20, 9000 Aalborg, Denmark",https://www.sinnerup.dk/,web@sinnerup.dk,36 96 53 70,
Galerie Wolfsen,Denmark,Aalborg,gift shop,"Tiendeladen 6, 9000 Aalborg, Denmark",http://gw.dk/,mail@gw.dk,98 13 75 66,
TEESHOPPEN - Boulevarden,Denmark,Aalborg,gift shop,"Boulevarden 16, 9000 Aalborg, Denmark",http://www.teeshoppen.dk/,info@teeshoppen.dk,70 70 72 17,
