name,country,city,type,address,website,email,phone,status
Faraos Cigarer Aarhus Games,Denmark,Aarhus,board game store,"Amaliegade 21, 8000 Aarhus, Denmark",https://www.faraos.dk/,faraos@faraos.dk,33 67 20 21,
Warhammer Aarhus,Denmark,Aarhus,game shop,"Vestergade 8, St. Tv, 8000 Aarhus Centrum, Denmark",http://www.warhammer.com/,privacy@gwplc.compress,29 38 42 65,
Popcultgang,Denmark,Aarhus,game shop,"Borggade 11, st. mf, 8000 Aarhus, Denmark",https://popcultgang.dk/,hello@popcultgang.dk,,
&CARDS Aarhus,Denmark,Aarhus,game shop,"Irma Pedersens Gade 150, 8000 Aarhus, Denmark",https://www.andcards.dk/,support@andcards.dk,71 90 20 58,
Games Copenhagen,Denmark,Aarhus,game shop,"Jorcks Passage, 1159 Indre By, Denmark",http://gamesweb.dk/,info@gamesweb.dk,29 88 11 91,
Faraos Cigarer Aarhus Comics,Denmark,Aarhus,game shop,"Ryesgade 3, 8000 Aarhus Centrum, Denmark",https://www.faraos.dk/,faraos@faraos.dk,33 67 20 29,
Games N Gadgets,Denmark,Aarhus,game shop,"Hospitalsgade 15, 8700 Horsens, Denmark",https://www.legeland.dk/,salg@legeland.dk,70 32 33 86,
Bogshoppen,Denmark,Aarhus,game shop,"Nørregade 45, 8000 Aarhus Centrum, Denmark",http://bogshoppen.dk/,bogshop@yahoo.dk,86 19 59 10,
Karrusella Aarhus,Denmark,Aarhus,game shop,"Badstuegade 21, 8000 Aarhus Centrum, Denmark",https://www.karrusella.dk/,info@karrusella.dkkarrusella,29 88 16 51,
Spilcaféen Aarhus - Vestergade,Denmark,Aarhus,game shop,"Vestergade 58A, 8000 Aarhus Centrum, Denmark",https://spilcafeen.dk/,odense@spilcafeen.dk,81 11 90 05,
MASI Aarhus,Denmark,Aarhus,game shop,"Åboulevarden 59, 8000 Aarhus, Denmark",https://www.masiaarhus.dk/,masiaarhus@gmail.com,23 70 14 25,
Fair Games,Denmark,Aarhus,game shop,"Filmbyen 19, 8000 Aarhus, Denmark",http://necessegame.com/,contact@necessegame.com,,
Lille Nor,Denmark,Aarhus,toy store,"Frederiks Allé 116, 8000 Aarhus, Denmark",https://www.lille-nor.dk/,contactkontakt@lille-nor.dk,60 14 16 10,
"Samler Børsen, Aarhus",Denmark,Aarhus,toy store,"Sankt Pauls Kirkeplads 15, 8000 Aarhus, Denmark",http://samlerbørsen.dk/,mail@samlerbørsen.dk,86 12 35 33,
Seramikku - Japanese Concept Store,Denmark,Aarhus,Japanese store,"Volden 11, st, 8000 Aarhus, Denmark",https://seramikku.dk/,support@seramikku.dk,93 94 22 62,
KFT Food Trading,Denmark,Aarhus,Japanese store,"Viborgvej 155A, 8210 Aarhus V, Denmark",http://www.kft.dk/,kft@kft.dk,86 11 85 86,
Otaku,Denmark,Aarhus,Japanese store,"Mariane Thomsens Gade 2F, 8000 Aarhus, Denmark",http://otakustore.dk/,otaku@otakustore.dk,93 40 84 20,
Taishō - Shop in shop,Denmark,Aarhus,Japanese store,"Volden 11, st, 8000 Aarhus Centrum, Denmark",http://www.seramikku.dk/,support@seramikku.dk,93 94 22 62,
Kazo Izakaya,Denmark,Aarhus,Japanese store,"Jægergårdsgade 60, 8000 Aarhus, Denmark",http://www.kazoizakaya.dk/,info@kazoizakaya.dk,20 44 80 64,
The China Shop,Denmark,Aarhus,Japanese store,"Rosengården 13, 1174 København, Denmark",https://denkinesiskebutik.dk/,info@denkinesiskebutik.dk,33 15 33 68,
Tokyo Kitchen,Denmark,Aarhus,Japanese store,"Tordenskjoldsgade 63, 8200 Aarhus, Denmark",https://tokyo.kitchen/,tokyokitchen.dk@gmail.com,29 73 46 74,
Seramikku - Japanese Wall Art,Denmark,Aarhus,Japanese store,"Badstuegade 18, Kld, 8000 Aarhus, Denmark",https://www.seramikku.dk/,support@seramikku.dk,93 94 22 62,
Stoy,Denmark,Aarhus,Japan shop,"Store Torv 4, 8000 Aarhus, Denmark",http://www.stoy.com/,help@stoy.com,41 95 54 44,
KAiKU (designbutik),Denmark,Aarhus,Japan shop,"Langdalsvej 46, Bygning 7, 8220 Brabrand, Denmark",https://www.kaiku.dk/,info@kaiku.dk,33 11 19 07,
Stribeladen,Denmark,Aarhus,Japan shop,"Jægergårdsgade 48, 8000 Aarhus, Denmark",http://www.stribeladen.com/,stribeladen@hotmail.com,86 12 30 80,
Hobby Bien,Denmark,Aarhus,hobby shop,"Kirketorvet 6B, st 20, 8310 Tranbjerg, Denmark",https://hobbybien.dk/,info@hobbybien.dk,28 25 69 08,
Vikinghobby,Denmark,Aarhus,hobby shop,"Lystrupvej 1F, 8240 Risskov, Denmark",https://www.vikinghobby.dk/,info@vikinghobby.dk,93 97 08 55,
