name,country,city,type,address,website,email,phone,status
Lottan Akureyri,Iceland,Akureyri,board game store,"Mýrarvegur, 600 Akureyri, Iceland",https://lottan.is/,lottan@lottan.is,853 4567,
Partýland Akureyri,Iceland,Akureyri,board game store,"Geislagata 14, 600 Akureyri, Iceland",http://www.partylandid.is/,partyland@partylandid.is,461 3001,
A4,Iceland,Akureyri,board game store,"Dalsbraut 1, 600 Akureyri, Iceland",https://a4.is/,a4@a4.is,580 0063,
Tölvutek,Iceland,Akureyri,board game store,"undirhlíð 2, 600 Akureyri, Iceland",http://www.tolvutek.is/,sala@tolvutek.is,430 6900,
Sjoppan vöruhús / Design Shop,Iceland,Akureyri,board game store,"Kaupvangsstræti 21, 600 Akureyri, Iceland",https://www.sjoppanvoruhus.is/,info@sjoppanvoruhus.is,864 0710,
Glerártorg,Iceland,Akureyri,board game store,"Gleráreyrar 1, 600 Akureyri, Iceland",http://www.glerartorg.is/en,glerartorg@glerartorg.is,461 5770,
Vorhús,Iceland,Akureyri,board game store,"Hafnarstræti 71, 600 Akureyri, Iceland",https://vorhus.is/,info@vorhus.is,461 3449,
Icevape - Vefverslun,Iceland,Akureyri,game shop,"Strandgata 9, 600 Akureyri, Iceland",http://www.icevape.is/,icevape@icevape.is,699 7550,
Akureyri Tourist Information Centre,Iceland,Akureyri,game shop,"Strandgata 12, 600 Akureyri, Iceland",http://www.visitakureyri.is/,info@visitakureyri.is,450 1050,
Vamos AEY - Einstök Beer Lounge,Iceland,Akureyri,game shop,"Ráðhústorg 9, 600 Akureyri, Iceland",http://www.vamos.is/,vamos@vamos.is,461 3030,
Hnífur.is,Iceland,Akureyri,Japanese store,"Klettaborg 41, 600 Akureyri, Iceland",http://hnifur.is/,adam@hnifur.is,863 4928,
Hobby & Sport,Iceland,Akureyri,hobby shop,"Dalsbraut 1, 600 Akureyri, Iceland",https://www.hobbyogsport.is/,info@hobbyogsport.is,553 0015,
Vistvæna Búðin,Iceland,Akureyri,gift shop,"Brekkugata 3, 600 Akureyri, Iceland",http://www.vistvaena.is/,vistvaena@vistvaena.is,792 4200,
Kista í Hofi - Concept Store,Iceland,Akureyri,concept store,"Strandgata 12, 600 Akureyri, Iceland",http://www.kista.is/,kista@kista.is,897 0555,
Centro,Iceland,Akureyri,concept store,"Hafnarstræti 97, 600 Akureyri, Iceland",http://www.centro.is/,sala@centro.is,461 2747,
LYST,Iceland,Akureyri,tabletop cafe,"Lystigarðurinn, Eyrarlandsvegur 30, 600 Akureyri, Iceland",http://www.lyst.is/,lyst@lystak.is,,
Kaffi LYST,Iceland,Akureyri,tabletop cafe,"Hafnarstræti 91, 600 Akureyri, Iceland",http://lyst.is/,lyst@lystak.is,464 1444,
Barr Kaffihús,Iceland,Akureyri,tabletop cafe,"Strandgata 12, 600 Akureyri, Iceland",http://www.mak.is/,mak@mak.is,,
Akureyri Backpackers,Iceland,Akureyri,tabletop cafe,"Hafnarstræti 98, 600 Akureyri, Iceland",http://www.akureyribackpackers.com/,akureyri@backpackers.is,571 9050,
Sykurverk Café,Iceland,Akureyri,tabletop cafe,"Strandgata 3, 600 Akureyri, Iceland",http://sykurverk.is/,sykurverk@sykurverk.is,571 7977,
Eyja,Iceland,Akureyri,tabletop cafe,"Hafnarstræti 90, 600 Akureyri, Iceland",http://eyjaak.is/,eyja@eyjaak.is,863 8002,
Rub23,Iceland,Akureyri,tabletop cafe,"Kaupvangsstræti 6, 600 Akureyri, Iceland",http://www.rub23.is/,rub23@rub23.is,462 2223,
Mulaberg Bistro & Bar,Iceland,Akureyri,tabletop cafe,"Hafnarstræti 89, 600 Akureyri, Iceland",http://www.mulaberg.is/,mulaberg@mulaberg.is,460 2020,
Cogs Toys & Games,Ireland,Dublin,board game store,"Stephen's Green SC, Unit 4 St Stephen's Green, Dublin 2, D02 Y303, Ireland",http://cogstoysandgames.ie/,support@cogs.ie,(01) 556 9237,
"The RAGE - Record, Art and Game Emporium",Ireland,Dublin,game shop,"8 Crow St, Temple Bar, Dublin, D02 HX78, Ireland",http://www.therage.ie/,info@therage.ie,089 495 2347,
Gadget Geek,Ireland,Dublin,game shop,"Unit 64, Parnell Mall, Ilac Centre, Henry St, North City, Dublin 1, Co. Dublin, D01 A0T2, Ireland",https://gadgetgeek.ie/,info@gadgetgeek.ie,(01) 598 6545,
Nimble Fingers,Ireland,Dublin,toy store,"Old Dublin Road, Stillorgan Village, Dublin, A94 NR74, Ireland",http://www.nimblefingers.ie/,orders@nimblefingers.ie,(01) 288 0788,
Mimitoys,Ireland,Dublin,toy store,"Derryclare, Summerhill, Co. Meath, A83 P863, Ireland",https://www.mimitoys.ie/,mimi@mimitoys.ie,(046) 955 8977,
Industry & Co - Kids (Barn),Ireland,Dublin,toy store,"21 Exchequer St, Dublin 2, D02 V611, Ireland",https://wearebarn.com/,hello@wearebarn.com,(01) 525 2100,
designist,Ireland,Dublin,toy store,"68 South Great George's Street, Dublin, D02 RP08, Ireland",http://www.designist.ie/,hello@designist.ie,(01) 475 8534,
Umami,Ireland,Dublin,Japanese store,"18 Main St, Ongar, Dublin 15, D15 K309, Ireland",http://www.umamifoods.ie/,info@umamifoods.ie,(01) 861 4514,
Asian Mart,Ireland,Dublin,Japanese store,"149 Phibsborough Rd, Cabra East, Dublin 7, D07 X033, Ireland",http://www.asianmart.ie/,info@asianmart.ie,(01) 445 9793,
Radio Controlled Shop,Ireland,Dublin,hobby shop,"407C Grants Park, Greenoge, Greenogue Business Park, Co. Dublin, D24 KR72, Ireland",http://www.radiocontrolledshop.ie/,info@radiocontrolledshop.ie,087 136 5934,
Art & Hobby,Ireland,Dublin,hobby shop,"Unit 9 /10, Jervis St, North City, Dublin 1, D01 V6F3, Ireland",http://www.artnhobby.ie/,orders@artnhobby.ie,(01) 874 5312,
The Art & Hobby Shop,Ireland,Dublin,hobby shop,"21, Nutgrove Shopping Centre, Nutgrove Way, Rathfarnham, Dublin 14, Ireland",http://www.artnhobby.ie/,orders@artnhobby.ie,(01) 495 0760,
