name,country,city,type,address,website,email,phone,status
ABQ Collective,United States,Albuquerque,Concept Store,"Albuquerque, NM",https://theabqcollective.com,hello@theabqcollective.com,,
Bookworks,United States,Albuquerque,Bookstore,"4022 Rio Grande Blvd NW, Albuquerque, NM 87107",https://bkwrks.com,orders@bkwrks.com,505-344-8139,
Patrician Design,United States,Albuquerque,Design Shop,"Gold Avenue, Downtown Albuquerque, NM",https://patriciandesign.com,shop@patriciandesign.com,,
Luna + Luz,United States,Albuquerque,Gift Shop,"Albuquerque, NM",https://lunaandluz.com,shop@lunaandluz.com,,
Isle of Games,United States,Tucson,Game Shop / Hobby Shop,"7835 E Broadway Blvd, Tucson, AZ 85710",https://www.isleofgamesaz.com,store@isleofgamesaz.com,(520) 886-4263,
Presidio Comics,United States,Tucson,Comic Shop / Toy Store,"4500 N Oracle Rd Ste 200, Tucson, AZ 85705",https://presidio-comics.com,presidiocomics@gmail.com,(520) 488-1390,
Antigone Books,United States,Tucson,Bookstore,"411 N 4th Ave, Tucson, AZ 85705",https://www.antigonebooks.com,info@antigonebooks.com,(520) 792-3715,
Mostly Books,United States,Tucson,Bookstore,"6208 E Speedway Blvd, Tucson, AZ 85712",https://mostlybooksaz.com,contact@mostlybooksaz.com,(520) 571-0110,
Desierto Books,United States,Tucson,Bookstore,"267 S Avenida del Convento, Tucson, AZ 85745",https://desiertobooks.com,desiertobooks@gmail.com,null,
Saturday Generation,United States,Tucson,Design Shop,"Tucson, AZ",https://saturdaygeneration.com,info@saturdaygeneration.com,null,
Tohono Chul Gift Shops,United States,Tucson,Gift Shop,"7366 N Paseo del Norte, Tucson, AZ 85704",https://tohonochul.org,info@tohonochul.org,(520) 742-6455,
The Tucson Gallery,United States,Tucson,Gift Shop,"245 E Congress St, Suite 101, Tucson, AZ 85701",https://thetucsongallery.com,info@thetucsongallery.com,(520) 606-5440,
The Monocle,United States,Buffalo,Concept Store / Design Shop,"1235 Hertel Avenue, Buffalo, NY 14216",https://themonoclebuffalo.com,info@themonoclebuffalo.com,(716) 939-2692,
Makoto Japan Market,United States,Buffalo,Japanese Store / Asian Lifestyle Store,"3368a Sheridan Drive, Buffalo, NY 14226",https://makotomarket.com,info@makotomarket.com,(716) 687-8888,
Fitz Books & Waffles,United States,Buffalo,Bookstore,"1462 Main Street, Buffalo, NY 14209",https://fitzbooks.net,aaron@fitzbooks.net,(716) 249-0523,
