name,country,city,type,address,website,email,phone,status
Gerekli Şeyler Ankara,Turkey,Ankara,Çizgi Roman Dükkanı,"Kocatepe Mah., Hatay Sok., 17B, Çankaya, Ankara",https://www.gerekliseyler.com.tr/,gerekli@gerekliseyler.com.tr,+90 531 396 88 79,
Goril Çizgi Roman,Turkey,Ankara,Çizgi Roman Dükkanı,"Barbaros Mah., Büyükelçi Sok., 5, Çankaya, Ankara",https://www.ankaracizgiroman.com/,ankaracizgiroman@gmail.com,+90 312 466 00 62,
Paralel Evren Çizgi Roman Dükkanı,Turkey,Istanbul,Comic Book & Hobby Shop,"Caddebostan Mah. Bağdat Cad. No: 272-B, Kadıköy, İstanbul",https://www.paralelevren.istanbul,iletisim@paralelevren.istanbul,+90 216 909 47 23,
Toybala (Özlüce Mağazası),Turkey,Bursa,Oyuncak ve Kırtasiye,"İhsaniye Mah. Ahmet Taner Kışlalı Blv. No:12, Nilüfer/Bursa",https://toybala.com,info@toybala.com,0850 123 45 67,
Toybala (FSM Mağazası),Turkey,Bursa,Oyuncak ve Kırtasiye,"Beşevler Mah. Fatih Sultan Mehmet Blv. No:45, Nilüfer/Bursa",https://toybala.com,info@toybala.com,0850 123 45 67,
baNNe Oyuncak (Atatürk Caddesi),Turkey,Adana,Oyuncak Mağazası,Cemalpaşa Mah. Ethem Ekin Sok. Öğretmenler Sitesi B Blok No:4 Seyhan/ADANA,https://www.banne.com.tr/,info@banne.com.tr,0322 503 92 91,
baNNe Oyuncak (Turgut Özal Bulvarı),Turkey,Adana,Oyuncak Mağazası,"Turgut Özal Bulvarı, Çukurova/ADANA",https://www.banne.com.tr/,info@banne.com.tr,0322 235 00 23,
Bad Moon Cafe,United Kingdom,London,Board Game Cafe & Retailer,"159a Great Dover Street, London SE1 4GZ, United Kingdom",https://www.badmooncafe.co.uk,hollowayroad@badmooncafe.co.uk,+44 20 3654 7032,
The Arcanist's Tavern,United Kingdom,London,Tabletop Gaming Cafe,"87-91 Hackney Road, London E2 8FE, United Kingdom",https://arcaniststavern.uk,inquiries@alchemygames.uk,+44 20 8191 2983,
Foundland,United Kingdom,London,Japanese-inspired gift and homeware store,"98 Weston Park, Crouch End, London, N8 9PP",https://foundland.com,hello@foundland.com,Not publicly listed,
Sliced N Diced,United Kingdom,Birmingham,Tabletop Cafe,"850 Bristol Road, Selly Oak, Birmingham, B29 6HW",https://slicedndiced.uk,slicedndicedbham@gmail.com,0121 220 3133,
Wayland's Forge,United Kingdom,Birmingham,Game Shop,"Unit LG06A Zellig, The Custard Factory, Gibb Street, Digbeth, Birmingham, B9 4AT",https://waylandsforge.co.uk,games@waylandsforge.co.uk,0121 683 0075,
Cards or Die,United Kingdom,Leeds,Board Game Events / Mobile Service,"Based in Horsforth, Leeds (No physical shop)",https://cardsordie.com,hello@cardsordie.com,Not publicly listed (Contact via email or social media),
Colours May Vary,United Kingdom,Leeds,Independent Book and Design Shop,"B5a The Balcony, Leeds Corn Exchange, Call Lane, Leeds, LS1 7BR",https://coloursmayvary.com,hello@coloursmayvary.com,0113 244 2704,
Village,United Kingdom,Leeds,Independent Bookshop and Gallery,"10-12 Thornton's Arcade, Leeds, LS1 6LQ",https://villagebooks.co,hello@villagebooks.co,Not available,
Sonder,United Kingdom,Leeds,Concept Store,"27-28 Grand Arcade, Leeds, LS1 6PG",https://sonderleeds.com,info@sonderleeds.com,Not available,
The Great Yorkshire Shop,United Kingdom,Leeds,Gift Shop,"C8B Leeds Corn Exchange, Call Lane, Leeds, LS1 7BR",https://thegreatyorkshireshop.co.uk,contact@thegreatyorkshireshop.co.uk,0113 524 6383,
OK Comics,United Kingdom,Leeds,Independent Comic Book Shop,"19 Thornton's Arcade, Briggate, Leeds, LS1 6LQ",https://okcomics.co.uk,shop@okcomics.co.uk,0113 246 9366,
Masato Jones,United Kingdom,Leeds,Japanese Lifestyle and Design Brand,"5 Thornton's Arcade, Leeds, LS1 6LQ",https://masato.co.uk,studio@masato.co.uk,07799 053329,
The Card Vault,United Kingdom,Glasgow,Trading Card Store,"Lower Ground Floor, 37 Bath Street, Glasgow, G2 1HW",https://thecardvault.co.uk,hello@thecardvault.co.uk,Not provided,
