name,country,city,type,address,website,email,phone,status
Giga-Bites Tabletop Cafe,United States,Atlanta,Tabletop Cafe & Game Shop,"1851 Roswell Rd, Marietta, GA 30062",https://giga-bitescafe.com,info@giga-bitescafe.com,Not listed,
Kazoo Toys,United States,Atlanta,Toy Store,"3718 Roswell Rd, Atlanta, GA 30342",https://kazootoysatlanta.com,kazootoysofbuckhead@gmail.com,(404) 500-1027,
Richard's Variety Store (Midtown),United States,Atlanta,Toy & Variety Store,"931 Monroe Dr, Suite 113, Atlanta, GA 30308",https://richardsvarietystore.com,admin@richardsvarietystore.com,(404) 879-9877,
Richard's Variety Store (Buckhead),United States,Atlanta,Toy & Variety Store,"2347 Peachtree Rd, Atlanta, GA 30305",https://richardsvarietystore.com,admin@richardsvarietystore.com,(404) 237-1412,
Virginia Highland Books,United States,Atlanta,Bookstore,"1034 N. Highland Ave. NE, Atlanta, GA 30306",https://vahibooks.com,vahibooks@gmail.com,(470) 819-4705,
44th & 3rd Bookseller,United States,Atlanta,Bookstore,"451 Lee St. SW, Unit B, Atlanta, GA 30310",https://44thand3rdbookseller.com,info@44thand3rdbookseller.com,(678) 692-6519,
The Merchant,United States,Atlanta,Gift Shop / Lifestyle,"99 Krog St. NE, Atlanta, GA 30307",https://thekrogdistrict.com,hello@goodcocreative.com,(404) 331-1200,
Urban Cottage,United States,Atlanta,Design Shop / Lifestyle,"998 N. Highland Ave. NE, Atlanta, GA 30306",https://urbancottageatlanta.com,urbancottageatlanta@gmail.com,(404) 815-9993,
Tower Games,United States,Minneapolis,Board Game Store / Hobby Shop,"3920 Nicollet Ave #150, Minneapolis, MN 55409",https://towergamesmn.com/,info@towergamesmn.com,(612) 823-4477,
Brickmania GHQ Store,United States,Minneapolis,Toy Store / Hobby Shop,"1618 Central Ave NE, Suite 110, Minneapolis, MN 55413",https://brickmania.com/,store@brickmania.com,(612) 545-5263,
DreamHaven Books and Comics,United States,Minneapolis,Comic Shop / Bookstore,"2301 E 38th St, Minneapolis, MN 55406",https://dreamhavenbooks.com/,dream@dreamhavenbooks.com,(612) 823-6161,
Games by James (Southdale Center),United States,Minneapolis,Board Game Store / Toy Store,"2510 Southdale Center, Edina, MN 55435",https://gamesbyjames.com/,info@gamesbyjames.com,(952) 925-9656,
ŪMEI,United States,Minneapolis,Home & Design Shop,"903 North 5th Street, Minneapolis, MN 55401",https://shopumei.com/,hello.shopumei@gmail.com,(612) 239-0056,
Walker Shop,United States,Minneapolis,Museum Gift Shop,"725 Vineland Place, Minneapolis, MN 55403",https://shop.walkerart.org/,shop@walkerart.org,(612) 375-7650,
