name,country,city,type,address,website,email,phone,status
Austin Books & Comics,United States,Austin,Comic Shop,"5002 N Lamar Blvd, Austin, TX 78751",https://stores.comichub.com/austinbookscomics,info@austinbooks.com,(512) 454-4197,
Emerald Tavern Games & Cafe,United States,Austin,Tabletop Cafe,"9012 Research Blvd, Austin, TX 78758",https://emeraldtaverngames.com/,info@emeraldtaverngames.com,(512) 467-4779,
Paper Work,United States,Austin,Gift Shop / Art & Stationery,"1704 S Congress Ave, Austin, TX 78704",https://paperworkatx.com,contact@paperworkatx.com,(512) 326-1648,
Slow North,United States,Austin,Lifestyle / Gift Shop,"5555 N. Lamar Blvd., Suite E-109, Austin, TX 78751",https://slownorth.com,customercare@slownorth.com,(512) 766-8611,
Coliseum of Comics,United States,Jacksonville,Comic Shop,"9344 Atlantic Blvd, Jacksonville, FL 32225",https://www.coliseumofcomics.com,connect@coliseumofcomics.com,(904) 720-0774,
Atlantic Beach Arts Market,United States,Jacksonville,Gift Shop / Artist Co-op,"1805 Mayport Rd, Atlantic Beach, FL 32233",https://atlanticbeachartsmarket.com,abartsmarket@gmail.com,(904) 372-7442,
Chamblin Bookmine,United States,Jacksonville,Bookstore,"4551 Roosevelt Blvd, Jacksonville, FL 32210",https://www.chamblinbookmine.com,orders@chamblinbookmine.com,(904) 384-1685,
Chamblin's Uptown,United States,Jacksonville,Bookstore,"215 N Laura St, Jacksonville, FL 32202",https://www.chamblinbookmine.com,orders@chamblinbookmine.com,(904) 674-0868,
San Marco Books & More,United States,Jacksonville,Bookstore,"1971 San Marco Blvd, Jacksonville, FL 32207",https://www.sanmarcobooksandmore.com,novel@sanmarcobooksandmore.com,(904) 396-7597,
Mabuhay Oriental Market,United States,Jacksonville,Asian Lifestyle Store / Grocery,"11565 North Main Street, #226, Jacksonville, FL 32218",https://mabuhayasianmarket.com,pinaymom@mabuhayasianmarket.com,(904) 513-3151,
Game Theory,United States,Fort Worth,Tabletop Cafe,"804 S Main St, Suite 110, Fort Worth, TX 76104",https://gametheorytx.com,info@gametheorytx.com,(817) 717-6443,
Rogue Brick Builder's Lounge,United States,Fort Worth,Toy Store & Hobby Shop,"5509 S Hulen St, Fort Worth, TX 76132",https://roguebrick.com,theroguebrick@gmail.com,(817) 720-3330,
Darkhound Game Center,United States,Fort Worth,Game Shop,"2840 Hwy 157 N, Suite 112, Mansfield, TX 76063",https://darkhoundgamecenter.com,sales@darkhoundstudios.com,(817) 225-6145,
The Dock Bookshop,United States,Fort Worth,Independent Bookstore,"6637 Meadowbrook Drive, Fort Worth, TX 76112",https://www.thedockbookshop.com/,info@thedockbookshop.com,(817) 457-5700,
Leaves Bakery & Books,United States,Fort Worth,Bookstore & Tea Shop,"1251 W Magnolia Avenue, Fort Worth, TX 76104",https://leavesbakeryandbooks.com/,hello@leavesbakeryandbooks.com,(682) 710-2253,
Monkey & Dog Books,United States,Fort Worth,Independent Bookstore,"3608 W 7th Street, Fort Worth, TX 76107",https://monkeyanddogbooks.com/,iread@monkeyanddogbooks.com,(817) 489-5747,
The Soldiery Games & Cards,United States,Columbus,Game Shop,"4256 N High St, Columbus, OH 43214",https://www.thesoldiery.com/,mail@thesoldiery.com,(614) 447-9569,
The Guardtower East,United States,Columbus,Game Shop,"5939 E Main St, Columbus, OH 43232",https://theguardtower.com/,customerservice@theguardtower.com,(614) 604-6996,
The Guardtower West,United States,Columbus,Game Shop,"5514 Nike Drive, Columbus, OH",https://theguardtower.com/,customerservice@theguardtower.com,(614) 488-4311,
Krazzy Comics,United States,Columbus,Comic Shop,"1010 N Hamilton Rd, Gahanna, OH 43230",https://mykrazzycomics.com/,krazzycomics@gmail.com,(614) 502-9293,
The Book Loft of German Village,United States,Columbus,Bookstore,"631 S 3rd St, Columbus, OH 43206",https://bookloft.com,info@bookloft.com,(614) 464-1774,
Prologue Bookshop,United States,Columbus,Bookstore,"841 N High St, Columbus, OH 43215",https://prologuebookshop.com,dan@prologuebookshop.com,(614) 745-1395,
