name,country,city,type,address,website,email,phone,status
nineteen87.bielefeld,Germany,Bielefeld,concept store,"Steinstraße 4, 33602 Bielefeld, Germany",http://www.nineteen87.de/,info@nineteen87.de,0521 56031999,
Mimi & EMU,Germany,Bielefeld,concept store,"Hagenbruchstraße 6, 33602 Bielefeld, Germany",http://www.mimiundemu.de/,info@mimiundemu.de,0521 5218184,
Antonia Berndt & Julia Meinert GbR,Germany,Bielefeld,concept store,"Meindersstraße 8, 33615 Bielefeld, Germany",https://www.antoniaberndt.de/,info@anju-conceptstore.de,0176 70065255,
Buchhandlung - Die Kronenklauer,Germany,Bielefeld,bookstore,"Karlstraße 2, 33602 Bielefeld, Germany",https://www.kronenklauer.de/,mail@kronenklauer.de,0521 124111,
mondo medien & Büchergilde,Germany,Bielefeld,bookstore,"Elsa-Brändström-Straße 23, 33602 Bielefeld, Germany",http://mondo-bielefeld.de/,kontakt@mondo-bielefeld.de,0521 64163,
Buchtipp,Germany,Bielefeld,bookstore,"Meindersstraße 7, 33615 Bielefeld, Germany",https://www.buchtipp-bielefeld.de/,lesen@buchtipp-bielefeld.de,0521 9862660,
Buchhandlung Welscher,Germany,Bielefeld,bookstore,"An d. Stiftskirche 14, 33611 Bielefeld, Germany",http://www.buch-welscher.de/,service@buch-welscher.de,0521 81858,
Café Künstlerei,Germany,Bielefeld,tabletop cafe,"Turmstraße 10, 33615 Bielefeld, Germany",http://www.cafe-kuenstlerei.de/impressum.html,anna@cafe-kuenstlerei.de,0521 38499940,
Cafe Europa,Germany,Bielefeld,tabletop cafe,"Jahnpl. 4, 33602 Bielefeld, Germany",https://cafeeuropa.de/,info@cafeeuropa.de,0521 5215930,
OWLs Listeningbar & Restaurant,Germany,Bielefeld,tabletop cafe,"Arndtstraße 45, 33615 Bielefeld, Germany",http://www.owls-bielefeld.de/,info@owls-bielefeld.de,0521 98994045,
Moccaklatsch - Bielefeld,Germany,Bielefeld,tabletop cafe,"Arndtstraße 11, 33602 Bielefeld, Germany",https://www.moccaklatsch.de/,info@moccaklatsch.de,0521 7709431,
M Kaffee,Germany,Bielefeld,tabletop cafe,"Gehrenberg 7-9, 33602 Bielefeld, Germany",http://www.mkaffee.de/,post@mkaffee.de,0521 3299111,
Café Gemach,Germany,Bielefeld,tabletop cafe,"Neustädter Str. 10, 33602 Bielefeld, Germany",http://www.cafe-gemach.de/,info@cafe-gemach.de,0521 39957274,
Mellow Gold,Germany,Bielefeld,tabletop cafe,"Karl-Eilers-Straße 22, 33602 Bielefeld, Germany",https://www.mellow-gold.de/,welcome@mellow-gold.de,0521 5215665,
Café 3b,Germany,Bielefeld,tabletop cafe,"Feilenstraße 3, 33602 Bielefeld, Germany",http://www.cafe3b.de/,info-eutb@cafe3b.de,0521 60202,
Kelz0r Spiele Café,Germany,Bielefeld,tabletop cafe,"Schötmarsche Str. 79A, 32791 Lage, Germany",https://www.kelz0r-cafe.de/,info@kelz0r-cafe.de,,
Geek Haven,Germany,Bonn,board game store,"Rathausstraße 2, 53225 Bonn, Germany",https://www.geek-haven.de/,info@geek-haven.de,,
Puppenkönig Erlebniswelt Bonn - Dein Erlebnis in der Innenstadt von Bonn & Online-Shop,Germany,Bonn,board game store,"Gangolfstraße 8-10, 53111 Bonn, Germany",https://puppenkoenig.de/,info@puppenkoenig.de,0228 50433860,
Bonner COMIC Laden GmbH,Germany,Bonn,board game store,"Oxfordstraße 17, 53111 Bonn, Germany",http://www.comicshop.de/,kontakt@comicshop.de,0228 550820,
Ludus | Holz - Plüsch - Spielwaren,Germany,Bonn,board game store,"Friedrichstraße 8, 53111 Bonn, Germany",https://www.ludus-spielwaren.de/,info@ludus-spielwaren.de,0228 651670,
Nippon4U,Germany,Bonn,game shop,"Wolfstraße 22, 53111 Bonn, Germany",https://www.nippon4u.com/,info@nippon4u.de,0172 4374957,
GOD OF GAMES HOF,Germany,Bonn,game shop,"Lorenzstraße 14, 95028 Hof, Germany",http://www.god-of-games.de/,info@god-of-games.de,09281 1446128,
Drachental Games & Magic,Germany,Bonn,game shop,"Wagnerstraße 14, 40212 Düsseldorf, Germany",http://www.drachental.com/,info@drachental.com,0211 5803795,
expert Bielinsky Bonn,Germany,Bonn,game shop,"Am Dickobskreuz 12-14, 53121 Bonn, Germany",https://www.expert.de/bonn,info@bonn.expert.de,0228 604990,
Puppenklinik Bonn,Germany,Bonn,toy store,"Kaiser-Karl-Ring 29, 53111 Bonn, Germany",https://www.puppenklinik-bonn.de/,info@puppenklinik-bonn.de,0228 631009,
Hanaro Markt,Germany,Bonn,Japanese store,"Immermannstraße 45C, 40210 Düsseldorf, Germany",http://www.hanaromarkt.de/,info@hanaromarkt.de,,
Japan Plaza (Shochiku),Germany,Bonn,Japan shop,"Immermannstraße 15, 40210 Düsseldorf, Germany",https://japanplaza-shop.de/,online@japanfoodexpress.de,0211 365959,
BONNstick im BONNshop,Germany,Bonn,gift shop,"Heinrich-Sauer-Straße 5, 53111 Bonn, Germany",https://www.bonnstick.de/,shop@bonnstick.de,0228 5508560,
"Freudenhaus, alles was Freude macht (Geschenke und mehr)",Germany,Bonn,gift shop,"Kasernenstraße 4-6, 53111 Bonn, Germany",https://freudenhaus-geschenke-bonn.de/,info@freudenhaus-bonn.de,0228 693417,
Love your Local Store - Concept Store | Bonn Altstadt,Germany,Bonn,gift shop,"Breite Str. 28, 53111 Bonn, Germany",http://www.love-your-local.de/,hallo@love-your-local.de,0228 94771631,
Room Nine Concept Stores,Germany,Bonn,concept store,"Sterntorbrücke 9, Sterntorbrücke 1, 53111 Bonn, Germany",http://www.roomnine.de/,info@roomnine.de,0228 9814730,
le SHOP Bonn Anne Herklotz,Germany,Bonn,concept store,"Friedrichstraße 17, 53111 Bonn, Germany",http://www.leshopshop.de/,contact@leshop-bonn.de,0228 55525826,
Herzkammer,Germany,Bonn,concept store,"Rathausstraße 22, 53225 Bonn, Germany",http://www.herz-kammer.de/,badri@herz-kammer.de,0228 42246747,
Wildezeiten,Germany,Bonn,concept store,"Breite Str. 44, 53111 Bonn, Germany",https://www.wildezeiten-bonn.de/,info@wildezeiten-bonn.de,0228 88604147,
