name,country,city,type,address,website,email,phone,status
Design + Handwerk Dickerhoff,Germany,Bochum,gift shop,"Bleichstraße 10, 44787 Bochum, Germany",https://www.design-handwerk-dickerhoff.de/,info@design-handwerk-dickerhoff.de,0234 680198,
Ballonzauber (Bochum),Germany,Bochum,gift shop,"Südring 19, 44787 Bochum, Germany",http://www.ballonzauber.de/,info@ballonzauber.de,0234 15300,
Blickfang,Germany,Bochum,gift shop,"Karl-Friedrich-Straße 117, 44795 Bochum, Germany",https://www.blickfang-bochum.de/,info@blickfang-bochum.de,0234 96642222,
Concept Store Hotel Velvet,Germany,Bochum,concept store,"Hattinger Str. 778, 44879 Bochum, Germany",https://www.hotel-velvet.de/,neugierig@hotel-velvet.de,0171 4931282,
freistil by Bogasero,Germany,Bochum,concept store,"Markstraße 408, 44795 Bochum, Germany",http://www.bogasero.de/,hallo@bogasero.de,0234 93821642,
Woonwinkel - mijn LifeStyle,Germany,Bochum,concept store,"Wasserstraße 432, 44795 Bochum, Germany",http://www.woonwinkel-bochum.de/,woonwinkel-bochum@gmx.de,0234 5472905,
BAER STORE,Germany,Bochum,concept store,"Hans-Böckler-Straße 34, 44787 Bochum, Germany",http://www.baerstore.de/,mail@baerstore.de,0234 87930654,
Feines. Studios,Germany,Bochum,concept store,"Brenscheder Str. 86, 44799 Bochum, Germany",http://www.feines-bochum.de/,info@feines-bochum.de,01577 0673553,
LeichtSinn,Germany,Bochum,concept store,"Alter Markt 3, 44866 Bochum, Germany",http://www.leichtsinn-derladen.de/kontakt.html,leichtsinn-wat@arcor.de,02327 328784,
Die Kulturtasche,Germany,Bochum,concept store,"Alte Hattinger Str. 11, 44789 Bochum, Germany",http://www.die-kulturtasche.de/,info@die-kulturtasche.de,0234 54468470,
NEĀ The Deli & Urban Concept Store,Germany,Bochum,concept store,"Hellweg 4, 44787 Bochum, Germany",http://www.nea-thedeli.de/,team@nea-thedeli.de,0234 97351804,
JUNGLE-EHRENFELD,Germany,Bochum,concept store,"Oskar-Hoffmann-Straße 2, 44789 Bochum, Germany",http://jungle-ehrenfeld.de/,shop@jungle-ehrenfeld.de,0234 54497018,
Mirhoff & Fischer,Germany,Bochum,bookstore,"Pieperstraße 12, 44789 Bochum, Germany",http://www.mirhoff-fischer.de/,buch@mirhoff-fischer.de,0234 9783170,
Unibuchladen,Germany,Bochum,bookstore,"Campus Center RUB, Universitätsstraße 150, 44801 Bochum, Germany",https://unibuch-campus.center/,uni-buchladen@freenet.de,01590 4166203,
Jan Kath Design GmbH,Germany,Bochum,design shop,"Friederikastraße 148, 44789 Bochum, Germany",http://www.jan-kath.de/,info@jan-kath.com,0234 9412344,
Gaststätte Zu den vier Winden,Germany,Bochum,tabletop cafe,"Hofsteder Str. 94, 44809 Bochum, Germany",https://die-winde.de/,info@die-winde.de,0234 3798154,
Boda Borg Bochum,Germany,Bochum,tabletop cafe,"Am Einkaufszentrum 24, 44791 Bochum, Germany",http://bodaborg.de/bochum/,bochum@bodaborg.de,0234 54296010,
Hippodice Spieleclub e. V.,Germany,Bochum,tabletop cafe,"Wallbaumweg 108, 44894 Bochum, Germany",http://hippodice.de/,info@hippodice.de,,
Zuris-Shop,Germany,Wuppertal,board game store,"Baris Yilmaz & Naila Mahmood GbR, Zuris-Shop, Hunsrückstraße 15, 42289 Wuppertal, Germany",https://www.zuris-shop.de/,zuris-shop@hotmail.com,0163 8911949,
No Pixels,Germany,Wuppertal,board game store,"Höhne 65, 42275 Wuppertal, Germany",http://www.no-pixels.de/,kontakt@no-pixels.de,0202 28188235,
Phoboscards,Germany,Wuppertal,board game store,"Mercklinghausstraße 33, 42389 Wuppertal, Germany",https://phoboscards.de/,info@phoboscards.de,0179 2067083,
Spielwaren Lindwurm,Germany,Wuppertal,board game store,"Friedrich-Ebert-Straße 81, 42103 Wuppertal, Germany",https://www.spielwarenlindwurm.de/,info@spielwarenlindwurm.de,0202 318150,
Konsolen Zone,Germany,Wuppertal,board game store,"Bartholomäusstraße 47, 42277 Wuppertal, Germany",http://www.konsolen-zone.de/,info@konsolen-zone.de,0202 5070567,
Kult,Germany,Wuppertal,board game store,"Luisenstraße 18, 42103 Wuppertal, Germany",http://www.kultwuppertal.de/,info@kultwuppertal.de,0202 446610,
