name,country,city,type,address,website,email,phone,status
Zessibong,Germany,Bonn,concept store,"Bonngasse 16, (neben dem Beethoven-Haus), Friedrichstraße 37, 53111 Bonn, Germany",http://www.zessibong.de/,mail@zessibong.de,0228 9814520,
DesignConcept,Germany,Bonn,concept store,"Brüdergasse 31, 53111 Bonn, Germany",http://www.designconcept-bonn.de/,info@designconcept-bonn.de,0228 604460,
Frau Brandt Conceptstore,Germany,Bonn,concept store,"Hermannstraße 11, 53225 Bonn, Germany",https://www.fraubrandt.de/,hallo@fraubrandt.de,0228 84259114,
THE ART OF BOOKS,Germany,Bonn,bookstore,"Bonner Talweg 28A, 53113 Bonn, Germany",http://www.theartofbooks.de/,shop@theartofbooks.de,0228 28615426,
UNSERE BUCHHANDLUNG am Paulusplatz,Germany,Bonn,bookstore,"Pauluspl. 2, 53119 Bonn, Germany",http://www.unserebuchhandlung.de/,paulusplatz@unserebuchhandlung.de,0228 669816,
Bookstore Jost GmbH,Germany,Bonn,bookstore,"Hausdorffstraße 160, 53129 Bonn, Germany",http://www.buchhandlung-jost.de/,info@buchhandlung-jost.de,0228 232868,
buchLaden 46 GmbH,Germany,Bonn,bookstore,"Kaiserstraße 46, 53113 Bonn, Germany",https://www.buchladen46.de/,info@buchladen46.de,0228 223608,
The small shop e.V.,Germany,Bonn,bookstore,"Budapester Str. 5, 53111 Bonn, Germany",http://www.kinderbuch-bonn.de/,info@kinderbuch-bonn.de,0228 634335,
Parkbuchhandlung,Germany,Bonn,bookstore,"Am Michaelshof 4B, 53177 Bonn, Germany",http://www.parkbuchhandlung.de/,info@parkbuchhandlung.de,0228 352191,
La Librería de Bonn - Spanische Buchhandlung,Germany,Bonn,bookstore,"Vorgebirgsstraße 9, 53111 Bonn, Germany",https://www.lalibreria.de/,libros@lalibreria.de,0228 659215,
Buchladen Le Sabot,Germany,Bonn,bookstore,"Breite Str. 76, 53111 Bonn, Germany",http://www.lesabot.de/,buchladen@lesabot.de,0228 695193,
Beueler Buchladen,Germany,Bonn,bookstore,"Friedrich-Breuer-Straße 93, 53225 Bonn, Germany",https://beuelerbuchladen.de/,info@beuelerbuchladen.de,0228 96215900,
Design 55,Germany,Bonn,design shop,"Königswinterer Str. 731, 53227 Bonn, Germany",https://www.design55.life/,frank@design55.life,01575 5445801,
Wilh. van Dorp KG,Germany,Bonn,design shop,"Münsterpl. 25, 53111 Bonn, Germany",http://www.vandorp.de/,info@vandorp.de,0228 981920,
Spielcafe Bonn Zentrum,Germany,Bonn,tabletop cafe,"Maximilianstraße 28, 53111 Bonn, Germany",http://www.spielcafebonn.de/,info@spielcafebonn.de,0228 658000,
Spielcafe Bonn Beuel,Germany,Bonn,tabletop cafe,"Friedrich-Breuer-Straße 104, 53225 Bonn, Germany",http://www.spielcafebonn.de/,info@spielcafebonn.de,0228 465045,
Spielcafe Bonn Duisdorf,Germany,Bonn,tabletop cafe,"Rochusstraße 130-132, 53123 Bonn, Germany",http://www.spielcafebonn.de/,info@spielcafebonn.de,0228 614504,
Zuckermädchen's Konditorei,Germany,Bonn,tabletop cafe,"Rheingasse 4, 53113 Bonn, Germany",http://www.zuckermaedchens.de/,info@zuckermaedchens.de,0228 92968817,
Brettspielheld,Germany,Bonn,tabletop cafe,"Niederhutstraße 52-54, 53474 Bad Neuenahr-Ahrweiler, Germany",https://brettspielheld.de/,info@brettspielheld.de,02641 8299041,
