name,country,city,type,address,website,email,phone,status
Jeux Descartes,France,Bordeaux,board game store,"69 Bis Rue des Trois-Conils, 33000 Bordeaux, France",https://www.jeuxdescartes-bordeaux.com/,descartes.bordeaux@69rtc.com,05 57 35 71 21,contacted
Games Barjo shop _,France,Bordeaux,board game store,"26 Rue des Ayres, 33000 Bordeaux, France",http://www.jeuxbarjo.com/,21jeuxbarjobordeaux@gmail.comnos,09 86 35 99 93,
Pirouettes BORDEAUX,France,Bordeaux,board game store,"130 Cr de Verdun, 33000 Bordeaux, France",http://33pirouettes.fr/,contact@33pirouettes.fr,09 81 05 70 82,contacted
Warhammer,France,Bordeaux,board game store,"12 Rue Vital Carles, 33000 Bordeaux, France",https://www.warhammer.com/,press@gwplc.comtalk,05 56 44 50 56,
La grande recré BORDEAUX SAINTE CATHERINE,France,Bordeaux,board game store,"Rue de la Prte Dijeaux, 33000 Bordeaux, France",https://www.lagranderecre.fr/magasins/bordeaux-sainte-catherine.html,rgpd@lagranderecre.com,05 57 35 33 90,contacted
Pirouettes PESSAC,France,Bordeaux,board game store,"15 Pl. de la Liberté Samuel Paty, 33600 Pessac, France",http://33pirouettes.fr/,contact@33pirouettes.fr,09 86 33 59 59,contacted
Les Comptoirs de Magellan,France,Bordeaux,board game store,"16 Rue Ravez, 33000 Bordeaux, France",http://www.comptoirsdemagellan.com/,contact@comptoirsdemagellan.com,05 56 01 13 71,contacted
Ultima Games,France,Bordeaux,game shop,"2 Av. Gustave Eiffel A630, 33600 Pessac, France",https://www.ultimagamespessac.fr/,contact@ultimagamespessac.fr,05 57 02 05 49,contacted
Cash Converters Bordeaux,France,Bordeaux,game shop,"167-169, Rue Sainte-Catherine, 33000 Bordeaux, France",https://www.cashconverters.fr/store/bordeaux,cashconvertersbordeaux@gmail.com,05 56 38 28 44,contacted
Bonhomme de Bois Bordeaux - Magasin de jouets,France,Bordeaux,toy store,"74 Rue des Trois-Conils, 33000 Bordeaux, France",http://www.bonhommedebois.com/,serviceclient@bonhommedebois.com,05 56 79 12 86,contacted
Petits Pouces,France,Bordeaux,toy store,"3 Rue du Pas-Saint-Georges, 33000 Bordeaux, France",http://petitspouces.com/?utm_source=gmb,contact@petitspouces.com,05 56 81 21 58,contacted
Perlin Paon Paon Shop Baby Bordeaux,France,Bordeaux,toy store,"45 Rue des Remparts, 33000 Bordeaux, France",http://www.perlinpaonpaon.com/,contact@perlinpaonpaon.com,05 56 69 14 37,contacted
La cabane étoilée,France,Bordeaux,toy store,"56 Rue Franz Schrader, 33000 Bordeaux, France",https://lacabaneetoilee.com/,lacabaneetoilee.staugustin@gmail.com,09 87 54 97 74,contacted
Pow Wow Kids,France,Bordeaux,toy store,"14 Rue Piliers de Tutelle, 33000 Bordeaux, France",http://www.powwowkids.com/,contact@powwowkids.com,05 57 59 36 61,contacted
Japan Market,France,Bordeaux,Japanese store,"27 Rue Saint-James, 33000 Bordeaux, France",http://www.japanmarket.fr/,serviceclient@japanmarket.fr,09 84 01 45 29,contacted
Le Géant des Beaux Arts in Bordeaux,France,Bordeaux,hobby shop,"2 Rue Parlement Sainte-Catherine, 33000 Bordeaux, France",https://www.geant-beaux-arts.fr/,bienvenue@geant-beaux-arts.fr,05 57 99 00 90,contacted
Modélisme 33,France,Bordeaux,hobby shop,"22 Av. de la Libération, 33700 Mérignac, France",http://modelisme33.net/,modelisme33@gmail.com,05 56 12 04 75,contacted
Boesner,France,Bordeaux,hobby shop,"170 Cr du Médoc Galerie Tatry, 33300 Bordeaux, France",https://www.boesner.fr/boesner-bordeaux.html,vpc@boesner.fr,05 57 19 94 19,contacted
Krazy Kat,France,Bordeaux,hobby shop,"11 Rue Saint-James, 33000 Bordeaux, France",https://www.canalbd.net/krazy-kat/,krazykatlib@canalbd.net,05 56 52 16 60,contacted
Bordeaux Cadeaux,France,Bordeaux,gift shop,"12 Cr du 30 Juillet, 33000 Bordeaux, France",https://www.bordeaux-cadeaux.com/,boutique@bordeaux-tourisme.com,05 56 00 66 03,contacted
BORDEAUX SHOP (E-commerce uniquement),France,Bordeaux,gift shop,"138 Cr Marechal Gallieni, 33400 Talence, France",https://www.bordeaux-shop.fr/,contact@bordeaux-shop.fr,09 67 22 97 19,contacted
Les Comptoirs de Magellan Chartrons,France,Bordeaux,gift shop,"16 cours Portal, 5 Pl. du Marché Chartrons, 33000 Bordeaux, France",https://www.comptoirsdemagellan.com/,contact@comptoirsdemagellan.com,05 57 83 25 20,contacted
Le Puits d'Amour,France,Bordeaux,gift shop,"113 Rue Fondaudège, 33000 Bordeaux, France",https://www.le-puits-damour.com/,contact@le-puits-damour.com,05 33 51 94 98,contacted
Promenade Sainte Catherine,France,Bordeaux,gift shop,"49-51 Rue Sainte-Catherine, 33000 Bordeaux, France",https://www.promenade-sainte-catherine.com/,pscbordeaux@gmail.com,05 33 09 44 49,contacted
Little green cocoon,France,Bordeaux,gift shop,"52 Rue des Remparts, 33000 Bordeaux, France",http://www.littlegreencocoon.fr/,hello@littlegreencocoon.fr,09 52 19 73 68,contacted
Cosy Concept Bordeaux,France,Bordeaux,concept store,"28 Rue des Remparts, 33000 Bordeaux, France",https://cosy-concept.fr/,contact@cosy-concept.fr,09 87 54 17 98,contacted
Ømm Concept Store & Décoration Intérieure Bordeaux,France,Bordeaux,concept store,"43 Rue Saint-James, 33000 Bordeaux, France",https://www.omm.fr/,efitton@omm.fr,05 56 38 25 68,contacted
Coutume - Concept Store Bordeaux Saint-Paul - Le Quotidien Éco-responsable,France,Bordeaux,concept store,"40 Rue Sainte-Colombe, 33000 Bordeaux, France",https://www.coutume.store/,hello@coutume.store,05 56 24 05 59,contacted
Jane de Boy Bordeaux,France,Bordeaux,concept store,"8 Cr du 30 Juillet, 33000 Bordeaux, France",https://www.janedeboy.com/,08contact@janedeboy.com,05 56 30 19 08,contacted
The Store Bordeaux,France,Bordeaux,concept store,"28 Rue de la Prte Dijeaux, 33000 Bordeaux, France",http://www.thestore.fr/,contact@thestore.fr,09 73 88 47 13,contacted
Mint,France,Bordeaux,concept store,"48 Rue du Pas-Saint-Georges, 33000 Bordeaux, France",http://mintbazar.fr/,mintbazar@yahoo.fr,05 56 44 96 96,contacted
At Beautiful Game,France,Lille,board game store,"127 Rue du Molinel, 59800 Lille, France",http://www.aubeaujeu.com/,aubeaujeu@gmail.com,06 27 09 88 73,contacted
Fuji Store - Lille,France,Lille,board game store,"136 Rue Nationale, 59800 Lille, France",https://fuji-store.fr/?utm_campaign=GMB+L&utm_medium=GMB&utm_source=GMB,contact@fuji-store.fr,09 60 04 86 70,contacted
Ludotrotter Lille,France,Lille,board game store,"357 Av. de Dunkerque, 59160 Lille, France",https://ludotrotter.fr/,sav@ludotrotter.fr,03 62 23 58 76,contacted
Gamecash,France,Lille,board game store,"271 Rue Léon Gambetta, 59000 Lille, France",https://www.gamecash.fr/magasin-gamecash-lille-gambetta-m34.html,lillegambetta@gamecash.fr,03 62 28 53 07,contacted
Lord of the Games,France,Lille,board game store,"12 Pl. Pierre Mendès France, 59290 Wasquehal, France",https://lordofthegames.fr/,contact@lordofthegames.fr,03 66 59 93 22,contacted
Cash'Land,France,Lille,board game store,"279 Rue Léon Gambetta, 59000 Lille, France",http://cashland.fr/,cashland59000@hotmail.com,06 26 36 75 06,contacted
La Boutik Ludik (jeux de société),France,Lille,board game store,"Rue du Maréchal Foch, 59320 Haubourdin, France",https://laboutikludik.fr/,laboutikludik@gmail.comliens,09 87 65 30 92,
MANGA DOKAZE - neufs et occasions X gunpla X Tcg,France,Lille,board game store,"7 Rue de la Clef, 59000 Lille, France",https://www.canalbd.net/manga-dokaze/,mangadokaze59800@gmail.com,03 62 13 37 03,contacted
Little Cecile,France,Lille,toy store,"119 Rue du Molinel, 59800 Lille, France",https://www.little-cecile.com/,hello@little-cecile.com,03 20 37 29 00,contacted
Bonhomme de Bois Lille - Magasin de jouets,France,Lille,toy store,"17 Rue des Ponts de Comines, 59000 Lille, France",https://www.bonhommedebois.com/bonhomme-de-bois-lille?utm_source=google&utm_medium=organic&utm_campaign=FicheGoogleMyBusinessLille,serviceclient@bonhommedebois.com,03 28 36 04 20,contacted
Loisirs Scientific,France,Lille,toy store,"3 Pl. Richebé, 59800 Lille, France",http://www.loisirs-scientific.com/,contact@loisirs-scientific.com,03 20 54 39 90,contacted
MAISON SATORI - Maison du matcha et du Japon à Lille,France,Lille,Japanese store,"83 Rue du Molinel, 59800 Lille, France",https://www.maisonsatori.fr/,contact@maisonsatori.fr,09 75 55 86 18,contacted
ATELIER KUMØ - LILLE,France,Lille,Japan shop,"7 Rue de l'Hôpital Militaire, 59000 Lille, France",http://www.atelierkumo.fr/,47hello@atelierkumo.fr,03 67 99 26 77,contacted
Books Manga no Yume,France,Lille,Japan shop,"28 Rue de Puebla, 59800 Lille, France",https://www.manganoyume.fr/decouvrir_la_librairie/,manganoyume@orange.fr,03 20 12 05 11,contacted
UNIQLO EURALILLE,France,Lille,Japan shop,"100 Av. Willy Brandt, 59777 Lille, France",https://www.uniqlo.com/fr/fr/home?utm_campaign=local&utm_medium=organic&utm_source=google,contactusfr@uniqlo.eu,,contacted
Le Géant des Beaux-Arts in Lille,France,Lille,hobby shop,"25 Rue Gustave Delory, 59000 Lille, France",https://www.geant-beaux-arts.fr/,bienvenue@geant-beaux-arts.fr,03 28 37 49 95,contacted
el MARKET Wazemmes,France,Lille,gift shop,"128 Rue Léon Gambetta, 59000 Lille, France",https://www.elmarket.fr/,contact@elmarket.fr,03 20 50 30 72,contacted
Memento Mori,France,Lille,gift shop,"122 Rue Esquermoise, 59800 Lille, France",http://www.mementomori-shop.com/,38carpediem@mementomori-shop.com,03 20 55 38 38,contacted
Chromosome A,France,Lille,gift shop,"68 Rue de l'Hôpital Militaire, 59800 Lille, France",http://www.chromosome-a.com/,chromosome-a@outlook.fr,06 62 27 17 43,contacted
