name,country,city,type,address,website,email,phone,status
Dvorek store,Czech Republic,Brno,gift shop,"Pekařská 84, 602 00 Brno-střed, Czechia",http://dvorekstore.cz/,store@dvorekstore.cz,774 140 215,
Shanti & Co. Ltd.,Czech Republic,Brno,gift shop,"Zábrdovická 801/11, 615 00 Brno-Židenice-Zábrdovice, Czechia",https://www.shanti.cz/,info@shanti.cz,533 534 201,
The Candy Store,Czech Republic,Brno,gift shop,"Nové sady 2, 602 00 Brno-Brno-střed, Czechia",http://www.candy-store.cz/,info@candy-store.cz,605 572 708,
PTÁKOVINY BRNO - PARTY WORLD,Czech Republic,Brno,gift shop,"Pekařská 12, 602 00 Brno-Brno-střed, Czechia",http://www.ptakoviny-brno.cz/,eshop@partyworld.cz,722 460 227,
Department store Vágner,Czech Republic,Brno,gift shop,"16, Česká 151, 602 00 Brno-Brno-střed, Czechia",http://www.vagner.cz/,info@vagner.cz,542 212 922,
Manžetové knoflíčky EU - manzetove-knoflicky.EU,Czech Republic,Brno,gift shop,"nám. Svobody 87/18, 602 00 Brno-střed, Czechia",http://www.manzetove-knoflicky.eu/,info@manzetove-knoflicky.eu,737 953 953,
DAREX,Czech Republic,Brno,gift shop,"Kounicova 274/19, 602 00 Brno-střed-Veveří, Czechia",http://darkovepotraviny.cz/,info@darkovepotraviny.cz,776 272 083,
ROYAL CRYSTAL s.r.o.,Czech Republic,Brno,gift shop,"Vídeňská 182/102j, 619 00 Brno-Brno-jih, Czechia",https://www.royalcrystal.cz/,eshop@royalcrystal.cz,728 353 009,
Antik u Papouška (Starožitnosti - Aukce - Brno),Czech Republic,Brno,gift shop,"Kotlářská 28, 602 00 Brno-Brno-střed, Czechia",https://upapouska.cz/?utm_source=GMB,info@upapouska.cz,737 588 264,
GRAFF SHOP BRNO,Czech Republic,Brno,gift shop,"Kopečná 7, Staré Brno, 602 00 Brno-Brno-střed, Czechia",http://www.graff-shop.cz/,info@graffshopbrno.cz,773 721 608,
Object store,Czech Republic,Brno,concept store,"Údolní 25, 602 00 Brno-Brno-střed, Czechia",http://www.objectstore.cz/,info@objectstore.cz,728 727 840,
Youngprimitive Showroom,Czech Republic,Brno,concept store,"Luční 28, 616 00 Brno-Brno-Žabovřesky, Czechia",https://www.youngprimitive.cz/,info@youngprimitive.cz,,
Wolfgang Store,Czech Republic,Brno,concept store,"Radnická 8, 602 00 Brno-střed-Brno-město, Czechia",http://www.wolfgangstore.cz/,hello@wolfgangstore.cz,702 000 340,
House,Czech Republic,Brno,concept store,"Ve Vaňkovce 1, 602 00 Brno-střed-Trnitá, Czechia",https://www.housebrand.com/cz/cz/,support.cz@housebrand.com,778 748 816,
Tobitex Outlet,Czech Republic,Brno,concept store,"5, Heršpická 813, 639 00 Brno-střed, Czechia",https://www.mode.cz/,info@mode.cz,601 558 667,
Campus Square,Czech Republic,Brno,concept store,"Netroufalky 770, 625 00 Brno-Bohunice, Czechia",http://www.campusbrno.cz/,campusbrno@cbre.com,538 728 690,
PLAZA fashion store,Czech Republic,Brno,concept store,"Heršpická 1009/11c, 639 00 Brno-střed, Czechia",http://www.plazafashionstore.cz/,simona.vrzalova78@seznam.cz,774 555 888,
Element Store,Czech Republic,Brno,concept store,"Heršpická 814/5a, 639 00 Brno-střed, Czechia",https://www.elementstore.cz/,info@elementstore.cz,720 582 035,
Alchemist - hand-blended perfume,Czech Republic,Brno,concept store,"Šilingrovo nám. 7, 602 00 Brno-střed, Czechia",http://www.alchymistaatelier.cz/,alchymista@alchymista-parfumerie.cz,777 733 103,
PHILIP MARTIN’S Concept Store ERCOLANI,Czech Republic,Brno,concept store,"Chaloupkova 1, 612 00 Brno-Královo Pole, Czechia",http://www.ercolani.cz/,karin@ercolani.cz,603 416 645,
Marinada Store,Czech Republic,Brno,concept store,"Jiráskova 15, 602 00 Brno-střed, Czechia",http://www.marinada-store.cz/,info@marinada-store.czprovozovatel,737 899 827,
Ty Identity,Czech Republic,Brno,concept store,"2, Poštovní 39, Moravská Ostrava, 702 00 Ostrava-Moravská Ostrava a Přívoz, Czechia",http://www.tyidentity.cz/,263ostrava@tyidentity.cz,724 339 157,
Black Lotus,Czech Republic,Ostrava,board game store,"1, Puchmajerova 208, 702 00 Moravská Ostrava a Přívoz, Czechia",http://www.blacklotus.cz/,info@blacklotus.cz,776 677 157,
kobzahry.cz,Czech Republic,Ostrava,board game store,"28. října 1422/299, 709 00 Ostrava-Mariánské Hory a Hulváky, Czechia",http://www.kobzahry.cz/,obchod@kobzahry.cz,603 238 289,
kobzahry,Czech Republic,Ostrava,board game store,"Výškovická 2636/116, 700 30 Ostrava-jih, Czechia",http://kobzahry.cz/,obchod@kobzahry.cz,603 238 289,
TBgames.cz - prodej elektronických licencí PC her,Czech Republic,Ostrava,board game store,"Hájkovická 325/7, 725 26 Ostrava-Krásné Pole, Czechia",https://tbgames.cz/,info@tbgames.cz,,
imago - vše pro milovníky fantasy a scifi,Czech Republic,Ostrava,board game store,"K Myslivně 2362/9, 708 00 Ostrava-Poruba, Czechia",https://www.imago.cz/,info@imago.cz,774 421 641,
Yogi - hry a hlavolamy,Czech Republic,Ostrava,board game store,"37, Nádražní 449, 702 00 Ostrava-Moravská Ostrava a Přívoz, Czechia",https://www.yogihry.cz/,yogi@yogi.cz,733 315 785,
ALBI prodejna - Avion Shopping Park Ostrava,Czech Republic,Ostrava,board game store,"114 3114 Rudná, 700 30 Ostrava-jih, Czechia",http://www.albi.cz/,eshop@albi.cz,604 228 806,
ALBI,Czech Republic,Ostrava,board game store,"Jantarová 3344/4, 702 00 Moravská Ostrava a Přívoz, Czechia",http://www.albi.cz/,eshop@albi.cz,731 534 859,
4lol trade s.r.o.,Czech Republic,Ostrava,board game store,"28. října 250/285, Hulváky, 709 00 Ostrava-Mariánské Hory a Hulváky, Czechia",https://www.4lol.cz/,info@4lol.cz,737 541 244,
Hračky-kong.cz,Czech Republic,Ostrava,board game store,"7, Obránců míru 863, 703 00 Ostrava-Vítkovice, Czechia",https://www.hracky-kong.cz/,info@hracky-kong.cz,733 610 330,
The Chamber Escape Games Ostrava,Czech Republic,Ostrava,board game store,"Smetanovo náměstí, 702 00 Moravská Ostrava a Přívoz, Czechia",http://ostrava.thechamber.cz/,a.salomon@thechamber.cz,720 071 473,
Bang Bang Ostrava,Czech Republic,Ostrava,game shop,"Zámecká 18, 702 00 Moravská Ostrava a Přívoz, Czechia",https://bangbang.cz/,ostravaostrava@bangbang.cz,734 876 767,
KUPAHREJ.CZ s.r.o.,Czech Republic,Ostrava,game shop,"Josefa Brabce 2875/31, 702 00 Ostrava-Moravská Ostrava a Přívoz, Czechia",https://www.kupahrej.cz/,info@kupahrej.cz,608 856 037,
E-GAME,Czech Republic,Ostrava,game shop,"126, Rudná 3120, 700 30 Ostrava-jih, Czechia",http://www.e-game.cz/,info@e-game.cz,604 964 334,
OZO Reuse centrum Ostrava,Czech Republic,Ostrava,game shop,"Slovenská 1083/1, 702 00 Moravská Ostrava a Přívoz, Czechia",https://www.reuse.ozoostrava.cz/,reuse@ozoostrava.cz,607 245 398,
Forum Nová Karolina,Czech Republic,Ostrava,game shop,"Jantarová 3344/4, 702 00 Moravská Ostrava a Přívoz, Czechia",http://forumnovakarolina.cz/,info@forumnovakarolina.cz,596 155 002,
SPARKYS,Czech Republic,Ostrava,toy store,"2 Ostrava 2 CZ, Jantarová 3344/4, 702 00 Ostrava-Moravská Ostrava a Přívoz, Czechia",http://www.sparkys.cz/,eshop@sparkys.cz,737 278 792,
BrickBros,Czech Republic,Ostrava,toy store,"Puchmajerova 1799/9, 702 00 Moravská Ostrava a Přívoz, Czechia",http://brickbros.cz/,info@brickbros.cz,704 523 001,
Pompo,Czech Republic,Ostrava,toy store,"Rudná 3114/114, Zábřeh, 700 30 Ostrava-Ostrava-jih, Czechia",http://www.pompo.cz/,info.eshop@pompo.cz,778 547 136,
FunBaby Ostrava,Czech Republic,Ostrava,toy store,"103, 1. máje 3236, 703 00 Ostrava-Moravská Ostrava a Přívoz, Czechia",http://www.funbaby.cz/,info@funbaby.cz,602 584 435,
Babyplace,Czech Republic,Ostrava,toy store,"2, Krmelínská 780, 720 00 Ostrava-Hrabová, Czechia",https://www.babyplace.cz/,ostrava@babyplace.cz,775 498 280,
"SAMBABY,s.r.o. Ostrava",Czech Republic,Ostrava,toy store,"Těšínská 509/79, 710 00 Slezská Ostrava, Czechia",https://sambaby.com/,sambaby@sambaby.com,721 505 076,
SPARKYS,Czech Republic,Ostrava,toy store,"Hlučínská 1173, 702 00 Moravská Ostrava a Přívoz, Czechia",https://www.sparkys.cz/prodejny/?brickBranches=0&brickBranchesCollectionPoint=0&externalBranches=0&snp[]=branchesList&snp[]=branchesMarkersList&lat=49.8209226&lng=18.2625243&page=1#,eshop@sparkys.cz,720 942 268,
Obchodní dům OC LASO Ostrava,Czech Republic,Ostrava,toy store,"Masarykovo nám. 15, 702 00 Moravská Ostrava a Přívoz, Czechia",http://www.laso.cz/,111sekretariat@laso.cz,,
Children's Shoes MTG,Czech Republic,Ostrava,toy store,"Bohumíra Četyny 15, 700 30 Ostrava-jih-Bělský Les, Czechia",http://www.detske-boticky.cz/,info@vseprohobby.cz,,
Shin K-Food,Czech Republic,Ostrava,Japanese store,"Nádražní 1258, 702 00 Moravská Ostrava a Přívoz, Czechia",https://shinfood.com/,shinfood.eshop@gmail.com,739 180 971,
Korejské potraviny s.r.o. - KORPOT.CZ,Czech Republic,Ostrava,Japanese store,"Hlavní tř. 684, 708 00 Ostrava-Poruba, Czechia",http://korpot.cz/,eshop@korpot.cz,774 582 198,
ORIENTAL goods from around the world,Czech Republic,Ostrava,Japanese store,"Výškovická 3085/2, 700 30 Ostrava-jih-Zábřeh, Czechia",http://www.oriental.cz/,eshop@oriental.cz,777 788 854,
