name,country,city,type,address,website,email,phone,status
Dille & Kamille - Brussel Grasmarkt,Belgium,Brussels,gift shop,"Rue du Marché aux Herbes 36/5, 1000 Bruxelles, Belgium",http://www.dille-kamille.be/,klantenservice@dille-kamille.com,02 669 30 01,contacted
A.ME Concept Store Bruxelles,Belgium,Brussels,concept store,"Rue de Namur 99, 1000 Bruxelles, Belgium",https://ameconceptstore.com/,info@ameconceptstore.com,0470 96 68 35,contacted
ADN Concept Store,Belgium,Brussels,concept store,"Rue du Bailli 40, 1050 Ixelles, Belgium",http://adnconceptstore.com/,amelieregniez82@gmail.com,0455 12 09 51,contacted
Flash Capsules Concept store Bruxelles,Belgium,Brussels,concept store,"Rue des Chartreux 23, 1000 Bruxelles, Belgium",https://flashcapsules.com/,contact@flashcapsules.com,0470 37 38 32,contacted
Mayfair.bxl,Belgium,Brussels,concept store,"Bd de Waterloo 25, 1000 Bruxelles, Belgium",https://www.mayfairbxl.com/,louise@lamaisonmayfair.be,02 375 62 26,contacted
Mellow Concept - Amazone,Belgium,Brussels,concept store,"Rue de l'Amazone 27, 1050 Bruxelles, Belgium",http://www.mellowconcept.com/,hello@mellowconcept.com,02 538 26 29,contacted
Smets Brussels,Belgium,Brussels,concept store,"Rue de Namur 68, 1000 Bruxelles, Belgium",http://www.smets.lu/,e-shop@smets.lu,02 325 12 30,contacted
Juttu,Belgium,Brussels,concept store,"Av. de la Toison d'Or 26/28, 1050 Bruxelles, Belgium",https://www.juttu.be/fr/magasins/bruxelles-toison-dor.html?utm_source=google&utm_medium=organic&utm_content=BE505&utm_campaign=localmaps,15team@juttu.be,02 771 95 34,contacted
The Playground - Board Games,Belgium,Antwerp,board game store,"Hoofdkerkstraat 7, 2000 Antwerpen, Belgium",http://www.the-playground.be/,info@the-playground.be,03 336 03 05,contacted
Gamealot,Belgium,Antwerp,board game store,"Amerlolaan 8, 2900 Schoten, Belgium",https://gamealot.shop/,hello@gamealot.shop,0498 62 01 72,contacted
FANS - Collectibles & Verzamelobjecten Antwerpen,Belgium,Antwerp,board game store,"Kammenstraat 80, 2000 Antwerpen, Belgium",https://www.fanssite.be/,info@fanssite.be,03 232 31 72,contacted
in den olifant,Belgium,Antwerp,board game store,"Lombardenstraat 12, 2000 Antwerpen, Belgium",http://www.indenolifant.be/,info@indenolifant.be,03 231 61 14,contacted
Worlds' End Comics & Games Center,Belgium,Antwerp,board game store,"Ketelvest 51 B, 9000 Gent, Belgium",http://www.worldsendcomics.com/,info@worldsendcomics.com,09 222 05 76,contacted
Thissen Biljarts nv,Belgium,Antwerp,board game store,"Van Arteveldestraat 48, 2060 Antwerpen, Belgium",https://www.thissen.be/,info@thissen.be,03 233 54 18,contacted
Mekanik Strip,Belgium,Antwerp,board game store,"Sint-Jacobsmarkt 73, 2000 Antwerpen, Belgium",http://mekanik-strip.be/,info@mekanik-strip.be,03 234 23 47,contacted
Kikker & Ko,Belgium,Antwerp,board game store,"Gitschotellei 139, 2600 Antwerpen, Belgium",http://www.kikkerenko.com/,kikkerenko@gmail.com,03 383 59 56,contacted
Plinko Game,Belgium,Antwerp,board game store,"Smyrnaplaats 13, 2018 Antwerpen, Belgium",https://thebarrybunch.be/,contact@plinko.thebarrybunch.be,0466 01 65 51,contacted
Gamestate Antwerpen,Belgium,Antwerp,board game store,"De Keyserlei 13, 2018 Antwerpen, Belgium",https://www.gamestate.com/nl/antwerpen?utm_source=googlemijnbedrijf&utm_medium=organic,info@gamestate.com,03 404 03 77,contacted
Cardgameshop Wijnegem BV,Belgium,Antwerp,game shop,"Turnhoutsebaan 5/222, 2110 Wijnegem, Belgium",https://www.cardgameshop-wijnegem.be/,info@cardgameshop-wijnegem.be,0472 46 64 06,contacted
Toys 2000,Belgium,Antwerp,toy store,"Turnhoutsebaan 44, 2100 Antwerpen, Belgium",https://www.speelgoed2000.be/,info@speelgoed2000.be,03 325 55 10,contacted
Chuo,Belgium,Antwerp,toy store,"Pelikaanstraat 3/1490, 2018 Antwerpen, Belgium",https://www.chuo.be/,hey@chuo.be,,contacted
Toys4kids,Belgium,Antwerp,toy store,"Blauwesteenstraat 110 J, 2550 Kontich, Belgium",https://www.toys4kids.be/nl,info@toys4kids.be,0492 46 84 68,contacted
Lucky Baby,Belgium,Antwerp,toy store,"Belgiëlei 25, 2018 Antwerpen, Belgium",https://www.luckybaby.be/,shop@luckybaby.be,03 218 94 92,contacted
Sun Wah Supermarket,Belgium,Antwerp,Japanese store,"Van Wesenbekestraat 16/18, 2060 Antwerpen, Belgium",https://sun-wah.be/,info@sun-wah.be,03 233 19 88,contacted
Kupuku,Belgium,Antwerp,Japanese store,"Driekoningenstraat 33, 2600 Antwerpen, Belgium",http://www.kupuku.be/,info@kupuku.be,03 281 87 04,contacted
Umamido Ramen Antwerp Groenplaats,Belgium,Antwerp,Japanese store,"Groenplaats 15, 2000 Antwerpen, Belgium",https://restaurants.umamido.be/ramen-antwerpen-groenplaats/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,info@umamido.be,,contacted
Asia Food Supermarket,Belgium,Antwerp,Japanese store,"Van Wesenbekestraat 27, 2060 Antwerpen, Belgium",http://www.asiafood.be/,asiafoodsupermarket@gmail.com,03 233 27 82,contacted
Black Market Antiques,Belgium,Antwerp,Japanese store,"Herentalsebaan 123, 2100 Antwerpen, Belgium",https://blackmarket.earth/,info@blackmarket.earth,0476 04 76 00,contacted
Tong Fong Supermarket,Belgium,Antwerp,Japanese store,"Boomsesteenweg 500, 2610 Antwerpen, Belgium",http://www.tongfong.be/,info@tongfong.be,03 888 68 80,contacted
Kam Yuen Supermarket,Belgium,Antwerp,Japanese store,"Rue de la Vge Noire 2, 1000 Bruxelles, Belgium",https://kam-yuen.com/,info@kam-yuen.be,02 511 48 68,contacted
Van Hongo,Belgium,Antwerp,Japanese store,"Aalmoezenierstraat 5, 2000 Antwerpen, Belgium",http://www.vanhongo.com/,izumi@vanhongo.com,0472 62 50 88,contacted
Boutique Japan,Belgium,Antwerp,Japan shop,"Rue Sainte-Catherine 15, 1000 Bruxelles, Belgium",http://www.boutiquejapan.be/,japan_bxl07@yahoo.fr,0495 26 86 68,contacted
Crafts & Things,Belgium,Antwerp,hobby shop,"Sint-Katelijnevest 48, 2000 Antwerpen, Belgium",http://www.craftsandthings.be/,info@craftsandthings.becreafair,03 232 66 21,
De Banier,Belgium,Antwerp,hobby shop,"Kipdorp 30, 2000 Antwerpen, Belgium",http://debanier.be/,hallo@debanier.be,03 202 24 71,contacted
Pipoos,Belgium,Antwerp,hobby shop,"Jezusstraat 18A, 2000 Antwerpen, Belgium",https://pipoos.com/winkels/pipoos-antwerpen,klantenservice@pipoos.nl,03 226 26 50,contacted
De Wieuw,Belgium,Antwerp,hobby shop,"Scheldestraat 59, 2000 Antwerpen, Belgium",https://www.dewieuw.be/,info@dewieuw.be,03 244 13 14,contacted
In 't Woefke,Belgium,Antwerp,hobby shop,"Herentalsebaan 371, 2100 Antwerpen, Belgium",http://intwoefke.blogspot.be/,info@intwoefke.begroetjesinge,03 353 40 52,
LadyViolet Hobbymaterialen,Belgium,Antwerp,hobby shop,"Theodoor van Ryswycklaan 34, 2850 Boom, Belgium",https://www.hobbymaterialen.be/,91hobbymaterialen@telenet.be,03 288 76 91,contacted
Modelers Heaven,Belgium,Antwerp,hobby shop,"Oude Steenweg 59, 2530 Boechout, Belgium",https://www.modelers-heaven.be/,info@modelers-heaven.be,0477 25 22 80,contacted
AVA Antwerpen,Belgium,Antwerp,hobby shop,"Brederodestraat 9/15, 2018 Antwerpen, Belgium",https://www.ava.be/?utm_campaign=gmb-website&utm_source=gmb&utm_medium=organic&utm_content=%20AVA-ANTWERPEN,info@ava.be,03 294 10 92,contacted
Lucas Creativ Merksem,Belgium,Antwerp,hobby shop,"Bredabaan 829A, 2170 Antwerpen, Belgium",https://www.lucascreativ.be/nl/winkels/merksem_8,info@lucascreativ.be,03 646 64 92,contacted
't Creatiefje,Belgium,Antwerp,hobby shop,"Sterrenlaan 128, 2610 Antwerpen, Belgium",https://www.tcreatiefje.be/,info@tcreatiefje.be,0474 50 69 02,contacted
Belgian Heritage,Belgium,Antwerp,gift shop,"Jan Blomstraat 2, 2000 Antwerpen, Belgium",http://www.belgianheritage.com/,info@belgianheritage.com,0496 23 97 33,contacted
MAS shop,Belgium,Antwerp,gift shop,"Hanzestedenplaats 11, 2000 Antwerpen, Belgium",http://masshop.be/,service@masshop.be,,contacted
Bookz&Booze Antwerpen,Belgium,Antwerp,gift shop,"Gierstraat 2, 2000 Antwerpen, Belgium",https://bookznbooze.be/antwerpen,jan@bookznbooze.be,0477 77 76 00,contacted
Dille & Kamille - Antwerpen,Belgium,Antwerp,gift shop,"Vleminckstraat 9, 2000 Antwerpen, Belgium",https://www.dille-kamille.be/nl/winkels/antwerpen/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=antwerpen,klantenservice@dille-kamille.com,03 234 32 08,contacted
MOOSE in the CITY,Belgium,Antwerp,concept store,"IJzerenwaag 10, 2000 Antwerpen, Belgium",https://www.moose-in-the-city.com/,antwerpstore@moose-in-the-city.com,03 369 12 12,contacted
Juttu,Belgium,Antwerp,concept store,"Meir 19, 2000 Antwerpen, Belgium",https://www.juttu.be/nl/winkels/antwerpen.html?utm_source=google&utm_medium=organic&utm_content=BE501&utm_campaign=localmaps,15team@juttu.be,03 231 10 44,contacted
Arte Antwerp,Belgium,Antwerp,concept store,"Kammenstraat 45, 2000 Antwerpen, Belgium",https://arte-antwerp.com/,info@arte-antwerp.com,03 300 19 11,contacted
Femm.,Belgium,Antwerp,concept store,"Statiestraat 34, 2600 Antwerpen, Belgium",https://www.femmstore.be/,info@femmstore.be,,contacted
