name,country,city,type,address,website,email,phone,status
"Metagame Kártya-, és Társasjáték Bolt",Hungary,Budapest,board game store,"Budapest, Kádár u. 10, 1132 Hungary",http://www.metagames.hu/,info@metagames.hu,(06 1) 794 4116,
Reflexshop Boardgame Shop,Hungary,Budapest,board game store,"Budapest, Eötvös u. 39, 1067 Hungary",https://reflexshop.hu/,ugyfelszolgalat@reflexshop.hu,(06 1) 773 3600,
ComPaYa társasjáték és puzzle szakbolt,Hungary,Budapest,board game store,"Budapest, Koppány u. 2-4, 1097 Hungary",http://www.compaya.hu/,info@compaya.hu,06 20 428 1186,
Board Game Café,Hungary,Budapest,board game store,"Budapest, Üllői út 46, 1082 Hungary",https://boardgamecafe.hu/,info@boardgamecafe.hu,06 70 469 9474,
"Gémklub - Társasjáték, játékbolt",Hungary,Budapest,board game store,"Budapest, József krt. 83, 1085 Hungary",https://www.gemklub.hu/,info@gemklub.hu,06 20 263 3534,
GeekCorner,Hungary,Budapest,board game store,"Budapest, Már bezárták.Csak raktár. Személyes vásárlásra nincs lehetőség, Késmárk u 16, 1158 Hungary",https://geekcorner.hu/,andras.muller@geekcorner.hu,06 30 138 0926,
DragonShop szerepjáték bolt,Hungary,Budapest,board game store,"Budapest, Izabella u. 45, 1064 Hungary",https://dragonshop.hu/,info@dragonshop.hu,06 30 076 3034,
Buda store Reflex Shop,Hungary,Budapest,board game store,"Budapest, Horvát u. 1-3, 1027 Hungary",https://reflexshop.hu/,ugyfelszolgalat@reflexshop.hu,(06 1) 773 3600,
Metagame Klub,Hungary,Budapest,board game store,"Budapest, Kresz Géza u 36, 1132 Hungary",https://www.metagames.hu/metagame-klub,info@metagames.hu,(06 1) 794 4116,
RajzfilmJátékok játékbolt - Toy Store Budapest,Hungary,Budapest,board game store,"Budapest, Ferenc krt. 28, 1092 Hungary",https://www.rajzfilmjatekok.hu/?utm_source=map&utm_medium=map&utm_campaign=map,ugyfelszolgalat@rajzfilmjatekok.hu,06 70 306 2454,
Regiment Toy Store,Hungary,Budapest,toy store,"Budapest, Teréz krt. 32, 1066 Hungary",http://www.olomkatonak.hu/,info@olomkatonak.hu,(06 1) 302 8751,
Forever Toy Store,Hungary,Budapest,toy store,"Budapest, Hernád u. 8, 1078 Hungary",https://mindorokkejatek.hu/shop/,info@mindorokkejatek.hu,06 20 318 8265,
Keiko Japan Store,Hungary,Budapest,Japanese store,"Budapest, Tomori köz 6, 1138 Hungary",https://keikojapan.hu/,info@keikojapan.hu,06 20 938 9211,
SakuraZaka,Hungary,Budapest,Japanese store,"Budapest, Erkel u. 6, 1092 Hungary",http://www.sakurazaka.hu/,info@sakurazaka.hu,(06 1) 950 5138,
World Mall,Hungary,Budapest,Japan shop,"Budapest, Szentmihályi út 167-169, 1152 Hungary",https://www.worldmall.hu/,worldmall@worldmall.hu,06 30 374 4519,
Modell & Hobby Kft.,Hungary,Budapest,hobby shop,"Budapest, Klapka u. 4-6, 1134 Hungary",https://shop.modell.hu/,megrendeles@modell.hu,(06 1) 237 0743,
RCHUNGARY - RC modellék és alkatrészek - webshop,Hungary,Budapest,hobby shop,"Budakalász, Budakalász S&K Ideas Kft, Small dead end next to the beauty salon, Kis zsákutca a szépségszalon mellett, József Attila u. 55/B, 2011 Hungary",http://www.rchungary.com/,info@rchungary.com,(06 26) 340 009,
Wonderlab,Hungary,Budapest,concept store,"Budapest, Veres Pálné u. 3, 1053 Hungary",https://wonderlabconcept.com/,hello@wonderlabconcept.com,06 20 263 8963,
Szputnyik shop D20,Hungary,Budapest,concept store,"Budapest, Dohány u. 20, 1074 Hungary",https://szputnyikshop.hu/,info@szputnyikshop.hu,(06 1) 321 3730,
Rododendron Art & Design Shop,Hungary,Budapest,concept store,"Budapest, Budapest Semmelweis utca 19, Károly krt. 22, 1052 Hungary",http://www.rodoart.com/,info@rododendronart.com,06 70 419 5329,
Bestsellers,Hungary,Budapest,bookstore,"Budapest, Október 6. u. 11, 1051 Hungary",https://bestsellers.hu/,bestsellers@bestsellers.hu,(06 1) 312 1295,
LibroShop Bookstore,Hungary,Budapest,bookstore,"Budapest, Gerlóczy u. 7, 1052 Hungary",https://librotrade.hu/,konyvrendeles@librotrade.hu,(06 1) 318 8633,
Insula books and coffee,Hungary,Budapest,bookstore,"Budapest, Deák Ferenc tér 4, 1052 Hungary",http://insula.hu/,info@insula.hu,06 20 314 2632,
