name,country,city,type,address,website,email,phone,status
Tuan Publishing bookstore,Hungary,Budapest,bookstore,"Budapest, Andrássy út 86, 1062 Hungary",http://www.tuan.hu/,info@tuan.hu,06 30 212 5177,
Írók Boltja Kft.,Hungary,Budapest,bookstore,"Budapest, Andrássy út 45, 1061 Hungary",http://www.irokboltja.hu/?t=impresszum,irokboltja@irokboltja.hu,(06 1) 322 1645,
Libertine Könyvesbolt,Hungary,Budapest,bookstore,"Budapest, Lipthay u. 12, 1027 Hungary",http://libertinekonyvesbolt.hu/,info@libertinekonyvesbolt.hu,06 30 872 0438,
Geekstore,Hungary,Budapest,comic shop,"Budapest, Teréz krt. 9, 1067 Hungary",http://geekstore.hu/,info@geekstore.hu,06 30 263 2625,
Designmarket,Hungary,Budapest,design shop,"Budapest, Kánai út 3/a, 1112 Hungary",http://www.designmarket.hu/,hello@designmarket.hu,06 70 369 2033,
Lollipop Factory 2.0,Hungary,Budapest,design shop,"Budapest, Király u. 24, 1061 Hungary",http://lollipopbudapest.com/,office@lollipopbudapest.com,06 70 626 2233,
Játsz/Ma Társasjáték Kávézó,Hungary,Budapest,tabletop cafe,"Budapest, Reáltanoda utca 16, 1053 Hungary",https://jatszma.com/,jatszma@jatszma.com,(06 1) 622 9935,
Tavern Debrecen,Hungary,Debrecen,board game store,"Debrecen, Kossuth u. 7, 4024 Hungary",https://tavern.hu/,tavern@tavern.hu,,
"Szoti Kft. - Játék, ajándék, illatszer, vegyiáru áruház",Hungary,Debrecen,board game store,"Debrecen, Galamb u. 3, 4030 Hungary",https://jatekajandekaruhaz.hu/,info@szoti.hu,(06 52) 448 585,
DODOBOX,Hungary,Debrecen,board game store,"Debrecen, Vasvári Pál u. 1, 4028 Hungary",https://dodobox.hu/,kapcsolat@dodobox.hu,06 30 643 0400,
Konzolvilág,Hungary,Debrecen,game shop,"Debrecen, Péterfia utca 18., Debrecen PLÁZA (a földszinten), 4026 Hungary",http://www.konzolvilag.hu/,info@konzolvilag.hu,(06 1) 445 1777,
Knowland Games - LED & VR szabadulószoba,Hungary,Debrecen,game shop,"Debrecen, Miklós u. 47-49/A, 4025 Hungary",https://knowland.hu/,hello@knowland.hu,06 50 106 5029,
4K Shop - LG TV-k - 4k/UHD TV Akciók // Olcsó Okos TV-k - Laptopok - Monitorok,Hungary,Debrecen,game shop,"Debrecen, Gázvezeték u. 12, 4030 Hungary",http://4kshop.hu/,info@4kshop.hu,06 30 416 1007,
Blokkbirodalom,Hungary,Debrecen,toy store,"Debrecen, Kálvin tér 4/A, 4026 Hungary",https://www.blokkbirodalom.hu/,info@blokkbirodalom.hu,06 30 951 3231,
Baby Center,Hungary,Debrecen,toy store,"Debrecen, Pesti u. 2, 4026 Hungary",https://www.babycenter.hu/,rendeles@babycenter.hu,(06 52) 485 888,
