name,country,city,type,address,website,email,phone,status
Ем Арт Бургас хоби,Bulgaria,Burgas,hobby shop,"g.k. Bratya Miladinovi, ж.к. Братя Миладинови 40, 8000 Burgas, Bulgaria",https://www.emart.bg/magazini/emart-burgas-hobby,kapka.ilieva@emart.company,088 400 0337,
crafthobbyart,Bulgaria,Burgas,hobby shop,"8000, вътрешната страна на кооперацията, g.k. Izgrev, ж.к. Изгрев 95, 8000 Burgas, Bulgaria",http://crafthobbyart.com/,info@crafthobbyart.com,089 782 2253,
Evoltras Airbrush,Bulgaria,Burgas,hobby shop,"Burgas Center, ul. ""Dimitar Brakalov"" 6, 8000 Burgas, Bulgaria",https://evoltras.com/,evoltrasairbrush@gmail.com%20%20,089 790 9665,
Art shop Shagal,Bulgaria,Burgas,hobby shop,"улица Лермонтов 43 (с лице към, срещу Харна пекарна и магазин МиниМарт, Burgas Center, ul. ""Slavyanska"", 8001 Burgas, Bulgaria",http://shagall-colors.com/,info@shagall-colors.com,088 274 8103,
KEPT LTD,Bulgaria,Burgas,hobby shop,"g.k. Lozenets, ul. ""Bigla"" 24, 1407 Sofia, Bulgaria",http://www.sofiahobbystore.com/,office@sofiahobbystore.com,089 344 6004,
Hobby Games - Badnina 10,Bulgaria,Burgas,hobby shop,"ж.к. Младост 3 302 магазин No: 1 1712, ж.к. Младост 3Mladost, 1712 Sofia, Bulgaria",http://www.hobbygamesbg.com/,informationsupport@hobbygamesbg.com,088 755 5112,
Рамки и Картини.Бг,Bulgaria,Burgas,hobby shop,"g.k. Petko R. Slaveykov, zh.k. Slaveykov 121, вх.1, 8005 Партер, Bulgaria",https://ramki-kartini.bg/,ramkikartini@gmail.com,089 846 2508,
onegift,Bulgaria,Burgas,gift shop,"Burgas Center, ul. ""Vasil Levski"" 16, 8000 Burgas, Bulgaria",https://onegift.bg/,info@onegift.bg,088 826 2222,
"Gift Shop ""Charshia""",Bulgaria,Burgas,gift shop,"Burgas Center, bul. ""Aleko Bogoridi"" 47, 8000 Burgas, Bulgaria",http://www.charshiia-handmade.com/,shop@charshiia-handmade.com,088 513 1478,
Armagan.bg,Bulgaria,Burgas,gift shop,"g.k. Lazur, zh.k. Lazur 31, вход Б, 8001 Burgas, Bulgaria",https://armagan.bg/,info@armagan.bg,087 856 7231,
Choco Shop,Bulgaria,Burgas,gift shop,"с лице към паметника, Burgas Center, ul. ""Vasil Levski"" 16, 8000 Burgas, Bulgaria",https://www.onegift.bg/,info@onegift.bg,088 826 2222,
Scandal Galleria Burgas,Bulgaria,Burgas,concept store,"6, Northern Industrial Zone, bul. “Yanko Komitov” str, 8000 Burgas, Bulgaria",https://globalbrands.bg/,info@globalbrands.bg,089 249 7410,
Модна къща Emozione,Bulgaria,Burgas,concept store,"Burgas Center, ul. ""Konstantin Fotinov"" 40, 8000 Burgas, Bulgaria",http://emozione-fashion.com/,office@emozione-fashion.com,088 730 8170,
Cropp,Bulgaria,Burgas,concept store,"Northern Industrial Zone, bul. “Yanko Komitov” 6, 8000 Burgas, Bulgaria",https://www.cropp.com/bg/bg/,support.bg@cropp.com,089 333 2164,
Gala Collezione,Bulgaria,Burgas,concept store,"Northern Industrial Zone, бул. „Транспортна“ 19, 8008 Burgas, Bulgaria",https://www.esteta.bg/,sofia-1@esteta.bg,088 333 5380,
Carta Magica Game Shop,Croatia,Zagreb,board game store,"Frankopanska ul. 20, 10000, Zagreb, Croatia",http://www.cartamagica.hr/,webshop@cartamagica.hr,,
Magic Omens - TCG & Board Games Shop,Croatia,Zagreb,board game store,"Savska cesta 144A, 10000, Zagreb, Croatia",https://magicomens.com/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing,contact@magicomens.com,091 982 0250,
"GameStore (gamestore.hr) - GameStore je trgovina i servis igraćih konzola, dodatne gaming, opreme, mobitela i tableta.",Croatia,Zagreb,board game store,"Tržnica Savica 1.kat, Lastovska ul. 2a, 10000, Zagreb, Croatia",http://www.gamestore.hr/,info@gamestore.hr,092 334 4455,
LAND OF MAGIC,Croatia,Zagreb,board game store,"Frankopanska ul. 22, 10000, Zagreb, Croatia",http://www.cartamagica.hr/,webshop@cartamagica.hr,01 4870 077,
Carta Magica Hobby Shop,Croatia,Zagreb,board game store,"Frankopanska ul. 24, 10000, Zagreb, Croatia",https://www.cartamagica.hr/,webshop@cartamagica.hr,01 5813 691,
Znanje Bookshop,Croatia,Zagreb,board game store,"Gajeva ul. 1, 10000, Zagreb, Croatia",https://znanje.hr/,webshop@znanje.hr,01 5812 852,
Svijet Medija Centar Kaptol,Croatia,Zagreb,board game store,"Nova Ves 17, 10000, Zagreb, Croatia",https://www.svijet-medija.hr/,servis@svijet-medija.hr,01 4666 200,
Arena Center,Croatia,Zagreb,game shop,"Ul. Vice Vukova 6, 10020, Zagreb, Croatia",http://www.arenacentar.hr/,info@arenacentar.hr,01 6661 411,
Fidia d.o.o.,Croatia,Zagreb,game shop,"Korčulanska ul. 3A, 10000, Zagreb, Croatia",http://www.fidia.hr/,info@fidia.hr,01 6180 297,
GAME ELECTRONIC Kruge (prodaja & servis),Croatia,Zagreb,game shop,"Kruge 43, 10000, Zagreb, Croatia",https://www.game-electronic.hr/,ps.servis87@gmail.com,098 163 3353,
Svijet Medija Avenue Mall,Croatia,Zagreb,game shop,"Avenija Dubrovnik 16, 10000, Zagreb, Croatia",https://www.svijet-medija.hr/avenue-mall,avenue.mall@svijet-medija.hr,01 6554 660,
Svijet Medija Importanne Galleria,Croatia,Zagreb,game shop,"Trg Drage Iblera 10, 10000, Zagreb, Croatia",http://www.svijet-medija.hr/,servis@svijet-medija.hr,01 4554 882,
Svijet Medija Dubrava,Croatia,Zagreb,game shop,"Koledinečka ul. 8, 10040, Zagreb, Croatia",http://www.svijet-medija.hr/,servis@svijet-medija.hr,01 2850 919,
GAME ELECTRONIC d.o.o,Croatia,Zagreb,game shop,"Ul. Matije Gupca 13, 10410, Velika Gorica, Croatia",http://www.game-electronic.hr/,ps.servis87@gmail.com,098 163 3353,
ToyBox,Croatia,Zagreb,toy store,"Medarska ul. 80, 10000, Zagreb, Croatia",http://www.toybox.com.hr/,amdpromet@gmail.com,01 6560 509,
Male stvari doo,Croatia,Zagreb,toy store,"Ul. Vjenceslava Richtera 4, 10020, Zagreb, Croatia",https://male-stvari.hr/,shop@male-stvari.hr,01 4846 461,
Škrinjica,Croatia,Zagreb,toy store,"Ul. Dragutina Domjanića 8, 10000, Zagreb, Croatia",http://www.skrinjica.com/,info@skrinjica.com,01 2301 564,
Atelier Bébés,Croatia,Zagreb,toy store,"Jurišićeva ul. 8, 10000, Zagreb, Croatia",https://www.atelierbebes.com/,info@atelierbebes.com,099 337 3730,
www.busy-bee.hr,Croatia,Zagreb,toy store,"Hondlova 2a, 10000, Zagreb, Croatia",https://www.busy-bee.hr/,info@busy-bee.hr,099 865 6639,
Müller,Croatia,Zagreb,toy store,"Trg bana Josipa Jelačića 8, 10000, Zagreb, Croatia",https://www.mueller.hr/moja-poslovnica/,info@mueller.hr,01 4893 150,
Super Konzum,Croatia,Zagreb,toy store,"Radnička cesta 49, 10000, Zagreb, Croatia",https://www.konzum.hr/,konzum@konzum.hr,0800 400 000,
