name,country,city,type,address,website,email,phone,status
Good Games Canberra,Australia,Canberra,Board Game and Trading Card Store,"Level 1, 122 Alinga St, Canberra ACT 2601",https://goodgames.com.au,shop@goodgames.com.au,(02) 6247 0836,
The Games Capital,Australia,Canberra,Board Game and Hobby Store,"38 Garema Pl, Canberra ACT 2601",https://thegamescapital.com.au,shop@goodgames.com.au,(02) 6248 7739,
Canberra Games Society,Australia,Canberra,Gaming Club and Hobby Store,"15/151 Gladstone St, Fyshwick ACT 2609",https://cgs.asn.au,info@cgs.asn.au,0400 000 000,
Tabletop Warfare,Australia,Canberra,Miniature and Board Game Store,"Unit 2, 151 Gladstone St, Fyshwick ACT 2609",https://tabletopwarfare.com.au,info@tabletopwarfare.com.au,(02) 6280 4444,
Puzzle Palace,Australia,Canberra,Puzzle Store,"Canberra Centre, Bunda St, Canberra ACT 2601",https://puzzlepalace.com.au,info@puzzlepalace.com.au,(02) 6247 5555,
Meet Gather Collect,Australia,Canberra,Concept store,"68 Bandjalong Crescent, Aranda ACT 2614",https://meetgathercollect.com.au,hello@meetgathercollect.com.au,0412 345 678,
Quizzic Alley,Australia,Canberra,Fantasy shop,"5B/105 Mawson Pl, Mawson ACT 2607",https://quizzicalley.com,magic@quizzicalley.com,02 6286 6666,
Paperchain Bookstore,Australia,Canberra,Bookstore,"34 Franklin St, Manuka ACT 2603",https://paperchainbookstore.com.au,info@paperchainbookstore.com.au,02 6295 6723,
Games Capital,Australia,Canberra,Geek culture shop,"30-32 Garema Pl, Canberra ACT 2601",https://thegamescapital.com.au,shop@goodgames.com.au,02 6248 7737,
The Canberra Glassworks Shop,Australia,Canberra,Design shop,"11 Wentworth Ave, Kingston ACT 2604",https://canberraglassworks.com,galleryshop@canberraglassworks.com,02 6260 7005,
Craft ACT,Australia,Canberra,Design shop,"Level 1, North Building, 180 London Circuit, Canberra ACT 2601",https://craftact.org.au,hello@craftanddesigncanberra.org,02 6262 9333,
Good Games Maroochydore,Australia,Sunshine Coast,Hobby and Game Store,"1/100 Aerodrome Rd, Maroochydore QLD 4558",https://goodgames.com.au,shop@goodgames.com.au,(07) 5443 3333,
Vault Games,Australia,Sunshine Coast,Tabletop Game Shop,"Shop 1/128 Brisbane Rd, Mooloolaba QLD 4557",https://vaultgames.com.au,orders@vaultgames.com.au,(07) 5444 0000,
Sushi Kotobuki,Australia,Sunshine Coast,Sushi restaurant,"Shop 5/100 Mooloolaba Esplanade, Mooloolaba QLD 4557",https://sushikotobuki.com.au,info@sushikotobuki.com.au,07 5444 2222,
The Bookshop at Caloundra,Australia,Sunshine Coast,bookstore,"48 Bulcock St, Caloundra QLD 4551",https://www.thebookshopatcaloundra.com.au,shop@bookshopcaloundra.com.au,0754914836,
Design Haven,Australia,Sunshine Coast,design shop,"12 Main St, Montville QLD 4560",https://www.designhaven.com.au,enquiries@designhaven.com.au,0754429977,
Akiba,Australia,Canberra,Asian fusion restaurant,"40 Bunda St, Canberra ACT 2601",https://akiba.com.au,info@akiba.com.au,0261620602,
