name,country,city,type,address,website,email,phone,status
McKay's Chattanooga,United States,Chattanooga,Bookstore,"7734 Lee Highway, Chattanooga, TN 37421",https://mckaybooks.com,support@mckaybooks.com,(423) 800-8119,
Twenty-Two,United States,Chattanooga,Design Shop,"1413 Chestnut Street, Unit 105, Chattanooga, TN 37402",https://shopattwentytwo.com,shopattwentytwo@gmail.com,(423) 654-8111,
Vault of Midnight,United States,Grand Rapids,Comic Shop,"95 A Monroe Center St NW, Grand Rapids, MI 49503",https://www.vaultofmidnight.com,contact@vaultofmidnight.com,(616) 777-0978,
The Comic Signal,United States,Grand Rapids,Comic & Game Shop,"4318 Plainfield Ave NE Suite H, Grand Rapids, MI 49525",https://comicsignal.com,comicsignal@gmail.com,(616) 259-8017,
Schuler Books,United States,Grand Rapids,Bookstore,"2660 28th St SE, Grand Rapids, MI 49512",https://schulerbooks.com,info@schulerbooks.com,(616) 942-2561,
Hatch Art House,United States,Madison,Art gallery and gift shop,"1248 Williamson St, Madison, WI 53703",https://hatcharthouse.com,hatcharthouse@gmail.com,(608) 237-2775,
Ultimate Comics Southpoint,United States,Durham,Comic Book Store,"6910 Fayetteville Rd, Floor 2, Durham, NC 27713",https://ultimatecomics.com,juanse@ultimatecomics.com,(919) 972-1337,
Patina,United States,Durham,Design Shop,"2695 Durham-Chapel Hill Blvd, Durham, NC 27707",https://patinadurhamnc.com/,sissy@patinadurhamnc.com,(919) 949-0134,
Little Wars,United States,Baton Rouge,Hobby Shop / Game Store,"7543 Jefferson Highway, Suite B, Baton Rouge, LA 70806",https://littlewars.com/,manager@littlewars.com,(225) 927-9411,
Black Swan Books,United States,Lexington,Bookstore,"505 East Maxwell St., Lexington, KY 40502",https://blackswanbooks.net,info@blackswanbooks.net,(859) 252-7255,
Savannah Lion Games,United States,Savannah,Hobby Shop / Game Store,"1108 E Hwy 80, Ste 300, Pooler, GA 31322",https://www.savannahliongames.com/,savannahliongames@gmail.com,912-349-1231,
"E. Shaver, Bookseller",United States,Savannah,Bookstore,"326 Bull St, Savannah, GA 31401",https://eshaverbooks.com,eshavers@gmail.com,(912) 234-7257,
The Book Lady Bookstore,United States,Savannah,Bookstore,"6 E Liberty St, Savannah, GA 31401",https://thebookladybookstore.com,books@thebookladybookstore.com,(912) 233-3628,
WordsWorth Books,United States,Little Rock,Independent Bookstore,"5920 R St, Little Rock, AR 72207",http://wordsworthbookstore.com/,info@wordsworthbookstore.com,(501) 663-9198,
Sammy's Bookshelf,United States,Little Rock,Independent Bookstore,"11121 N Rodney Parham Rd, Ste 13A, Little Rock, AR 72211",https://sammysbookshelf.com/,info@sammysbookshelf.com,(501) 554-5090,
Moxy Modern Mercantile,United States,Little Rock,Gift Shop / Concept Store,"1419 Main St, Little Rock, AR 72202",https://moxymodernmercantile.com/,heymoxy@moxymodern.com,(501) 374-2474,
The Crown Shop,United States,Little Rock,Gift Shop,"10700 N Rodney Parham Rd, B1, Little Rock, AR 72212",https://thecrownshop.com/,shop@thecrownshop.com,(501) 227-8442,
Epic Loot Games & Comics,United States,Dayton,Tabletop Game and Comic Shop,"9130 Dayton Lebanon Pike, Centerville, OH 45458",https://www.epiclootgames.com/,store@epiclootgames.com,(937) 436-7305,
Smitty's Hobby Shop,United States,Dayton,Hobby Shop,"3706 Wilmington Pike, Kettering, OH 45429",https://ipmsusa.org/,manager@ipmsusa.org,(937) 299-7991,
The CoSHOP (at The Contemporary Dayton),United States,Dayton,Concept Store / Design Shop,"25 W 4th St, Dayton, OH 45402",https://codayton.org,contact@codayton.org,(937) 224-3822,
