name,country,city,type,address,website,email,phone,status
Ducky Memories,Denmark,Copenhagen,toy store,"Frederiksberggade, Strøget 28, 1459 København, Denmark",https://www.duckymemories.dk/,info@duckymemories.dk,31 89 03 55,contacted
Superhelten,Denmark,Copenhagen,toy store,"Nordre Frihavnsgade 21, 2100 København Ø, Denmark",https://www.superheltenlegetoej.dk/,kundeservice@superhelten.dk,39 39 30 55,contacted
Animerch,Denmark,Copenhagen,toy store,"Klosterstræde 15, 1157 København K, Denmark",http://www.animerch.dk/,45361535support@animerch.dk,,contacted
Maduro,Denmark,Copenhagen,toy store,"Frederiksborggade 39, 1360 København, Denmark",http://www.maduro.dk/,info@maduro.dk,33 93 28 33,contacted
ILLUM,Denmark,Copenhagen,toy store,"Østergade 52, 1100 København, Denmark",https://illum.dk/,info@illum.dk,33 14 40 02,contacted
MUJI København,Denmark,Copenhagen,Japanese store,"Østergade 52, 1100 København, Denmark",https://illum.dk/en/stories/muji-fashion-to-value/,info@illum.dk,31 46 45 80,contacted
Sakura Copenhagen,Denmark,Copenhagen,Japanese store,"Gl. Kongevej 91, 1850 Frederiksberg C, Denmark",http://sakuracopenhagen.dk/,hello@sakuracph.dk,31 36 41 91,contacted
The China Shop,Denmark,Copenhagen,Japanese store,"Rosengården 13, 1174 København, Denmark",https://denkinesiskebutik.dk/,info@denkinesiskebutik.dk,33 15 33 68,contacted
Den Kinesiske Købmand Nørreport 萬豐百貨亞超,Denmark,Copenhagen,Japanese store,"Nørre Voldgade 54, 1358 København, Denmark",https://www.denkinesiskekoebmand.dk/,webshop@denkinesiskekoebmand.dk,33 14 33 61,contacted
KFT Asian shop,Denmark,Copenhagen,Japanese store,"Flæsketorvet 3, 1711 København, Denmark",http://kft.dk/,kft@kft.dk,33 31 04 01,contacted
Kyoto Istedgade,Denmark,Copenhagen,Japanese store,"Istedgade 95, 1650 København V, Denmark",http://www.kyoto.dk/,36webshop@kyoto.dkvat,33 31 66 36,
Ume Asian Supermarket-Kødbyen,Denmark,Copenhagen,Japanese store,"Flæsketorvet 42-44, 1711 Copenhagen V, Denmark",https://umefood.dk/,info@umefood.dk,36 21 21 01,contacted
Den Kinesiske Købmand Torvehallerne KBH 萬豐百貨亞超,Denmark,Copenhagen,Japanese store,"Torvehallerne 1, stade F6, Rømersgade 18, og E6, 1362 København, Denmark",http://www.denkinesiskekoebmand.dk/,webshop@denkinesiskekoebmand.dk,53 87 46 88,contacted
The General Store,Denmark,Copenhagen,Japanese store,"Classensgade 20, 2100 København, Denmark",https://thegeneralstore.dk/,15.00hello@thegeneralstore.dk,,contacted
Asien Supermarked,Denmark,Copenhagen,Japan shop,"Christiansmindevej 2, ST,TH, 2100 København Ø, Denmark",http://www.asiensupermarked.dk/,info@asiensupermarked.dktlf,20 50 00 95,
Mochi time Cph Torvehallerne,Denmark,Copenhagen,Japan shop,"Frederiksborggade 21, 1360 København, Denmark",http://www.mochitimecph.com/,info@mochitimecph.com,,contacted
Tutein & Koch,Denmark,Copenhagen,hobby shop,"Farvergade 8, 1463 København, Denmark",http://www.tuteinogkoch.dk/,tk@tuteinogkoch.dk,33 13 36 33,contacted
Holte Hobby,Denmark,Copenhagen,hobby shop,"Wesselsmindevej 4, 2850 Nærum, Denmark",http://www.holte-modelhobby.dk/,info@holte-modelhobby.dk,45 42 01 13,contacted
