name,country,city,type,address,website,email,phone,status
Japan Food Express Gmbh,Germany,Düsseldorf,Japan shop,"Immermannstraße 15, 40210 Düsseldorf, Germany",http://www.japanfoodexpress.com/,info@japanfoodexpress.co.uk,,
Party-Discount.de & Creativ-Discount.de Dusseldorf,Germany,Düsseldorf,hobby shop,"Himmelgeister Str. 50, 40225 Düsseldorf, Germany",http://www.party-discount.de/,info@party-discount.de,0211 5858820,
boesner GmbH - Düsseldorf,Germany,Düsseldorf,hobby shop,"Wiesenstraße 72, 40549 Düsseldorf, Germany",https://www.boesner.com/unsere-standorte/duesseldorf,duesseldorf@boesner.com,0211 5638450,
Der Werkladen,Germany,Düsseldorf,hobby shop,"Börchemstraße 20a, 40597 Düsseldorf, Germany",https://derwerkladen.de/,info@derwerkladen.deanfahrt,0211 7118773,
Souvenir-Düsseldorf,Germany,Düsseldorf,gift shop,"Neustraße 47, 40213 Düsseldorf, Germany",http://souvenir-duesseldorf.com/,souvenirduesseldorf@gmail.com,0211 56942352,
Manufactum Warenhaus,Germany,Düsseldorf,gift shop,"Steinstraße 4, 40212 Düsseldorf, Germany",https://www.manufactum.de/manufactum-duesseldorf-c199351/,info@manufactum.dekontaktm,0211 6020888,
Nussknacker-House - Kunsthandwerk & Souvenirs,Germany,Düsseldorf,gift shop,"Marktpl. 9, 40213 Düsseldorf, Germany",https://www.nussknackerhouse.de/,info@nussknackerhouse.de,0211 86291039,
Pro-Idee Store Düsseldorf Kö,Germany,Düsseldorf,gift shop,"Königsallee 92, 40212 Düsseldorf, Germany",http://proidee.de/,service@proidee.de,0211 15817815,
NANU-NANA,Germany,Düsseldorf,gift shop,"Arcaden, Friedrichstraße 133, 40217 Düsseldorf, Germany",https://unternehmen.nanu-nana.de/filiale/duesseldorf-duesseldorf-arcaden-friedrichstrasse-129-133,info@nanu-nana.de,0211 30217251,
White Rabbit,Germany,Düsseldorf,gift shop,"Birkenstraße 126, 40233 Düsseldorf, Germany",http://headshop-white-rabbit.de/,info@headshop-white-rabbit.de,0211 6989170,
APROPOS The Concept Store,Germany,Düsseldorf,concept store,"Benrather Str. 15, 40213 Düsseldorf, Germany",http://www.apropos-store.com/,service@apropos-store.com,0211 86393830,
No129 concept store,Germany,Düsseldorf,concept store,"Neusser Str. 129, 40219 Düsseldorf, Germany",http://www.no129.de/,uhrshop@no129.de,0211 93368626,
aest. concept store,Germany,Düsseldorf,concept store,"Luegallee 15, 40545 Düsseldorf, Germany",http://www.aest-store.com/,hello@aest-store.com,01514 4944802,
Selekteur,Germany,Düsseldorf,concept store,"Hohe Str. 6, 40213 Düsseldorf, Germany",https://selekteur.com/,mail@selekteur.com,0211 30212628,
Nullzwoelf-Concept Store,Germany,Düsseldorf,concept store,"Lorettostraße 4, 40219 Düsseldorf, Germany",https://www.nullzwoelf-concept.de/,info@nullzwoelf-concept.de,0211 94193177,
Roberta. organic fashion,Germany,Düsseldorf,concept store,"Nordstraße 71, 40477 Düsseldorf, Germany",https://roberta-thestore.com/,hallo@roberta-thestore.de,0211 91739985,
Yavana Green Store,Germany,Düsseldorf,concept store,"Brunnenstraße 32, 40223 Düsseldorf, Germany",http://www.yavana.de/,info@yavana.de,0211 73107890,
jimmy+jo the store,Germany,Düsseldorf,concept store,"Stresemannstraße 27, 40210 Düsseldorf, Germany",http://jimmyplusjo.com/,shop@jimmyplusjo.de,0211 87744699,
Kult Spiele,Germany,Dortmund,board game store,"Westfalenforum, Kampstraße 35, 44137 Dortmund, Germany",http://www.kult-spiele.com/,info@kult-spiele.com,0231 2063758,
Tellurian Games,Germany,Dortmund,board game store,"Stockumer Str. 442, 44227 Dortmund, Germany",http://www.tellurian.de/,games@tellurian.de,0231 4752804,
Auenland - Dortmund,Germany,Dortmund,board game store,"Schwanenwall 7, 44135 Dortmund, Germany",http://auenland.de/,mail@auenland.de,0231 529855,
Manga-Mafia Store,Germany,Dortmund,board game store,"Ostenhellweg 49, 44135 Dortmund, Germany",https://manga-mafia.de/store-dortmund,shopnospamplease@nospampleasemanga-mafia.de,0231 18118454,
Elbenwald,Germany,Dortmund,board game store,"Thier Galerie, Westenhellweg 102-106, 44137 Dortmund, Germany",http://www.elbenwald.de/elbenwald-store-dortmund,e-mailinfo@elbenwald.de,0231 18582560,
Gamer Dortmund - Die Gameshow,Germany,Dortmund,board game store,"Schliepstraße 4, 44135 Dortmund, Germany",https://www.gamer.now/dortmund?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=website_button,dortmund@gamer.now,,
Müller,Germany,Dortmund,board game store,"Westenhellweg 44-46, 44137 Dortmund, Germany",https://www.mueller.de/meine-filiale/,service@shop.mueller.de,0231 13970490,
Game House Dortmund,Germany,Dortmund,board game store,"Brennaborstraße 12, 44149 Dortmund, Germany",https://www.gamehouse.de/,kontakt@gamehouse.de,,
Puzzleboxx,Germany,Dortmund,board game store,"Augustastraße 1, 58452 Witten, Germany",https://frozen-cards.com/,info@frozen-cards.com,02302 1790685,
CardBros,Germany,Dortmund,board game store,"Husener Eichwaldstraße 284, 44319 Dortmund, Germany",https://www.cardbros.de/,deutschlandshop@cardbros.de,01512 0766161,
The Game Box Dortmund,Germany,Dortmund,game shop,"Brückstraße 48, 44135 Dortmund, Germany",https://www.thegamebox.de/,info@thegamebox.de,,
Thier-Galerie Dortmund,Germany,Dortmund,game shop,"Westenhellweg 102-106, 44137 Dortmund, Germany",https://www.thiergalerie.de/,info@ece.comweb,0231 9632550,
BabyOne Dortmund,Germany,Dortmund,toy store,"Westfalendamm 188, 44141 Dortmund, Germany",https://www.babyone.de/fachmarkt/dortmund/115?utm_source=google-mb&utm_medium=organic&utm_campaign=dortmund-115,service@babyone.de,0231 58390100,
Kuhlmann Elektro & Spielwaren,Germany,Dortmund,toy store,"Saarlandstraße 94, 44139 Dortmund, Germany",https://www.kuhlmann-dortmund.de/,elektrohandelkuhlmann1924@gmail.combesser,0231 124430,
Abenteuer-Toys.de,Germany,Dortmund,toy store,"Schragmüllerstraße 58, 44357 Dortmund, Germany",https://www.abenteuer-toys.de/,555-555-5555mymail@mailservice.com,01514 7656004,
Tokyo Heartbeats,Germany,Dortmund,Japanese store,"Reinoldistraße 23, 44137 Dortmund, Germany",https://www.tokyoheartbeats.de/,kontakt@tokyoheartbeats.de,,
Hanaro Markt,Germany,Dortmund,Japanese store,"Immermannstraße 45C, 40210 Düsseldorf, Germany",http://www.hanaromarkt.de/,00e-mailinfo@hanaromarkt.deparkenclayton,,
OISHINBO Restaurant & Bar,Germany,Dortmund,Japanese store,"Olpe 39, 44135 Dortmund, Germany",https://www.oishinbo-restaurant.de/,kontaktdortmund@oishinbo-restaurant.de,0231 53301315,
