name,country,city,type,address,website,email,phone,status
Gerstaecker Dresden,Germany,Dresden,hobby shop,"Provianthofstraße 7, 01099 Dresden, Germany",https://www.gerstaecker.de/dresden/,info@gerstaecker.com,0351 6588755,
Modellbau-Leben,Germany,Dresden,hobby shop,"Pirnaer Str. 5, 01809 Heidenau, Germany",http://www.modellbau-leben-shop.de/,kontakt@modellbau-leben.de,03529 5988982,
Modellbau Peter,Germany,Dresden,hobby shop,"Schlüterstraße 28, 01277 Dresden, Germany",http://www.modellbaupeter.com/,4759994info@modellbaupeter.com,0351 4759994,
Ullmann's Laden,Germany,Dresden,hobby shop,"Landhausstraße 6, 01067 Dresden, Germany",http://www.ullmanns-laden.de/,info@ullmanns-laden.de,0351 20660643,
Zoo-Hobby,Germany,Dresden,hobby shop,"Trompeterstraße 5, 01069 Dresden, Germany",http://www.zoo-hobby.de/,76zoohobby.dresden@gmail.comwww.zoo-hobby.de,0351 4842276,
BM GESCHENKE & AMBIENTE / WEIHNACHTSLAND am Kulturpalast,Germany,Dresden,gift shop,"Galeriestraße 20 / Ecke, Frauenstraße, 01067 Dresden, Germany",http://www.bm-geschenke.de/,weihnachtsland-dresden@t-online.de,0351 5018888,
Tradition & Form - Wendt und Kühn Fachhändler,Germany,Dresden,gift shop,"Landhausstraße 8, 01067 Dresden, Germany",http://www.tradition-form.de/,info@tradition-form.de,0351 48196766,
Hello Dresden,Germany,Dresden,gift shop,"Neumarkt, in der QF 2/Passage, Untergeschoss, 01067 Dresden, Germany",https://www.hellodresden.de/,hello@hellodresden.de,0351 50150250,
Kunsthandwerk in der Altmarkt-Galerie,Germany,Dresden,gift shop,"25, Altmarkt, 01067 Dresden, Germany",https://www.ratags.de/filialen-2/,contact@ratags.de,0351 26359741,
DDV Lokal - Haus der Presse,Germany,Dresden,gift shop,"Ostra-Allee 20, 01067 Dresden, Germany",https://www.ddv-lokal.de/,info@ddv-lokal.de,0351 48642740,
Die Fruchtfliege,Germany,Dresden,gift shop,"Görlitzer Str. 23, 01099 Dresden, Germany",https://www.fruchtfliege.com/,fliegenpost@fruchtfliege.com,0351 8024121,
Souvenirshop & Geschenkeladen Shop-Dresden - Onlineshop für Besonderes zum Schenken und Genießen,Germany,Dresden,gift shop,"Münzgasse 10, 01067 Dresden, Germany",https://www.shop-dresden.de/,shop-dresden@rank-buettig.de,0351 4989803,
BM GESCHENKE & AMBIENTE am Dresdner Schloss,Germany,Dresden,gift shop,"Schloßstraße 18, 01067 Dresden, Germany",http://bm-geschenke.de/,weihnachtsland-dresden@t-online.de,0351 2153887,
La Boutique Concept Store Dresden,Germany,Dresden,concept store,"Töpferstraße 6, 01067 Dresden, Germany",https://laboutiquelifestyle.com/pages/boutique,info@laboutiquelifestyle.com,0351 49760930,
Mjuuk Conceptstore Dresden,Germany,Dresden,concept store,"Böhmische Str. 10A, 01099 Dresden, Germany",http://www.mjuukstore.de/,info@mjuuk.de,0351 81199966,
TRANQUILLO Mainstore Dresden,Germany,Dresden,concept store,"Rothenburger Str. 43, 01099 Dresden, Germany",http://www.tranquillo-shop.de/,service@tranquillo-shop.deregistergericht,0351 3205633,
"Loop, Inh.: Katrin Knabe",Germany,Dresden,concept store,"Dammstraße 1, 01326 Dresden, Germany",http://www.loop-germany.com/,info@loop-germany.com,0351 2654960,
Abaddon Mystic Store - Gothic & Metal Store,Germany,Dresden,concept store,"Louisenstraße 60, 01099 Dresden, Germany",http://www.abaddon-mysticstore.de/,info@abaddon-mysticstore.de,0351 8108895,
Doppellotte Anziehsachen,Germany,Dresden,concept store,"Rothenburger Str. 36, 01099 Dresden, Germany",http://www.doppellotte.de/,info@doppellotte.de,0351 65353865,
N vogue,Germany,Dresden,concept store,"Schillerpl. 4, 01309 Dresden, Germany",https://infos-dresden360.de/kategorien/handel/n-vogue-stilvolle-mode-am-schillerplatz,mail@infos-dresden360.de,0351 31444810,
McMEDIA Games Hannover,Germany,Hanover,board game store,"Ernst-August-Platz 2, 30159 Hannover, Germany",http://www.media-games-hannover.de/,info@media-games-hannover.de,0511 76355060,
Allerlei Spielerei,Germany,Hanover,board game store,"Calenberger Esplanade 5 B, 30169 Hannover, Germany",https://www.allerleispielerei.de/,info@allerleispielerei.de,0511 2151105,
little BIG Nerds,Germany,Hanover,board game store,"Sallstraße 81, 30171 Hannover, Germany",https://littlebignerds.com/,776e-mailolly@littlebignerds.comust-idnr.de,,
idee+spiel Hannover,Germany,Hanover,board game store,"Calenberger Esplanade 4 b, 30169 Hannover, Germany",https://www.idee-spiel-hannover.de/,info@idee-spiel-hannover.de,0511 3069304,
Elbenwald,Germany,Hanover,board game store,"Ernst-August-Galerie UG, Untergeschoss, Ernst-August-Platz 2, 30159 Hannover, Germany",http://www.elbenwald.de/elbenwald-store-hannover,hannover@elbenwald.de,0511 12361686,
Fridolin's Spielwarenhandel,Germany,Hanover,board game store,"Lister Meile 21, 30161 Hannover, Germany",http://www.fridolins-spielzeug.de/,info@fridolins-spielzeug.de,0511 312356,
HI-SCORE,Germany,Hanover,game shop,"Anna-Zammert-Straße 28, 30171 Hannover, Germany",https://hi-score.org/,info@hi-score.org,,
Gameground,Germany,Hanover,game shop,"Lange Str. 78, 27749 Delmenhorst, Germany",http://www.gameground.de/,info@gameground.de,04221 6851675,
Kaizen Cards,Germany,Hanover,game shop,"Niemeyerstraße 6, 30449 Hannover, Germany",http://www.kaizencards.de/,info@kaizencards.de,0511 80093903,
Land of colorful stones,Germany,Hanover,game shop,"Hildesheimer Str. 103, 30173 Hannover, Germany",http://www.landderbuntensteine.de/,landderbuntensteine@gmail.comust,0511 65506708,
Alexander Kratzsch & Tim Kratzsch GbR - Steinchenbrüder,Germany,Hanover,toy store,"Wredestraße 6, 30173 Hannover, Germany",https://www.steinchenbrueder.de/,kundenservice@steinchenbrueder.de,0511 85066815,
Earnie & Bertha Spielwaren und Geschenke,Germany,Hanover,toy store,"Bertha-von-Suttner-Platz 27, 30173 Hannover, Germany",http://www.earnieundbertha.de/,info@earnieundbertha.de,0511 9805770,
KIND DER STADT Hannover,Germany,Hanover,toy store,"Podbielskistraße 10, 30163 Hannover, Germany",http://www.kind-der-stadt.de/Hannover,mail@kind-der-stadt.de,0511 39062502,
BabyOne - The big baby stores,Germany,Hanover,toy store,"Opelstraße 26, 30916 Isernhagen, Germany",https://www.babyone.de/fachmarkt/hannover-isernhagen/075?utm_source=google-mb&utm_medium=organic&utm_campaign=hannover-075,hannover@babyone.de,0511 69603490,
Train and Play - Hannover,Germany,Hanover,hobby shop,"Hildesheimer Str. 428 b, 30519 Hannover, Germany",https://www.trainplay.de/,info@trainplay.de,0511 2712701,
boesner GmbH - Hannover,Germany,Hanover,hobby shop,"Bornumer Str. 146, 30453 Hannover, Germany",https://www.boesner.com/unsere-standorte/hannover,hannover@boesner.com,0511 90880630,
idee. Creativmarkt,Germany,Hanover,hobby shop,"Schillerstraße 32, 30159 Hannover, Germany",https://www.idee-shop.com/bastelladen-hannover/,service@idee-shop.com,0511 1692244,
KKV Schreibwaren & Bastelzubehör,Germany,Hanover,hobby shop,"Heinrich-Heine-Straße 8, 30173 Hannover, Germany",https://kkv.de/,info@kkv.de,0511 27061500,
Julia Heuser - Liebe + Zeug,Germany,Hanover,gift shop,"Edenstraße 48, 30163 Hannover, Germany",http://www.liebeundzeug.de/,julia@liebeundzeug.de,0511 72719321,
Geschenke List,Germany,Hanover,gift shop,"Edenstraße 34 Lister Meilen Passage, Edenstraße 34, 30161 Hannover, Germany",http://geschenkelist.de/,herder@geschenkelist.de,0511 84865700,
Nanu-Nana,Germany,Hanover,gift shop,"Ernst-August-Platz 2, 30159 Hannover, Germany",https://unternehmen.nanu-nana.de/filiale/hannover-ernst-august-galerie-ernst-august-platz-2,info@nanu-nana.de,0511 1697098,
Manufactum Warenhaus,Germany,Hanover,gift shop,"Georgstraße 34, 30159 Hannover, Germany",https://www.manufactum.de/manufactum-hannover-c199948/,info@manufactum.dekontaktm,0511 54527011,
