name,country,city,type,address,website,email,phone,status
Chapters Bookstore,Ireland,Dublin,bookstore,"Ivy Exchange, Parnell St, Rotunda, Dublin 1, D01 P8C2, Ireland",http://chaptersbookstore.com/?utm_source=google&utm_medium=organic&utm_content=main_button&utm_campaign=gmb,shop@chaptersbookstore.com,(01) 879 2700,
Winding Stair Bookshop,Ireland,Dublin,bookstore,"Ormond Quay Lower Ormond Quay Lower, North City, Dublin 1, D01 R9Y5, Ireland",https://bit.ly/2Ti02FC,bookshop@winding-stair.com,(01) 872 6576,
The Company Of Books,Ireland,Dublin,bookstore,"The Company of Books, 96 Ranelagh, Dublin 6, D06 A4A9, Ireland",http://www.thecompanyofbooks.ie/,info@thecompanyofbooks.ie,(01) 497 5413,
The Village Bookshop,Ireland,Dublin,bookstore,"101 Terenure Rd N, Terenure, Dublin 6W, Co. Dublin, D6W XD54, Ireland",http://www.thevillagebookshop.ie/,info@thevillagebookshop.ie,(01) 551 2291,
Raven Books,Ireland,Dublin,bookstore,"34 Main St, Newtown Blackrock, Dublin, A94 T6H3, Ireland",http://ravenbooks.ie/,info@ravenbooks.ie,(01) 278 9509,
Elevation Music Movies Comics,Ireland,Dublin,comic shop,"3 Johnson Pl, Dublin 2, D02 X226, Ireland",http://www.elevationmusic.ie/,info@elevationmusic.ie,087 456 0084,
"HEROES AND VILLAINS IRELAND - Toys, Comics, Graphic Novels, Model Kits and more",Ireland,Dublin,comic shop,"C2, Metropoint Business Park, Kettles Ln, Glebe, Swords, Co. Dublin, K67 EC65, Ireland",http://www.heroesandvillains.ie/,info@heroesandvillains.ie,,
Unique Crafts & Design Ltd,Ireland,Dublin,design shop,"unit 24 George's Street Arcade, South Great George's Street, Dublin, D02 DH79, Ireland",http://www.uniqueshop.ie/,info@uniqueshop.ie,085 199 0999,
Token,Ireland,Dublin,tabletop cafe,"Custom House Square, Unit 4 Mayor Street Lower, North Wall, Dublin 1, D01 DE47, Ireland",http://tokendublin.ie/,info@tokendublin.ie,(01) 912 5783,
Gosling Games Limited,Ireland,Cork,board game store,"Carrickhill, Farnahoe, Cork, T12 VXR6, Ireland",https://goslinggames.ie/,gosling@goslinggames.ie,(023) 884 0662,
Pinocchio's Toys & Gifts,Ireland,Cork,board game store,"2 Paul St, Centre, Cork, T12 YT21, Ireland",https://www.pinocchios.ie/,info@pinocchios.ie,(021) 427 1771,
Art & Hobby,Ireland,Cork,board game store,"Unit 18/19, Douglas Court Shopping Centre, Cork, T12 E030, Ireland",http://www.artnhobby.ie/,orders@artnhobby.ie,(021) 436 7076,
Cork Art Supplies,Ireland,Cork,hobby shop,"28 Princes St, Centre, Cork, Ireland",https://corkartsupplies.com/,orders@corkartsupplies.com,(021) 427 7488,
