name,country,city,type,address,website,email,phone,status
Brettspielkiste Dinslaken,Germany,Duisburg,board game store,"B-Passage, Bahnstraße 20, 46535 Dinslaken, Germany",https://brettspielkiste-dinslaken.de/,shop@brettspielkiste-dinslaken.de,02064 1417541,
Mage Store,Germany,Duisburg,board game store,"Graf-Adolf-Straße 41, 40210 Düsseldorf, Germany",http://www.magestore.de/,info@magestore.de,0211 9944085,
Spieletreff Duisburg,Germany,Duisburg,board game store,"Gustav-Adolf-Straße 65, 47057 Duisburg, Germany",http://spieletreff-duisburg.de/,info@spieletreff-duisburg.de,0172 6554807,
Drachental Games & Magic,Germany,Duisburg,board game store,"Wagnerstraße 14, 40212 Düsseldorf, Germany",http://www.drachental.com/,info@drachental.com,0211 5803795,
Spielzeit!,Germany,Duisburg,board game store,"Ostwall 92, 47798 Krefeld, Germany",https://www.spielzeit-krefeld.de/,post@spielzeit-krefeld.de,02151 801718,
DuK Box GmbH,Germany,Duisburg,board game store,"Giesenfeldstraße 6, 47239 Duisburg, Germany",http://www.dukbox.de/,info@dukbox.de,,
SeesawBridge,Germany,Duisburg,board game store,"Zum Grind 17, 47259 Duisburg, Germany",http://www.seesawbridge.de/,seesawbridge@web.de,01525 3591224,
The Game Box Duisburg,Germany,Duisburg,game shop,"Königstraße 58, 47051 Duisburg, Germany",http://www.thegamebox.de/,info@thegamebox.de,,
Palladium Games,Germany,Duisburg,game shop,"Am Inzerfeld 75, 47167 Duisburg, Germany",https://www.palladiumgames.be/,support@palladiumgames.be,01521 9216315,
ChoMUi,Germany,Duisburg,Japanese store,"Erlenstraße 86, 47055 Duisburg, Germany",https://www.cho-mui.de/,info@cho-mui.de,0203 39240366,
Zaki Asian Foods,Germany,Duisburg,Japanese store,"Universitätsstraße 40, 47051 Duisburg, Germany",http://zakiasianfoods.de/,zakiasianfoods@gmail.com,01522 1839089,
Hanaro Markt,Germany,Duisburg,Japanese store,"Immermannstraße 45C, 40210 Düsseldorf, Germany",http://www.hanaromarkt.de/,info@hanaromarkt.de,,
Tain Kim Heng GmbH,Germany,Duisburg,Japanese store,"Max-Planck-Ring 1, 46049 Oberhausen, Germany",http://www.tainkimheng.de/,info@tainkimheng.de,0208 820330,
Nishi Japan Shop,Germany,Duisburg,Japanese store,"Seefeldstrasse 12, 8008 Zürich, Switzerland",http://nishishop.ch/,info@swissbimi.ch,044 363 11 63,
Farbklecks Inh. Moritz Besel,Germany,Duisburg,hobby shop,"Friedrich-Wilhelm-Straße 75, 47051 Duisburg, Germany",https://www.farbklecks.de/,mail@farbklecks.de,0203 2983700,
HOBBYmade,Germany,Duisburg,hobby shop,"Concordiastraße 32, 46049 Oberhausen, Germany",http://www.hobbymade.de/,info@hobbymade.de,0208 201330,
PW STORE GmbH & Co. KG,Germany,Duisburg,hobby shop,"Sonnenwall 55, 47051 Duisburg, Germany",http://www.pw-store.de/,onlineshop@pw-store.de,0203 31789079,
Das Dekolädchen - Duisburg,Germany,Duisburg,gift shop,"Mündelheimer Str. 59-61, 47259 Duisburg, Germany",https://www.das-dekolaedchen.de/,info@das-dekolaedchen.de,01573 7630701,
Turn-Headshop,Germany,Duisburg,gift shop,"Kasinostraße 2-4, 47051 Duisburg, Germany",http://www.turn-headshop.de/,shop@turn-headshop.de,0203 2984024,
YOH-ART Home&Garden Yvonne Joh,Germany,Duisburg,gift shop,"Düsseldorfer Landstraße 415, 47259 Duisburg, Germany",http://www.homeandgarden.de/,kontakt@homeandgarden.de,0203 784242,
ASIARTIS Schönes & Altes aus aller Welt,Germany,Duisburg,gift shop,"Kaßlerfelder Str. 50 A, 47059 Duisburg, Germany",https://www.asiartis.de/,info@asiartis.de,0203 702288,
KiMi Conceptstore,Germany,Duisburg,concept store,"Lüderitzallee 87, 47249 Duisburg, Germany",https://kimi-conceptstore.de/,kimi-conceptstore@web.de,,
مكتبة ابن رشد - AVERROES BOOKSHOP,Germany,Duisburg,bookstore,"Hohe Str. 27, 47051 Duisburg, Germany",http://www.kitab.eu/,info@kitab.eu,0203 39806277,
rebo buch,Germany,Duisburg,bookstore,"Wanheimer Str. 223, 47053 Duisburg, Germany",http://www.regenbogen-duisburg.de/,info@regenbogen-duisburg.de,0203 3003658,
Dekor Möbel,Germany,Duisburg,design shop,"Friedrich-Wilhelm-Platz 7, 47051 Duisburg, Germany",https://www.dekormobel.de/,mail@dekormobel.de,0176 20556835,
Raumdesign Dommers GmbH,Germany,Duisburg,design shop,"Großenbaumer Allee 121, 47269 Duisburg, Germany",http://www.dommers.de/,service@dommers.de,0203 9870770,
