name,country,city,type,address,website,email,phone,status
Asian Fusion,New Zealand,Dunedin,Asian lifestyle store,"500 George Street, Dunedin Central, Dunedin 9016",https://asianfusion.co.nz,food@www.asianfusion.co.nz,+64 3 477 6789,
Guild,New Zealand,Dunedin,Design shop,"45 Moray Place, Dunedin Central, Dunedin 9016",https://www.guilddunedin.co.nz,hello@guilddunedin.co.nz,+64 3 477 4444,
Books & Toys,New Zealand,Dunedin,Toy store,"240 George Street, Dunedin Central, Dunedin 9016",https://www.booksandtoys.co.nz,sales@booksandtoys.co.nz,+64 3 477 5555,
Koji Japanese Restaurant,New Zealand,Dunedin,Japanese restaurant,"144 St Andrew Street, Dunedin Central, Dunedin 9016",https://koji.co.nz,kojibuffetchch@gmail.com,+64 3 477 6666,
Jizo Japanese Cafe,New Zealand,Dunedin,Japanese restaurant,"56 Princes Street, Dunedin Central, Dunedin 9016",https://jizo.co.nz,brendan@fraserbrothers.co.nz,+64 3 477 7777,
The Book Haven,New Zealand,Dunedin,Bookstore,"450 George Street, North Dunedin, Dunedin 9016",https://www.bookhaven.co.nz,shop@bookhaven.co.nz,+64 3 477 5554,
Otago Museum Shop,New Zealand,Dunedin,Gift shop,"419 Great King Street, North Dunedin, Dunedin 9016",https://otagomuseum.nz,mail@otagomuseum.nz,+64 3 474 7474,
The Toy Box,New Zealand,Dunedin,Toy store,"150 Princes Street, Dunedin Central, Dunedin 9016",https://www.thetoybox.co.nz,info@thetoybox.co.nz,+64 3 477 2220,
Dunedin Public Art Gallery Shop,New Zealand,Dunedin,Gift shop,"31 The Octagon, Dunedin Central, Dunedin 9016",https://dunedin.art.museum,info@quartzreef.co.nz,+64 3 474 3240,
Sushi King,New Zealand,Dunedin,sushi restaurant,"120 Princes Street, Dunedin Central, Dunedin 9016",https://sushiking.co.nz,woodzgood@xtra.co.nz,+64 3 477 6543,
Collectors Corner,New Zealand,Dunedin,Trading Card and Collectibles Shop,"408 Princes Street, Dunedin Central, Dunedin 9016",https://collectorscorner.co.nz,info@collectorscorner.nz,+64 3 477 0000,
Taste Nature,New Zealand,Dunedin,Concept store,"131 High Street, Dunedin Central, Dunedin 9016",https://www.tastenature.co.nz,shop@tastenature.co.nz,+64 3 477 2222,
Iko Iko,New Zealand,Palmerston North,Japanese gift shop,"119 Broadway Avenue, Palmerston North 4410",https://ikoiko.co.nz,info@ikoiko.co.nz,06-355 5556,
Card Merchant Palmerston North,New Zealand,Palmerston North,Trading Card and Hobby Shop,"Shop 12, The Plaza, 50 George Street, Palmerston North 4410, New Zealand",https://cardmerchant.co.nz,info@cardmerchant.co.nz,+64 6 357 8888,
Miniso,New Zealand,Palmerston North,Concept Store,"The Plaza, 50 Church Street, Palmerston North 4410",https://www.miniso.com,franchise@miniso.com,+64 6 355 5555,
Anime World,New Zealand,Palmerston North,anime shop,"210 Main Street, Palmerston North 4410",https://animeworld.co.nz,igamer.co.nz@gmail.com,06-357 9991,
Book Haven,New Zealand,Palmerston North,Bookstore,"200 Cuba Street, Palmerston North 4410",https://www.bookhaven.co.nz,shop@bookhaven.co.nz,+64 6 355 7777,
Creative Corner,New Zealand,Palmerston North,Design Shop,"88 George Street, Palmerston North 4410",https://www.creativecorner.co.nz,admin@creativecorner.co.nz,+64 6 355 6666,
