name,country,city,type,address,website,email,phone,status
Menita Espoo,Finland,Espoo,hobby shop,"Yläkartanontie 26, 02360 Espoo, Finland",https://www.menita.fi/,verkkokauppa@menita.filis,050 5666847,
Eräliike Riistamaa Oy,Finland,Espoo,hobby shop,"Pitkäniityntie 1 B, 02810 Espoo, Finland",https://www.riistamaa.fi/,riistamaa@riistamaa.fi,09 41101290,
Eventive OY,Finland,Espoo,hobby shop,"Espoonlahdenkatu 8, 02320 Espoo, Finland",https://eventiveme.fi/,info@eventiveme.fi,040 8657344,
Uniikkitehdas Oy,Finland,Espoo,gift shop,"Kauppamäki 10, 02780 Espoo, Finland",http://www.uniikkitehdas.fi/,uniikkitehdas@gmail.com,040 7776325,
Anne's Shop,Finland,Espoo,gift shop,"Fredrikinkatu 68, 00100 Helsinki, Finland",http://www.annensoppi.com/,info@annensoppi.com,09 445823,
Hollyanna,Finland,Espoo,gift shop,"Hanikka 8, 02360 Espoo, Finland",http://www.hollyanna.fi/,hollyanna@hollyanna.fi,050 5634884,
Kauppa&Galleria Talli,Finland,Espoo,gift shop,"Eestinrinteentie 7, 02270 Espoo, Finland",https://hurmatuotanto.fi/juhlatiloja-helsinki-vantaa-espoo/juhlatila-espoon-talli/,5555myynti@hurmatuotanto.fi,040 9329429,
Flâneri - Virtual Concept Store,Finland,Espoo,concept store,"Tekniikantie 2, 02150 Espoo, Finland",https://www.flaneri.fi/,info@flaneri.fi,040 7739192,
Karhu Concept Store,Finland,Espoo,concept store,"Lasipalatsi, Mannerheimintie 22-24, 00100 Helsinki, Finland",https://karhu.com/blogs/news/karhu-concept-store-helsinki,help@karhu.com,045 6685737,
Makia Flagship Store Helsinki,Finland,Espoo,concept store,"Mannerheimintie 22, 00100 Helsinki, Finland",https://makiaclothing.com/stores/,3412841lasipalatsi@makiaclothing.com,050 3412841,
Stadium Outlet Suomenoja,Finland,Espoo,concept store,"Finnoonlaaksontie 5, 02270 Espoo, Finland",https://www.stadiumoutlet.fi/butiker?icid=header-link-stores,info.fi@stadiumoutlet.fi,020 7900243,
Entresse,Finland,Espoo,concept store,"Siltakatu 11, 02770 Espoo, Finland",https://entresse.fi/,info@entresse.fi,,
Fantasiapelit,Finland,Tampere,board game store,"Puutarhakatu 8, 33210 Tampere, Finland",http://www.fantasiapelit.com/,postimyynti@fantasiapelit.com,010 5831107,
Leikkien,Finland,Tampere,board game store,"Sarankulmankatu 12, 33900 Tampere, Finland",https://www.leikkien.fi/,asiakaspalvelu@leikkien.fi,045 1233450,
Bar & Cafe Lategame,Finland,Tampere,board game store,"Kuninkaankatu 19, 33210 Tampere, Finland",http://www.lategame.fi/,bar@lategame.fi,041 3175418,
Suomalainen Kirjakauppa Hämeenkatu,Finland,Tampere,board game store,"Hämeenkatu 18, 33200 Tampere, Finland",https://www.suomalainen.com/pages/hameenkatu-18,tampere.hameenkatu18@suomalainen.com,,
Suomalainen Kirjakauppa Ratina,Finland,Tampere,board game store,"Vuolteenkatu 1, 33100 Tampere, Finland",https://www.suomalainen.com/pages/kauppakeskus-ratina,tampere.ratina@suomalainen.com,,
Random Potion Oy,Finland,Tampere,board game store,"Pinninkatu 47, 33100 Tampere, Finland",http://randompotion.com/,contact@randompotion.com,,
Triosoft Oy,Finland,Tampere,game shop,"Rautatienkatu 19, 33100 Tampere, Finland",https://www.triosoft.fi/,myynti@triosoft.fi,03 2720770,
Reprocade Oy,Finland,Tampere,game shop,"Peltokatu 31, 33100 Tampere, Finland",http://reprocade.com/,reprocade@reprocade.com,045 8888099,
Mediakulma Tampere Ltd,Finland,Tampere,game shop,"Jurvalankatu 5-7, 33300 Tampere, Finland",http://mediakulma.fi/,myynti@mediakulma.fi,03 3450105,
Viihdekeskus ZBase Tampere,Finland,Tampere,game shop,"Itäinenkatu 9-11, 33210 Tampere, Finland",https://zbase.fi/tampere/,tampere@zbase.fi,050 3452810,
Lasten into second hand & shop,Finland,Tampere,toy store,"Vuolteenkatu 1, 33100 Tampere, Finland",https://www.lasteninto.fi/epages/intoshop.sf/fi_FI/?ObjectPath=Categories,verkkokauppa@lasteninto.fi,044 9893141,
Stockmann Tampere,Finland,Tampere,toy store,"Hämeenkatu 4, 33100 Tampere, Finland",https://info.stockmann.com/info/tavaratalot/tampere/,hello@walley.fi,09 1211,
East Asia Mart,Finland,Tampere,Japanese store,"Tullikatu 6, 33100 Tampere, Finland",http://www.east-asia-mart.eu/,info@east-asia-mart.compuh,040 8099788,
