name,country,city,type,address,website,email,phone,status
Elbenwald,Germany,Essen,board game store,"Limbecker Pl. 1a, 45127 Essen, Germany",http://www.elbenwald.de/elbenwald-store-essen,essen@elbenwald.de,0201 26980285,
Fabelhaft - das Brettspiel-Erlebnis,Germany,Essen,board game store,"Lüneburger Str. 19, 45145 Essen, Germany",https://www.fabelhaftspielen.de/,info@fabelhaftspielen.de,0173 3436740,
Olli-Baba,Germany,Essen,board game store,"Maxstraße 41-43, 45127 Essen, Germany",https://www.olli-baba.com/,olli-baba@outlook.com,0201 89040234,
GEspielt,Germany,Essen,board game store,"Ahstraße 12, 45879 Gelsenkirchen, Germany",http://www.gespielt.org/,gespieltorg@gmail.com,01573 4497446,
Toysino,Germany,Essen,board game store,"Altenessener Str. 411, 45329 Essen, Germany",https://www.toysino.de/,info@thalia.de,0201 36197985,
PixelZone Pixel Game Essen - Der Boden ist Lava,Germany,Essen,game shop,"Wüstenhöferstraße 234, 45355 Essen, Germany",https://www.pixel-zone.de/,5moenchengladbach@pixel-zone.de,0201 64703203,
Allee-Center Essen-Altenessen,Germany,Essen,game shop,"Altenessener Str. 411, 45329 Essen, Germany",https://www.allee-center-essen.de/,info@allee-center-essen.de,0201 8343830,
Thalia,Germany,Essen,game shop,"Limbecker Pl. 1a, 45127 Essen, Germany",https://www.thalia.de/buchhandlung/5124?utm_source=google&utm_medium=gmb&utm_campaign=website&utm_content=essen,info@thalia.de,0201 6346080,
Limbecker Platz,Germany,Essen,game shop,"Limbecker Pl. 1a, 45127 Essen, Germany",https://www.limbecker-platz.de/,info@limbecker-platz.de,0201 1778960,
Rathaus Galerie Essen,Germany,Essen,game shop,"Am Porschepl. 2, 45127 Essen, Germany",http://www.rathaus-galerie-essen.de/,info-rge@hbb.de,0201 747670,
SlotcarStore Haußmann,Germany,Essen,toy store,"Franziskastraße 4, 45131 Essen, Germany",http://www.slotcarstore.de/,info@slotcarstore.de,0201 8151644,
Miniso,Germany,Essen,toy store,"Limbecker Pl. 1a, 45127 Essen, Germany",https://www.miniso.com/,franchise@miniso.com,,
Kinderkram & Kinkerlitz,Germany,Essen,toy store,"Kupferdreher Str. 182, 45257 Essen, Germany",http://www.kinderkram-essen.de/,kinderkram-essen@t-online.de,0201 485442,
Japan Plaza (Shochiku),Germany,Essen,Japanese store,"Immermannstraße 15, 40210 Düsseldorf, Germany",https://japanplaza-shop.de/,online@japanfoodexpress.de,0211 365959,
Tropical Foods,Germany,Essen,Japanese store,"Altendorfer Str. 266, 45143 Essen, Germany",https://tropicalfoodessen.de/,online.qualityvarietytropicalfoodessen1.@gmail.comenter,0201 80095818,
Japan Plaza Bistro,Germany,Essen,Japanese store,"Rochstraße 14e, 10178 Berlin, Germany",https://japanfoodexpress-shochiku.de/japanplaza,online@japanfoodexpress.de,030 28038183,
Asian Brand,Germany,Essen,Japanese store,"Ahstraße 6-8, 45879 Gelsenkirchen, Germany",http://www.asianbrand.de/,info@asianbrand.de,0209 274584,
Genki Ramen,Germany,Essen,Japanese store,"Dorotheenstraße 2, 45130 Essen, Germany",http://www.genki-restaurant.de/,info@genki-restaurant.de,0201 45849036,
Japan Food Express Gmbh,Germany,Essen,Japanese store,"Immermannstraße 15, 40210 Düsseldorf, Germany",http://www.japanfoodexpress.com/,info@japanfoodexpress.co.uk,,
Warda Modellbau,Germany,Essen,hobby shop,"Ernestinenstraße 194, 45139 Essen, Germany",https://www.warda-modellbau.de/,info@warda-modellbau.de,0201 297088,
idee. Creativmarkt,Germany,Essen,hobby shop,"I. Weberstraße 7, 45127 Essen, Germany",https://www.idee-shop.com/bastelladen-essen/,service@idee-shop.com,0201 239327,
Ruhrplottkind,Germany,Essen,hobby shop,"Humboldtstraße 218, 45149 Essen, Germany",http://www.ruhrplottkind.de/,anfrage@ruhrplottkind.de,0201 54506188,
Omnibus-Modell-Shop Rhein-Ruhr Inh. Monika Hessbrüggen,Germany,Essen,hobby shop,"Omnibus-Modell-Shop Rhein-Ruhr Büro, Hausdykerfeld 47, 45309 Essen, Germany",https://www.omnibus-modell-shop.de/,bestellservice@omnibus-modell-shop.deumsatzsteuer,0201 210001,
Modellbahn-Ecke,Germany,Essen,hobby shop,"Kölner Str. 42, 45145 Essen, Germany",https://www.modellbahn-ecke.de/,701454shop@modellbahn-ecke.de,0201 706133,
NANU-NANA,Germany,Essen,gift shop,"Am Porschepl. 8, 45127 Essen, Germany",https://unternehmen.nanu-nana.de/filiale/essen-rathaus-galerie-porscheplatz-2,info@nanu-nana.de,0201 2486120,
Revier Souvenir,Germany,Essen,gift shop,"Rellinghauser Str. 121, 45128 Essen, Germany",https://reviersouvenir.de/,info@reviersouvenir.de,0176 22644690,
Mea Living GmbH,Germany,Essen,gift shop,"Limbecker Str. 47, 45127 Essen, Germany",http://www.mea-living.de/,info@mea-living.de,0203 98574166,
Nanu-Nana,Germany,Essen,gift shop,"EKZ Limbecker Platz, Limbecker Pl. 1a, 45127 Essen, Germany",https://unternehmen.nanu-nana.de/filiale/essen-ekz-limbecker-platz-limbecker-platz-1a,info@nanu-nana.de,0201 17895087,
COB Concept Store,Germany,Essen,gift shop,"Rüttenscheider Str. 34 B, 45128 Essen, Germany",https://www.cob-conceptstore.de/,hallo@cob-conceptstore.de,0201 74946996,
Wajos,Germany,Essen,gift shop,"Limbecker Pl. 1a, 45127 Essen, Germany",https://essen.wajos.de/,essen@wajos.de,0201 12518644,
Kreativ Geschenkewelt,Germany,Essen,gift shop,"Levinstraße 41, 45356 Essen, Germany",http://www.kreativ-geschenkewelt.de/,sandra.klatt@kreativ-geschenkewelt.de,0176 87334032,
Kösters in Essen GmbH,Germany,Essen,gift shop,"I. Hagen 26, 45127 Essen, Germany",https://www.koesters-in-essen.de/,info@koesters-in-essen.de,0201 233423,
TEDi,Germany,Essen,gift shop,"Viehofer Str. 38-52, 45127 Essen, Germany",https://www.tedi.com/stores/6174/DE/NORDRHEIN-WESTFALEN/Essen/Viehofer-Str-38-52,presse@tedi.com,0231 555770,
ZWEIERLEI der concept store,Germany,Essen,concept store,"Klapperstraße 63, 45277 Essen, Germany",https://www.zweierlei-concept-store.de/,info@zweierlei-concept-store.de,0201 47930789,
FORMAT Warenwunderland,Germany,Essen,concept store,"Rüttenscheider Str. 137, 45130 Essen, Germany",http://www.formatshop.com/,kontakt@formatshop.com,0201 87423627,
The Poodles Core,Germany,Essen,concept store,"Rüttenscheider Str. 177, 45131 Essen, Germany",http://www.the-poodles-core.de/,info@the-poodles-core.de,0201 47930818,
Hugenpoet & Friends | concept store & deli,Germany,Essen,concept store,"Rüttenscheider Str. 218, 45131 Essen, Germany",http://hugenpoetandfriends.de/,info@hugenpoetfriends.de,0201 63024605,
Genial – Concept Store,Germany,Essen,concept store,"Moerser Str. 649, 47802 Krefeld, Germany",https://genial-conceptstore.de/,info@genial-conceptstore.de,02151 623662,
KULT,Germany,Essen,concept store,"Limbecker Pl. 1a, 45127 Essen, Germany",https://www.kult-olymp-hades.de/,info@goergens-gruppe.de,0201 43989653,
Trumox,Germany,Leipzig,board game store,"Friedrich-Wolf-Straße 16, 04347 Leipzig, Germany",https://www.trumox.de/,3001kontakt@trumox.de,0341 33743001,
Elbenwald,Germany,Leipzig,board game store,"Hainstraße 10, 04109 Leipzig, Germany",https://www.elbenwald.de/elbenwald-store-leipzig,leipzig@elbenwald.de,0341 24178524,
"Hocuspocus - Spielwaren, Geschenke und Spielzeugladen Leipzig",Germany,Leipzig,board game store,"Merseburger Str. 68, 04177 Leipzig, Germany",https://hocuspocus-shop.de/,info@hocuspocus-shop.de,0341 60478711,
Sächsisches Spielezentrum / Ludothek Leipzig,Germany,Leipzig,board game store,"Klingenthaler Str. 14, 04349 Leipzig, Germany",https://www.ludothek.de/,ludothek@ludothek.de,0341 2127010,
Spielerei Leipzig,Germany,Leipzig,board game store,"Härtelstraße 27, 04107 Leipzig, Germany",http://spielerei-leipzig.de/,post@spielerei-leipzig.de,0341 24744410,
Figuya x Konsolenkost,Germany,Leipzig,game shop,"Willy-Brandt-Platz 7, 04109 Leipzig, Germany",https://www.figuya-x-konsolenkost.de/,989e-mailkontakt@figuya-x-konsolenkost.deonlinehttps,0176 72067416,
Fsociety,Germany,Leipzig,game shop,"Karl-Liebknecht-Straße 8, 04107 Leipzig, Germany",http://www.fsociety-leipzig.de/,hallo@fsociety-leipzig.de,0341 26890077,
Voodoo Dreams,Germany,Leipzig,game shop,"Theodor-Neubauer-Straße 46, 04318 Leipzig, Germany",https://www.voodoodreams.life/en/,support@bet-match.io,015510 409373,
Spielwago Leipzig,Germany,Leipzig,toy store,"Promenaden Hauptbahnhof Leipzig, Willy-Brandt-Platz 7, 04109 Leipzig, Germany",https://www.spielwago.com/,info@spielwago.com,0341 55038299,
Milch und Honig Kinderladen,Germany,Leipzig,toy store,"Keilstraße 2, 04105 Leipzig, Germany",https://www.milchundhonig-leipzig.de/,info@milchundhonig-leipzig.deumsatzsteuer,0177 4500124,
YPPY Shop,Germany,Leipzig,toy store,"Richard-Wagner-Straße 9 Objekt am Hallischen Tor 1, Brühl Arkade, Brühl 33, 04109 Leipzig, Germany",https://yppy.shop/,yppy.pillows@gmail.com,,
