name,country,city,type,address,website,email,phone,status
Round Table Games and Curt's Cafe,United States,Fort Wayne,Game Store and Cafe,"5511 Coldwater Road, Fort Wayne, IN 46825",https://roundtablegamescafe.com,roundtablegamescafe@gmail.com,(260) 222-1341,
"BigKidBrix, LLC",United States,Fort Wayne,Toy and Collectibles Store,"1615 W Coliseum Blvd, Suite B, Fort Wayne, IN 46808",https://bigkidbrix.com,info@bigkidbrix.com,(260) 209-3987,
Sport Spot Inc,United States,Fort Wayne,Sports Cards and Collectibles Store,"1015 E Coliseum Blvd, Fort Wayne, IN 46805",https://sportspotinc.com,sales@sportspotinc.com,(260) 482-5877,
The Find,United States,Fort Wayne,Lifestyle General Store,"133 West Wayne Street, Fort Wayne, IN 46802",https://thefindfw.com,thefindfw@gmail.com,(260) 203-3498,
"Hyde Brothers, Booksellers",United States,Fort Wayne,Bookstore,"1428 Wells St, Fort Wayne, IN 46808",https://hydebros.com,info@hydebros.com,(260) 424-0197,
Crompton Collective,United States,Worcester,Gift Shop / Boutique,"138 Green Street, Worcester, MA 01604",https://www.cromptoncollective.com,cromptoncollective@gmail.com,,
Worcester Wares,United States,Worcester,Gift Shop,"105 Commercial Street, Worcester, MA 01608",https://worcesterwares.com,jessica@worcesterwares.com,,
TidePool Bookshop,United States,Worcester,Bookstore,"372 Chandler Street, Worcester, MA 01602",https://tidepoolbookshop.com,tidepoolbookshop@gmail.com,,
Erin Gift Store U.S.A.,United States,Worcester,Gift Shop,"160 Green Street, Worcester, MA 01604",https://worcesterpublicmarket.org,info@worcesterpublicmarket.org,(508) 735-9540,
Secret Identity Comics,United States,Fresno,Comic Store,"7450 N Fresno St, Fresno, CA 93720",https://secretidfresno.com,secretidfresno@gmail.com,(559) 420-6509,
Professor Toy,United States,Fresno,Toy Store,"7897 N Blackstone Ave, Fresno, CA 93720",https://professortoy.com,info@professortoy.com,(559) 448-8697,
Blue Shell Gaming & Collectibles,United States,Fresno,Game and Collectible Store,"4045 W Figarden Dr Ste 103, Fresno, CA 93722",https://blueshellgaming.com,rickg@blueshellgaming.com,(559) 389-0950,
Central Fish Company,United States,Fresno,Japanese Store / Asian Lifestyle,"Downtown, Fresno, CA",https://centralfish.com,cf1@centralfish.com,N/A,
Pulp Fiction Comics,United States,Long Beach,Comic Book Store,"3925 E. Anaheim St, Long Beach, CA 90804",https://pfcomics.com,info@pfcomics.com,562-986-8086,
Urban Americana,United States,Long Beach,Concept Store / Vintage & Design Shop,"1345 Coronado Ave, Long Beach, CA 90804",https://urbanamericana.com,sales@urbanamericana.com,(562) 494-7300,
Romance Etc.,United States,Long Beach,Gift Shop,"5407 E Village Rd, Long Beach, CA 90808",https://romance-etc.com,info@romance-etc.com,(562) 439-5372,
Bel Canto Books,United States,Long Beach,Bookstore,"2106 E 4th St, Long Beach, CA 90814",https://belcantobooks.net,info@belcantobooks.net,(562) 294-3319,
Z Fabrique,United States,Long Beach,Gift Shop / Spiritual Shop,"191 Argonne Ave #1, Long Beach, CA 90803",https://zfabrique.com,zfabrique@gmail.com,(562) 439-6883,
209 TOYS,United States,Stockton,Toy Store,"113 W Harding Way, Stockton, CA 95202",https://209toys.com,info@209toys.com,,
Nevermore Game Club,United States,Riverside,Tabletop Cafe / Board Game Store,"1450 University Avenue, Suite L, Riverside, CA 92507",https://nevermoregameclub.com,nevermoregameclub@gmail.com,(951) 224-9109,
Cellar Door Bookstore,United States,Riverside,Bookstore,"473 E. Alessandro Blvd. Suite B, Riverside, CA 92508",https://cellardoorbookstore.com/,info@cellardoorbookstore.com,(951) 787-7807,
Mission Inn Museum Store,United States,Riverside,Gift Shop / Museum Store,"3750 Market St, Riverside, CA 92501",https://missioninnmuseum.shop,info@missioninnmuseum.org,(951) 788-9556,
Pop Comics Anaheim,United States,Anaheim,Comic Shop,"1061 N Kraemer Pl Ste D, Anaheim, CA 92806",https://popcomicshop.com,info@popcomicshop.com,(714) 833-5619,
Requiem Cafe,United States,Anaheim,Tabletop Cafe,"280 S Clementine St, Anaheim, CA 92805",https://requiemcafe.com,shop@requiemcafe.com,N/A,
SEED Peoples Market,United States,Anaheim,Concept store / Lifestyle store,"440 S Anaheim Blvd, Anaheim, CA 92805",https://seedpeoplesmarket.com,orders@seedpeoplesmarket.com,(714) 708-3377,
Bricks & Minifigs,United States,Corpus Christi,Toy Store,"3838 S Padre Island Dr, Corpus Christi, TX 78415",https://bricksandminifigs.com/corpuschristi-tx/,corpuschristi.tx@bricksandminifigs.com,(361) 299-5742,
"BOSCO'S Comics, Cards, and Games",United States,Anchorage,Comic and Game Shop,"2301 Spenard Road, Anchorage, AK 99503",https://www.boscos.com/,info@boscos.com,(907) 274-4112,
BOSCO'S Dimond Center,United States,Anchorage,Comic and Game Shop,"800 East Dimond Blvd, Suite 3-119, Anchorage, AK 99515",https://www.boscos.com/,info@boscos.com,(907) 349-3963,
Glacier Games,United States,Anchorage,Game Shop,"9191 Old Seward Hwy, Ste 7, Anchorage, AK 99515",https://www.glaciergamesak.com/,glaciergamesak@gmail.com,(907) 720-2307,
