name,country,city,type,address,website,email,phone,status
"Bekan An und Verkauf Frankfurt und Playstation, Waschmaschinen, Spülmaschinen Reparaturen",Germany,Frankfurt,game shop,"Bolongarostraße 143B, 65929 Frankfurt am Main, Germany",http://www.bekan.de/,support@bekan-frankfurt.de,069 30036992,
"RetroLand An und Verkauf von Games, Konsolen und Reparatur",Germany,Frankfurt,game shop,"Bolongarostraße 143 A, 65929 Frankfurt am Main, Germany",http://retro-land.de/,bekan-frankfurt@gmx.de,069 30036992,
MyZeil,Germany,Frankfurt,game shop,"Zeil 106, 60313 Frankfurt am Main, Germany",https://myzeil.de/,info@myzeil.de,069 29723970,
SPIEL-IN Spielhalle Frankfurt,Germany,Frankfurt,game shop,"Taunusstraße 44, 60329 Frankfurt am Main, Germany",https://www.spiel-in.de/,info@spiel-in.de,069 24246719,
CityGames Frankfurt,Germany,Frankfurt,game shop,"Eschenheimer Anlage 40, 60318 Frankfurt am Main, Germany",https://citygamesfrankfurt.de/,info@citygamesfrankfurt.de,069 977611990,
Müller,Germany,Frankfurt,game shop,"Schweizer Str. 33-35, 60594 Frankfurt am Main, Germany",https://www.mueller.de/,service@shop.mueller.de,069 660557990,
Secret Escape Game,Germany,Frankfurt,game shop,"Am Salzhaus 4, 60311 Frankfurt am Main, Germany",https://secretescapegame.com/,info@secretescapegame.com,0176 67070810,
Teddy-Paradise,Germany,Frankfurt,toy store,"Römerberg 11, 60311 Frankfurt am Main, Germany",http://www.teddy-paradies.de/,info@teddyparadies.de,069 13377000,
Toys n electronics,Germany,Frankfurt,toy store,"Hugo-Eckener-Ring 1, 60549 Frankfurt am Main, Germany",https://www.frankfurt-airport.com/en/locations/t/toys-and-electronics/toys-and-electronics.html,info@fraport.de,069 69072119,
Held der Steine,Germany,Frankfurt,toy store,"Laubestraße 26, 60594 Frankfurt am Main, Germany",https://www.held-der-steine.de/,info@held-der-steine.de,,
BabyOne - The big baby stores,Germany,Frankfurt,toy store,"Hanauer Landstraße 11-13, 60314 Frankfurt am Main, Germany",https://www.babyone.de/fachmarkt/frankfurt-ostend/035?utm_source=google-mb&utm_medium=organic&utm_campaign=frankfurt-ostend-035,service@babyone.de,069 90434280,
baby-walz Fachgeschäft Frankfurt am Main,Germany,Frankfurt,toy store,"Schillerstraße 20, 60313 Frankfurt am Main, Germany",http://www.baby-walz.de/filiale-frankfurt/?utm_source=google&utm_medium=places&utm_campaign=Google+Places,uhrsonntaggeschlossenkontakttelefonnummer+49691337440e-mail-adressefrankfurt@baby-walz.deanreisedie,069 1337440,
Die Kleine Fabrik,Germany,Frankfurt,toy store,"Bornheimer Landstraße 60, 60316 Frankfurt am Main, Germany",http://www.diekleinefabrik.com/,service@die-kleine-fabrik.de,069 494100,
Iimori Ichiba,Germany,Frankfurt,Japanese store,"An d. Staufenmauer 11, 60311 Frankfurt am Main, Germany",https://www.iimori-ichiba.com/pages/shop,iimoriichiba@gmail.comregistergericht,069 247531133,
IIMORI Patisserie,Germany,Frankfurt,Japanese store,"Braubachstraße 24, 60311 Frankfurt am Main, Germany",https://iimori.de/patisserie/,e-mailpatisserie@iimori.de,069 97768247,
Asia Center Supermarkt,Germany,Frankfurt,Japanese store,"Hostatostraße 20, 65929 Frankfurt am Main, Germany",https://asiacenter24.de/,info@asiacenter24.de,069 307035,
Nanapan Asia market,Germany,Frankfurt,Japanese store,"U-Bahnhof B-Ebene / B-Ebene 34a, An der Hauptwache 7, 60313 Frankfurt am Main, Germany",http://www.nanapan.de/,info@nanapan.de,069 40125840,
Vowinckel Bastlerbedarf zum Selbermachen GmbH,Germany,Frankfurt,hobby shop,"Kleiner Hirschgraben 14, 60311 Frankfurt am Main, Germany",http://www.vowinckel.de/,069-290885kontakt@vowinckel.de,069 292475,
idee. Creativmarkt,Germany,Frankfurt,hobby shop,"Schäfergasse 14, 60313 Frankfurt am Main, Germany",https://www.idee-shop.com/bastelladen-frankfurt/,service@idee-shop.com,069 13388197,
boesner GmbH - Frankfurt,Germany,Frankfurt,hobby shop,"August-Schanz-Straße 12, 60433 Frankfurt am Main, Germany",https://www.boesner.com/unsere-standorte/frankfurt,frankfurt@boesner.com,069 9543400,
Woellhaf-2,Germany,Frankfurt,hobby shop,"Terminal 1 Bereich B, Public Area, Abflugring, 60549 Frankfurt am Main, Germany",https://www.woellhaf-retail.de/standorte-shops/germany-more/ueberblick/,info@woellhaf-retail.de,069 69026237,
Kunst & Kreativ Frankfurt,Germany,Frankfurt,hobby shop,"Europa-Allee 6, 60327 Frankfurt am Main, Germany",https://kunstundkreativ-ffm.de/,info@kunstundkreativ-ffm.de,069 42697362,
W. Wächtershäuser GmbH,Germany,Frankfurt,hobby shop,"Töngesgasse 39, 60311 Frankfurt am Main, Germany",https://naehzutaten.de/,shop@naehzutaten.de,069 282997,
Papier Kraemer,Germany,Frankfurt,hobby shop,"Liebfrauenstraße 1-3, 60313 Frankfurt am Main, Germany",https://buerologistic.de/kraemer/katalog/burobedarf,info@papier-kraemer.de,069 280015,
ck-modelcars Klassikstadt,Germany,Frankfurt,hobby shop,"Orber Str. 4A, 60386 Frankfurt am Main, Germany",https://ck-modelcars.de/de/klassikstadt/,info@ck-modelcars.de,069 42697520,
Souvenir-Paradies,Germany,Frankfurt,gift shop,"Römerberg 15, 60311 Frankfurt am Main, Germany",https://souvenirparadies.de/,frankfurt@souvenirparadies.de,069 26094888,
Kulturothek,Germany,Frankfurt,gift shop,"Markt 32, 60311 Frankfurt am Main, Germany",http://www.kulturothek-frankfurt.de/,info@kulturothek.deinfo,069 281010,
NANU-NANA,Germany,Frankfurt,gift shop,"MyZeil Frankfurt, Zeil 106, 60313 Frankfurt am Main, Germany",https://unternehmen.nanu-nana.de/filiale/frankfurt-am-main-myzeil-frankfurt-myzeil-frankfurt-zeil-106,info@nanu-nana.de,069 21932689,
Germany On My Mind,Germany,Frankfurt,gift shop,"Frankfurt Airport, B und Terminal 3 Marktplatz, Security Area, Terminal 1 Bereich, 60549 Frankfurt am Main, Germany",https://www.woellhaf-retail.de/standorte-shops/germany-on-my-mind/ueberblick/,info@woellhaf-retail.de,069 69031655,
Manufactum Warenhaus,Germany,Frankfurt,gift shop,"Bockenheimer Anlage 49-50, 60322 Frankfurt am Main, Germany",https://www.manufactum.de/manufactum-frankfurt-c199353/,info@manufactum.dekontaktm,069 976931399,
Skyline Plaza,Germany,Frankfurt,gift shop,"Europa-Allee 6, 60327 Frankfurt am Main, Germany",https://www.skylineplaza.de/,info@skylineplaza.de,069 29728700,
Anything from Germany | German Concept Store,Germany,Frankfurt,gift shop,"Tilsiter Str. 10, 60487 Frankfurt am Main, Germany",https://www.anything-from-germany.com/,mail@anything-from-germany.com,069 95909701,
LOREY,Germany,Frankfurt,gift shop,"Zeil 106, 60313 Frankfurt am Main, Germany",http://www.lorey.de/,shop@lorey.de,069 299950,
Ookoko Concept Store,Germany,Frankfurt,concept store,"Brückenstraße 33, 60594 Frankfurt am Main, Germany",http://www.ookoko.com/,ookokofrankfurt@gmail.com,069 25536064,
2nd Home Concept Store,Germany,Frankfurt,concept store,"Vogelsbergstraße 38, 60316 Frankfurt am Main, Germany",http://2nd-home.net/,hello@2nd-home.net,069 40564842,
Sportissimi Concept Store - Lifestyle & Streetwear,Germany,Frankfurt,concept store,"Eiserne Hand 8-10, 60318 Frankfurt am Main, Germany",http://www.sportissimi-conceptstore.de/,info@sportissimi.de,069 95908000,
Philokalist Store,Germany,Frankfurt,concept store,"Braubachstraße 28, 60311 Frankfurt am Main, Germany",http://www.philokalist.de/,mainhello@philokalist.detuesday,,
SinnGut Concept Store,Germany,Frankfurt,concept store,"Wittelsbacherallee 119, 60385 Frankfurt am Main, Germany",http://www.sinngut.com/,hallo@sinngut.com,069 27273700,
