name,country,city,type,address,website,email,phone,status
"konsolenservice.at - Konsolen Reparatur Graz Österreich | PlayStation, XBOX, Nintendo, Steamdeck, Controller | Reparaturbonus",Austria,Graz,game shop,"Kärntner Str. 501, 8054 Graz, Austria",https://www.konsolenservice.at/,hello@konsolenservice.at,0660 7908944,contacted
Müller,Austria,Graz,game shop,"Lazarettgürtel 55, 8020 Graz, Austria",https://www.mueller.at/meine-filiale/,service@shop.mueller.at,059 120 5603,contacted
BRICK Flip | Murpark,Austria,Graz,toy store,"Ostbahnstraße 3, 8041 Graz, Austria",http://www.brickflip.at/,office@brickflip.at,0316 922661,contacted
BRICKCOMPLETE,Austria,Graz,toy store,"Wiener Str. 351, 8051 Graz, Austria",https://brickcomplete.com/,office@brickcomplete.comust,0676 9600715,
Spielzeugwelt Rieger-Puchebner,Austria,Graz,toy store,"Rathausgasse 10, 8160 Weiz, Austria",https://spielzeugwelt.eu/,office@spielzeugwelt.co.at,03172 2433,contacted
baby-walz,Austria,Graz,toy store,"Ostbahnstraße 3/Murpark, 8041 Graz, Austria",https://www.baby-walz.at/filiale-graz/?utm_source=google&utm_medium=places&utm_campaign=Google+Places,graz@baby-walz.at,0316 483151,contacted
Müller,Austria,Graz,toy store,"Wiener Str. 333, 8051 Graz, Austria",https://www.mueller.at/meine-filiale/,service@shop.mueller.at,059 120 5678,contacted
Steph's Sari-Sari Store,Austria,Graz,Japanese store,"Ghegagasse 31, 8020 Graz, Austria",http://www.steph-sarisari.store/,stepsarisari@gmail.com,0676 6955109,contacted
Panda Asia Markt,Austria,Graz,Japanese store,"Reitschulgasse 8, 8010 Graz, Austria",http://www.panda-asia.at/,office@panda-asia.at,0316 81281611,contacted
Nippon-Ya 日本屋 | Japanmarkt,Austria,Graz,Japanese store,"Faulmanngasse 5, 1040 Wien, Austria",http://www.nipponya.at/,office@nippon-ya.at,01 5861084,contacted
Korea Shop,Austria,Graz,Japanese store,"Leonhardstraße 30, 8010 Graz, Austria",https://www.koreamarkt.at/,ingridprom@yahoo.de,0680 2430985,contacted
Japan Restaurant Neu-Nagoja,Austria,Graz,Japanese store,"Kärntner Str. 388, 8054 Graz, Austria",http://neu-nagoja.at/,neunagoja@gmail.com,0316 253906,contacted
