name,country,city,type,address,website,email,phone,status
Animeet Helsinki,Finland,Helsinki,Japanese store,"Kaivokatu 8 1.krs, 00100 Helsinki, Finland",https://animeet.fi/fi,info.tampere@animeet.fi,044 2481606,contacted
Matcha Crew,Finland,Helsinki,Japanese store,"Lapinlahdenkatu 9, 00180 Helsinki, Finland",http://www.matchacrew.com/,info@matchacrew.com,050 4701014,contacted
Kotomart Asian Store Pikku-Huopalahti,Finland,Helsinki,Japan shop,"Korppaanmäentie 4, 00300 Helsinki, Finland",https://www.kotomart.fi/,info@kotomart.fi,041 3171313,contacted
Hobbyfactory Oy,Finland,Helsinki,hobby shop,"Vanha Porvoontie 231 B-Talo , C1-rappu, 3krs, 01380 Vantaa, Finland",http://www.hobbyfactory.fi/,info@hobbyfactory.fi,044 5444595,contacted
Anne's Shop,Finland,Helsinki,gift shop,"Fredrikinkatu 68, 00100 Helsinki, Finland",http://www.annensoppi.com/,info@annensoppi.com,09 445823,contacted
Reindeer Souvenirs Shop & Kiosk,Finland,Helsinki,gift shop,"Pohjoisesplanadi 37A, 00100 Helsinki, Finland",http://souvenirshelsinki.com/,mansku111@icloud.combottom,050 5748197,
Nordis Shop,Finland,Helsinki,gift shop,"Eteläinen Rautatiekatu 4, 00100 Helsinki, Finland",http://www.nordishelsinki.fi/,shopnordis@gmail.com,09 626239,contacted
Reindeer Souvenirs Shop & Kiosk,Finland,Helsinki,gift shop,"Mannerheimintie 12, 00100 Helsinki, Finland",https://souvenirshelsinki.com/,mansku111@icloud.combottom,050 5748197,
OMA puoti,Finland,Helsinki,gift shop,"Katariinankatu 4, 00170 Helsinki, Finland",https://omapuoti.fi/,info@omapuoti.fi,044 9725165,contacted
Alnilam,Finland,Helsinki,gift shop,"Yrjönkatu 32, 00100 Helsinki, Finland",https://www.alnilam.fi/,shop@alnilam.fi,040 5011157,contacted
CraftCorner Helsinki,Finland,Helsinki,gift shop,"Eteläesplanadi 4, 00130 Helsinki, Finland",https://www.taitoetelasuomi.fi/,info@taitoetelasuomi.fi,050 3508470,contacted
Karhu Concept Store,Finland,Helsinki,concept store,"Lasipalatsi, Mannerheimintie 22-24, 00100 Helsinki, Finland",https://karhu.com/blogs/news/karhu-concept-store-helsinki,help@karhu.com,045 6685737,contacted
beam.,Finland,Helsinki,concept store,"Erottajankatu 15, 00130 Helsinki, Finland",https://beamhill.fi/,webshop@beamhill.ficustomer,09 2785566,
Helsinki Outlet,Finland,Helsinki,concept store,"Tatti 17, 00760 Helsinki, Finland",https://www.helsinkioutlet.fi/,info@helsinkioutlet.fi,,contacted
Makia Flagship Store Helsinki,Finland,Helsinki,concept store,"Mannerheimintie 22, 00100 Helsinki, Finland",https://makiaclothing.com/stores/,3412841lasipalatsi@makiaclothing.com,050 3412841,contacted
Kämp Galleria,Finland,Helsinki,concept store,"Pohjoisesplanadi 33, 00100 Helsinki, Finland",https://www.kampgalleria.com/,realideakaisa.karvonen@realidea.fitel,,
Mall of Tripla,Finland,Helsinki,concept store,"Mall of Tripla, Fredikanterassi 1, 00520 Helsinki, Finland",http://malloftripla.fi/,asiakaspalvelu@malloftripla.fi,040 5484273,contacted
Miela Helsinki,Finland,Helsinki,concept store,"Mikonkatu 5, 00100 Helsinki, Finland",https://www.mieladesignroom.fi/,188270miela@miela.fiompelimo,050 5826555,
My o My Fashion,Finland,Helsinki,concept store,"Kämp Galleria (street level, Pohjoisesplanadi 33, 00100 Helsinki, Finland",https://myomy.fi/,pauliina@myomy.fi,050 5542267,contacted
Marimekko Helsinki Outlet,Finland,Helsinki,concept store,"Tatti 17, 00760 Helsinki, Finland",http://www.marimekko.com/,customerservice@marimekko.com.on,040 1940017,
My o My Home,Finland,Helsinki,concept store,"Forum, street level, Mannerheimintie 18, 00100 Helsinki, Finland",http://www.myomy.fi/,pauliina@myomy.fi,050 3678820,contacted
Fantasiapelit,Finland,Espoo,board game store,"Kauppakeskus Citycenter, Kaivokatu 8 K1-kerros, 00100 Helsinki, Finland",http://www.fantasiapelit.com/,postimyynti@fantasiapelit.com,010 5831100,contacted
Oh My Game,Finland,Espoo,board game store,"Myyrmäentie 4 A, 01600 Vantaa, Finland",http://www.ohmygame.fi/,info@ohmygame.fi,045 1642099,contacted
House of Games,Finland,Espoo,board game store,"Lommilantie 2 B, 02740 Espoo, Finland",https://www.houseofgames.fi/,info@houseofgames.fi,040 7746991,contacted
Elli Madelli lelukauppa,Finland,Espoo,board game store,"Piispanportti C-talo, 02240 Espoo, Finland",http://www.ellimadelli.fi/,info@ellimadelli.fi,045 8813181,contacted
Konsolinet,Finland,Espoo,board game store,"Kauppakeskus, Urho Kekkosen katu 1 3.krs, 00100 Helsinki, Finland",https://www.konsolinet.fi/,tilaukset@konsolinet.fi,045 1389000,contacted
Suomalainen Kirjakauppa,Finland,Espoo,board game store,"Leppävaarankatu 3-9, 02600 Espoo, Finland",https://www.suomalainen.com/pages/leppavaara-sello,espoo.sello@suomalainen.com,,contacted
Basaarin Keidas,Finland,Espoo,board game store,"Itätuulenkuja 7 A 60, 02100 Espoo, Finland",https://basaari.com/,1225kauppa@basaari.combasaari,050 3001225,
Suomalainen Kirjakauppa Oy,Finland,Espoo,board game store,"Piispansilta 11 T 67, 02230 Espoo, Finland",https://www.suomalainen.com/pages/matinkyla-iso-omena,espoo.isoomena@suomalainen.com,,contacted
Suomalainen,Finland,Espoo,board game store,"Espoonlahdenkatu 8, 02320 Espoo, Finland",https://www.suomalainen.com/pages/espoo-kauppakeskus-lippulaiva,espoo.lippulaiva@suomalainen.com,,contacted
Café Boardgame,Finland,Espoo,board game store,"Eerikinkatu 14, 00100 Helsinki, Finland",https://cafeboardgame.fi/,info@cafeboardgame.fi,050 5662613,contacted
Halfmoon Game Cafe,Finland,Espoo,board game store,"Keskuskatu 3 A, 00100 Helsinki, Finland",https://www.halfmoongamecafe.com/,info@halfmoongamecafe.com,041 3288337,contacted
Game Cave Otaniemi,Finland,Espoo,game shop,"Kivimiehentie 2, 02150 Espoo, Finland",https://www.caveentertainment.fi/,info@caveentertainment.fi,040 7605703,contacted
