name,country,city,type,address,website,email,phone,status
Cheirokamoto,Greece,Heraklion,hobby shop,"Epimenidou 20, Iraklio 712 02, Greece",http://www.xeirokamoto.gr/,contact@xeirokamoto.gr,281 025 8165,
Racerc,Greece,Heraklion,hobby shop,"Leof. 62 Martiron 77, Iraklio 713 04, Greece",http://www.racerc.gr/,info@racerc.gr,281 026 0070,
AROMATTIKA The Store,Greece,Heraklion,gift shop,"Idomeneos 25, Iraklio 712 02, Greece",https://www.aromattika.com/,info@aromattika.gr,281 301 7152,
Spirit of Greece,Greece,Heraklion,gift shop,"Stylianou Square 4, Iraklio 712 02, Greece",http://www.spiritofgreece.gr/,info@spiritofgreece.gr,694 886 8986,
Eleandra Gift Shop,Greece,Heraklion,gift shop,"1866 83, Iraklio 712 01, Greece",http://www.eleandra.gr/,info@eleandra.gr,281 022 2415,
Mon cherry concept store,Greece,Heraklion,concept store,"Chandakos 18, Iraklio 712 02, Greece",https://www.moncherry.gr/,info@moncherry.gr,281 111 4117,
Nomad Concept Store,Greece,Heraklion,concept store,"El. Venizelou, 13, Leodaria Square, Iraklio 712 02, Greece",https://nomadconceptstore.com/,info@nomadconceptstore.com,281 033 4111,
Books /boutique bookstore,Greece,Heraklion,bookstore,"Psaromiligkon 20, Iraklio 712 02, Greece",http://www.usedbook.gr/,info@usedbook.gr,281 181 0317,
Fotodentro,Greece,Heraklion,bookstore,"Korai 21, Iraklio 712 02, Greece",https://www.fotodentro.gr/en/home/,info@fotodentro.gr,281 034 1158,
Textbook,Greece,Heraklion,bookstore,"Evans 83, Iraklio 712 01, Greece",http://www.textbook.gr/,info@textbook.gr,281 121 7297,
"Stationery Store ""I Gonia sou""",Greece,Heraklion,bookstore,"Ηροδότου &, Leof. Ikarou 57, Nea Alikarnassos 716 01, Greece",https://igoniasou.com/,info@igoniasou.com,281 024 4762,
Βιβλιοπωλείο Αβραάμ,Greece,Heraklion,bookstore,"Evans 83, Iraklio 712 01, Greece",http://www.abraam.com/,info@abraam.com,281 028 3243,
Paper Net,Greece,Heraklion,bookstore,"Leof. Knosou 189, Iraklio 714 09, Greece",http://paper-net.gr/,info@paper-net.gr,281 023 7722,
Fabrics by Interior Plus,Greece,Heraklion,design shop,"Leof. Knosou 87, Iraklio 713 06, Greece",http://www.interiorplus.com.gr/,info@interiorplus.gr,281 037 0204,
Studio Design Center,Greece,Heraklion,design shop,"Kantanoleon 6, Iraklio 712 02, Greece",http://www.studiodesigncenter.gr/,info@studiodesigncenter.gr,281 024 1451,
0.38 Shop|Greek Designers,Greece,Heraklion,design shop,"Idomeneos 38, Iraklio 712 02, Greece",https://038.gr/,info@038.gr,281 302 2492,
Carouzou,Greece,Heraklion,design shop,"Androgeo 11, Iraklio 712 02, Greece",http://www.carouzou.com/,info@carouzou.com,694 098 5008,
Fiori - flowers design philosophy,Greece,Heraklion,design shop,"Leof. Dimokratias 14, Iraklio 713 06, Greece",http://fiori.gr/,"info@fiori.gr, sales@fiori.gr",281 530 8700,
Homedesign Saklamakis,Greece,Heraklion,design shop,"Menelaou Parlama 79, Iraklio 713 04, Greece",https://www.homedesigns.gr/,info@homedesigns.gr,281 037 1226,
Domes All Day Cafe Bar & Restaurant,Greece,Heraklion,tabletop cafe,"9 Arkoleon Street and, 25th Avgoustou 82, Iraklio 712 02, Greece",https://domesrestaurant.com/,info@domesrestaurant.com,698 858 2169,
Ο Κόσμος των Παιχνιδιών - World of Games,Greece,Larissa,board game store,"Koumoundourou 22, Larisa 412 22, Greece",https://worldofgames.gr/,info@worldofgames.gr,241 053 8555,
BigTime Hub Larissa,Greece,Larissa,board game store,"Papanastasiou 61, Larisa 412 22, Greece",https://lar.bigtimehub.gr/,info@bigtimehub.gr,241 053 9188,
EpilogesForKids Παναγούλη 25,Greece,Larissa,board game store,"Panagouli 25, Larisa 412 23, Greece",http://www.epilogesforkids.gr/,info@epilogesforkids.gr,241 025 1111,
Κάισσα Λάρισας,Greece,Larissa,board game store,"Koumoundourou 22, Larisa 412 22, Greece",https://worldofgames.gr/,info@worldofgames.gr,241 053 8555,
JOY handmade boutique,Greece,Larissa,board game store,"Athanasiou Diakou 3, Larisa 412 22, Greece",http://www.joyshop.gr/,info@joyshop.gr,241 025 7252,
hobbyarmos,Greece,Larissa,board game store,"Palama 9, Larisa 412 23, Greece",http://www.hobbyarmos.gr/,info@hobbyarmos.gr,241 055 3808,
Brick Lane,Greece,Larissa,board game store,"28is Oktovriou 12, Larisa 412 23, Greece",https://www.bricklane.gr/,info@bricklane.gr,241 023 5865,
eFantasy.gr Games 'n' Comics,Greece,Larissa,board game store,"Ermou 55, Thessaloniki 546 23, Greece",http://www.efantasy.gr/,info@efantasy.gr,231 302 1171,
From Scratch Store,Greece,Larissa,toy store,"Athanasiou Diakou 12, Larisa 412 22, Greece",http://www.fromscratchstore.gr/,info@fromscratchstore.gr,241 301 7784,
Motel Street Boutique,Greece,Larissa,Japan shop,"Patroklou 4, Larisa 412 22, Greece",http://motelshop.gr/,sales@motelshop.gr,241 053 7380,
Fishing4fun Fishing Equipment,Greece,Larissa,Japan shop,"Aerodromiou 7, Larisa 412 21, Greece",http://www.fishing4fun.gr/,operations@fishing4fun.gr,241 181 0152,
Handmade by nina,Greece,Larissa,gift shop,"Farsalon 164, Larisa 413 35, Greece",http://www.handmadebynina.gr/,info@handmadebynina.gr,,
Larus,Greece,Larissa,gift shop,"Panagouli 66, Larisa 412 23, Greece",https://larusart.gr/,info@larusart.gr,,
miss tasty the concept store,Greece,Larissa,concept store,"Nikotsara 7, Larisa 412 23, Greece",https://www.misstasty.gr/,info@misstasty.gr,241 057 9864,
Ermḗs,Greece,Larissa,tabletop cafe,"Rousvelt 41, Larisa 412 22, Greece",https://ermiscafe.gr/,info@ermiscafe.gr,241 062 1022,
JOIST Innovation Park,Greece,Larissa,tabletop cafe,"Valtetsiou and, Tripoleos, Larisa 413 36, Greece",https://joistpark.eu/,info@joistpark.eu,241 023 4422,
