name,country,city,type,address,website,email,phone,status
MiniQ Anime Shop,United States,Honolulu,Toy & Hobby Shop,"98-1005 Moanalua Rd, Suite 114, Aiea, HI 96701",https://miniqtoys.com/,sales@miniqtoys.com,(808) 425-5477,
Michi's Toy Box,United States,Honolulu,Toy & Hobby Shop,"500 Alakawa St, Ste 120, Honolulu, HI 96817",https://michistoybox.com/,contact@michistoybox.com,(808) 723-0045,
Hakubundo,United States,Honolulu,Stationery & Hobby Shop,"1200 Ala Moana Blvd #649, Honolulu, HI 96814",https://www.hakubundo.com/,wholesale@hakubundo.com,(808) 947-5503,
fishcake,United States,Honolulu,Concept store / Design shop,"307 Kamani St, Ste C, Honolulu, HI 96813",https://fishcake.us/,info@fishcake.us,(808) 800-6151,
Pieces The St. Louis Board Game Bar & Cafe,United States,St. Louis,Tabletop Cafe,"2727 S. 12th St., St. Louis, MO 63118",https://www.stlpieces.com/,info@stlpieces.com,(314) 230-5184,
Fortuna Games,United States,St. Louis,Game Shop / Trading Card Store,"2632 S. Kingshighway Blvd., St. Louis, MO 63139",https://fortunagames.net/,fortuna@fortunagames.net,(413) 367-8862,
Left Bank Books,United States,St. Louis,Bookstore,"399 N. Euclid Ave., St. Louis, MO 63108",https://www.left-bank.com/,orders@left-bank.com,(314) 367-6731,
Subterranean Books,United States,St. Louis,Bookstore,"6271 Delmar Blvd., University City, MO 63130",https://store.subbooks.com/,orders@subbooks.com,(314) 862-6100,
The Book House,United States,St. Louis,Bookstore,"7352 Manchester Rd., Maplewood, MO 63143",https://bookhousestl.com/,info@bookhousestl.com,(314) 968-4491,
Zee Bee Market,United States,St. Louis,Gift Shop / Fair Trade Store,"7270 Manchester Rd., Maplewood, MO 63143",https://zeebeemarket.com/,sales@zeebeemarket.com,(314) 370-4111,
United Provisions,United States,St. Louis,Asian Lifestyle Store / Grocery,"6241 Delmar Blvd., St. Louis, MO 63130",https://unitedprovisions.com/,info@unitedprovisions.com,(314) 833-5699,
Vault of Midnight,United States,Detroit,Comic Shop / Board Game Store,"2857 E Grand Blvd, Detroit, MI 48202",https://www.vaultofmidnight.com/,contact@vaultofmidnight.com,(313) 481-2165,
Toyology Toys,United States,Detroit,Toy Store,"119 S Main St, Royal Oak, MI 48067",https://toyologytoys.com/,orders@toyologytoys.com,(248) 268-1412,
Source Booksellers,United States,Detroit,Bookstore,"4240 Cass Ave, #105, Detroit, MI 48201",https://www.sourcebooksellers.com/,sourcebooksellers@gmail.com,(313) 832-1155,
Nest,United States,Detroit,Gift & Home Goods Shop,"460 W. Canfield St, Detroit, MI 48201",https://www.nestdetroit.com/,hello@nestdetroit.com,(313) 831-9776,
Eldorado General Store,United States,Detroit,Concept Store,"1700 Michigan Ave, Detroit, MI 48216",https://www.eldoradogeneralstore.com/,chris@eldoradogeneralstore.com,(313) 378-0624,
KAN Books,United States,Detroit,Bookstore,"16225 W. 7 Mile Rd, Detroit, MI 48235",https://kanbooks.org/,kanbooks@knowallegiance.org,(313) 473-7082,
Book Suey,United States,Detroit,Bookstore,"10345 Joseph Campau Ave, Hamtramck, MI 48212",https://booksuey.com/,info@booksuey.com,(313) 213-9404,
Setting Sun VB,United States,Virginia Beach,Tabletop cafe,"4878 Princess Anne Rd. Ste 105, Virginia Beach, VA 23462",https://settingsunvb.com,settingsunvb@gmail.com,(757) 470-0404,
Trilogy Comics,United States,Virginia Beach,Comic shop,"5773 Princess Anne Road, Virginia Beach, VA 23462",https://trilogycomics.net,trilogy1@trilogycomics.net,(757) 490-2205,
Timeless Toys & Comics,United States,Virginia Beach,Toy store,"2645 Dean Drive, Virginia Beach, VA 23452",https://timelesstoysandcomics.com,timelesstoysandcomics@gmail.com,null,
Topiaries Floral & Gifts,United States,Virginia Beach,Gift Shop,"301 25th Street, Virginia Beach, VA 23451",https://topiariesva.com,info@topiariesva.com,(757) 437-1183,
Petrie's Family Games,United States,Colorado Springs,Game Shop / Hobby Shop,"7681 North Union Blvd, Colorado Springs, CO 80920",https://petriesgames.com,petriesfg@gmail.com,(719) 522-1099,
Muse Comics + Games,United States,Colorado Springs,Comic Shop / Game Shop,"1338 N Academy Blvd, Colorado Springs, CO 80909",https://musecomicscolorado.com,%20musecomicsco@gmail.com,(719) 573-7096,
Shuffles Board Game Cafe,United States,Tulsa,Tabletop Cafe,"207 E Archer St., Unit E, Tulsa, OK 74103",https://shufflestulsa.com,info@shufflestulsa.com,(918) 728-7252,
Dice Addiction,United States,Tulsa,Game Shop,"4622 E 11th St, Tulsa, OK 74112",https://diceaddiction.com,diceaddiction@gmail.com,(918) 932-8226,
Impulse Creations Comics & Collectibles,United States,Tulsa,Comic & Collectible Shop,"8228 E 61st St, Suite 121, Tulsa, OK 74133",https://impulsecreations.com,staff@impulsecreations.com,N/A,
Meadow Market Books,United States,Tulsa,Bookstore,"1514 E 15th St, Tulsa, OK 74120",https://meadowmarketbooks.com,shop@meadowmarketbooks.com,(918) 409-0406,
Gardner's Used Books & Music,United States,Tulsa,Bookstore,"4421 S Mingo Rd, Tulsa, OK 74146",https://gardnersbooks.com,info@gardnersbooks.com,(918) 627-7323,
Buck Atom's Cosmic Curios on 66,United States,Tulsa,Gift Shop,"1347 E 11th St, Tulsa, OK 74120",https://buckatomson66.com,buckatomson66@gmail.com,(918) 984-1650,
The Curious Bison,United States,Tulsa,Gift Shop,"1102 S Lewis Ave, Unit B, Tulsa, OK 74104",https://thecuriousbison.com,sales@thecuriousbison.com,(918) 200-9612,
Bricks & Minifigs El Paso,United States,El Paso,Toy Store,"6600 Montana Ave, Suite E, El Paso, TX 79925",https://bricksandminifigs.com/elpaso-tx,elpaso.tx@bricksandminifigs.com,(915) 306-3232,
Mr. C's Toys,United States,El Paso,Toy Store,"6101 Gateway Blvd W, El Paso, TX 79925",https://mrttinkertoys.com,support@mrttinkertoys.com,(915) 774-0371,
Margin Notes Bookbar,United States,El Paso,Bookstore & Wine Bar,"7460 Cimarron Market Ave, Bldg 2, Ste 300, El Paso, TX 79911",https://www.marginnotesbookbar.com,info@marginnotesbookbar.com,(915) 219-7674,
The Burrow,United States,Wichita,Gift and Hobby Shop,"180 S. Rock Rd., Suite 200, Wichita, KS 67207",https://theburrowstore.com/,info@theburrowstore.com,316-209-6217,
Grace Korean Japanese and Asian Market,United States,Wichita,Japanese / Asian Lifestyle Store,"1030 S Oliver St, Wichita, KS 67218",https://gracemarketks.com,support@gracemarketks.com,(316) 260-3111,
Child's Play Toys & Books,United States,Arlington,Toy Store,"4510 Cherry Hill Rd, Arlington, VA 22207",https://childsplaytoysandbooks.com,admin@childsplaytoysandbooks.com,703-522-1022,
