name,country,city,type,address,website,email,phone,status
"Action Packed Comics, Cards & Games",Canada,Kingston,Comic & Hobby Shop,"724 Princess Street, Kingston, ON K7L 1G2",https://actionpackedcomics.com,contact@actionpackedcomics.com,613-547-5730,
Minotaur Games & Gifts,Canada,Kingston,Game & Gift Shop,"78 Princess St, Kingston, ON K7L 1A5",https://minotaurgifts.com,info@minotaurgifts.com,613-545-2308,
Midori Gifts,Canada,Kingston,Japanese Lifestyle & Gift Shop,"232 Princess St, Kingston, ON K7L 1B2",https://midorigifts.com,info@midorigifts.com,613-766-2603,
Bay Used Books,Canada,Sudbury,Bookstore,"124 Elm St, Sudbury, ON P3C 1T6, Canada",https://www.bayusedbooks.com,info@bayusedbooks.com,(705) 673-9311,
Randolph Pub Ludique,Canada,Trois-Rivières,Tabletop Cafe,"123 Rue des Forges, Trois-Rivières, QC G9A 2G7, Canada",https://www.randolph.ca/randolph-pub-ludique-trois-rivieres/,troisrivieres@randolph.ca,819-841-0132,
Jouets Frimousse (L'Entre-Jeux),Canada,Trois-Rivières,Toy Store,"1404 Rue Aubuchon, Trois-Rivières, QC G8Y 5L3, Canada",https://www.lentrejeux.com/,entrepot@lentrejeux.com,819-376-9452,
Restaurant Aki Sushi / Aki Thaï,Canada,Saguenay,Japanese Restaurant / Sushi,"961 Boulevard Talbot, Chicoutimi, Saguenay, QC G7H 4B5",https://akisushi.ca,info@akisushi.ca,(418) 615-1254,
Cardboard Memories,Canada,Brampton,Hobby Shop / Game Shop,"230 Sandalwood Pkwy E, Unit 2, Brampton, ON L6Z 1R3",https://cardboardmemories.ca,info@cardboardmemories.ca,(905) 846-1058,
Doe's Cards,Canada,Brampton,Hobby Shop / Game Shop,"62 Commuter Dr, Unit 1, Brampton, ON L7A 0R3",https://doescards.ca,info@doescards.ca,(905) 843-5551,
Hoseki Omakase Sushi Bar,Canada,Oakville,Omakase Restaurant,"300 Lakeshore Rd E, Unit 4, Oakville, ON L6J 1J2, Canada",https://hosekisushi.com/,contact@hosekisushi.com,905-849-0880,
Zen Japanese Restaurant,Canada,Markham,Japanese Restaurant,"7634 Woodbine Ave, Markham, ON L3R 2N2, Canada",https://zenjapaneserestaurant.com,info@zenjapaneserestaurant.com,905-604-7211,
Sushi Umi Omakase,Canada,Markham,Japanese Restaurant,"3621 Hwy 7, Unit 104-105, Markham, ON L3R 0G6, Canada",https://www.sushi-umi.ca,info@sushi-umi.ca,905-475-1222,
Ibushi,Canada,Markham,Japanese Restaurant,"505 Hwy 7 E, Unit 76, Markham, ON L3T 7T1, Canada",https://www.ibushi.ca,info@ibushi.ca,905-747-0688,
Heisei Mart,Canada,Markham,Japanese Grocery Store,"3160 Steeles Ave E, Unit 118, Markham, ON L3R 4G9, Canada",https://heiseimart.ca,info@heiseimart.ca,905-305-0108,
