name,country,city,type,address,website,email,phone,status
Bouquiniste - Star-Livre,France,Le Havre,Japan shop,"132 Bd de Strasbourg, 76600 Le Havre, France",https://star-livre.fr/,contact@star-livre.fr,02 35 44 30 36,
Papeterie Neveu,France,Le Havre,hobby shop,"74 Av. René Coty, 76600 Le Havre, France",http://www.neveu-papeterie.com/,contact@neveu-papeterie.com,02 35 42 46 30,
Greenp'iz,France,Le Havre,gift shop,"22 Rue Casimir Périer, 76600 Le Havre, France",http://popiz.fr/,contact@popiz.fr,02 32 73 29 81,
Laurelux,France,Le Havre,gift shop,"136 Rue du Maréchal Joffre, 76600 Le Havre, France",https://laurelux.com/,contact@laurelux.com,09 55 54 54 44,
La maison emma,France,Le Havre,gift shop,"69 Rue Paul Doumer, 76600 Le Havre, France",https://lamaisonemma.com/,contact@lamaisonemma.com,06 58 56 16 05,
Les Craquottes,France,Le Havre,gift shop,"Place O Marché, 1 Place thiers, 76600 Le Havre, France",https://les-craquottes.mywizi.com/,epicerie.lescraquottes@gmail.com,09 83 24 66 99,
Les Bidules de LuZelle,France,Le Havre,gift shop,"42 Rue de Paris, 76600 Le Havre, France",http://www.lesbidulesdeluzelle.fr/,contact@lesbidulesdeluzelle.fr,02 35 47 81 12,
Original LH (LH Concept Store),France,Le Havre,concept store,"78 Rue Bernardin de Saint-Pierre, 76600 Le Havre, France",http://www.lh-original.com/,lh concept store <eshop@lh-original.com>,02 35 43 47 75,
L'Atelier Shopping,France,Le Havre,concept store,"43 Rue Louis Philippe, 76600 Le Havre, France",http://www.lateliershopping.com/,contact@lateliershopping.com,02 77 67 96 23,
EDGE DECO - Magasin de Meubles et Canapés - le Havre,France,Le Havre,concept store,"104 Rue Victor Hugo, 76600 Le Havre, France",https://www.edge-deco.com/,contact@edge-deco.com,02 27 15 09 03,
MAISON COUTURE,France,Le Havre,concept store,"14 Rue Edouard Larue, 76600 Le Havre, France",https://maisoncouture.fr/,contact@maisoncouture.fr,02 77 00 05 29,
