name,country,city,type,address,website,email,phone,status
Bärenstark,Germany,Leipzig,toy store,"Arthur-Hoffmann-Straße 94, 04275 Leipzig, Germany",http://www.baerenstark-leipzig.de/,info@baerenstark-leipzig.de,0341 6886660,
Müller,Germany,Leipzig,toy store,"Brühl 1, 04109 Leipzig, Germany",https://www.mueller.de/meine-filiale/,service@shop.mueller.de,0341 99381300,
baby-walz Fachgeschäft Leipzig,Germany,Leipzig,toy store,"Querstraße 18, 04103 Leipzig, Germany",https://www.baby-walz.de/filiale-leipzig/?utm_source=google&utm_medium=places&utm_campaign=Google+Places,leipzig@baby-walz.de,0341 702540,
Dong Xuan Markt,Germany,Leipzig,Japanese store,"Maximilianallee 18, 04129 Leipzig, Germany",http://www.dongxuanmarkt.de/,rm@deutsche-konsum.de,0341 35889031,
China Markt 中华超市,Germany,Leipzig,Japanese store,"Windmühlenstraße 23, 04107 Leipzig, Germany",http://www.china-markt.com/,chinamarkt.zhang@gmail.com,0341 26899288,
Dong Xuan Center,Germany,Leipzig,Japanese store,"Maximilianallee 14-16, 04129 Leipzig, Germany",http://dong-xuan-center-leipzig.de/,kontakt@dong-xuan-center-leipzig.de,,
Niiko Asia Streetfood,Germany,Leipzig,Japanese store,"Nikolaistraße 31, 04109 Leipzig, Germany",http://niiko.de/,info@niiko.de,0341 26480080,
Kirigami,Germany,Leipzig,Japan shop,"Chopinstraße 15, 04103 Leipzig, Germany",http://kirigamileipzig.de/,kirigami.lpz@gmail.com,0341 68416888,
House of Sweets Leipzig,Germany,Leipzig,Japan shop,"Brühl 18, 04109 Leipzig, Germany",http://www.house-of-sweets.com/,support@house-of-sweets.com,01512 4176514,
Das creative Hobby GmbH,Germany,Leipzig,hobby shop,"Brühl 1, 04109 Leipzig, Germany",https://www.dascreativehobby.de/,info@dascreativehobby.de,0341 58064955,
Das creative Hobby GmbH,Germany,Leipzig,hobby shop,"Paunsdorfer Allee 1, 04329 Leipzig, Germany",https://www.dascreativehobby.de/,info@dascreativehobby.de,0341 65831865,
idee. Creativmarkt,Germany,Leipzig,hobby shop,"Nikolaistraße 27-29, 04109 Leipzig, Germany",https://www.idee-shop.com/bastelladen-leipzig/,service@idee-shop.com,0341 2251975,
Günsel Bahn + Hobby,Germany,Leipzig,hobby shop,"Karl-Liebknecht-Straße 152, 04277 Leipzig, Germany",https://hobby-guensel.de/,m_guensel@t-online.de,0341 3016034,
boesner GmbH - Leipzig,Germany,Leipzig,hobby shop,"Spinnereistraße 7, 04179 Leipzig, Germany",https://www.boesner.com/unsere-standorte/leipzig,leipzig@boesner.com,0341 870690,
Bertram the switchman,Germany,Leipzig,hobby shop,"Eisenbahnstraße 123, 04315 Leipzig, Germany",http://www.modellbahn-bertram.de/,shop@modellbahn-bertram.de,0341 6994114,
Herrmann Modellbahnen,Germany,Leipzig,hobby shop,"Burgstraße 4, 04109 Leipzig, Germany",https://www.hml24.com/,info@hml24.com,0341 9611249,
Mein RothStift Schreibwaren + Schulranzen,Germany,Leipzig,hobby shop,"Karl-Liebknecht-Straße 14, 04107 Leipzig, Germany",https://www.meinrothstift.de/,info@meinrothstift.de,0341 9999401,
VIELFACH - LEIPZIG,Germany,Leipzig,gift shop,"Karl-Liebknecht-Straße 66, 04275 Leipzig, Germany",http://www.vielfach-leipzig.de/,info@vielfach-leipzig.de,0341 26361245,
Souvenirladen Zoo Leipzig,Germany,Leipzig,gift shop,"Mitte, 04105 Leipzig, Germany",https://www.zoo-leipzig.de/artikel/den-zoo-geschenkt-weihnachtsgeschenketipps-1194/,officenospam@zoo-leipzig.de,,
Nanu-Nana,Germany,Leipzig,gift shop,"Willy-Brandt-Platz 7, 04109 Leipzig, Germany",https://unternehmen.nanu-nana.de/filiale/leipzig-promenaden-hbf-willy-brandt-platz-7,info@nanu-nana.de,0341 9617647,
Nanu-Nana,Germany,Leipzig,gift shop,"Höfe am Brühl, Brühl 1, 04109 Leipzig, Germany",https://unternehmen.nanu-nana.de/filiale/leipzig-hoefe-am-bruehl-bruehl-1,info@nanu-nana.de,0341 30858710,
MAULWURF&MEHR,Germany,Leipzig,gift shop,"Hainstraße 1-3, 04109 Leipzig, Germany",https://maulwurfundmehr.com/,info@maulwurfundmehr.com,0341 25697047,
EMP Store Leipzig,Germany,Leipzig,gift shop,"Brühl 10, 04109 Leipzig, Germany",https://www.emp.de/store-leipzig/de_leipzig.html,store.leipzig@emp.de,0341 2251074,
Souvenir Shop 2,Germany,Leipzig,gift shop,"Zur Weißen Mark 1, 04249 Leipzig, Germany",http://www.belantis.de/,online@belantis.de,0341 91033333,
STYLE - concept tore Leipzig,Germany,Leipzig,concept store,"Petersstraße 36-44/EG 0, 04109 Leipzig, Germany",https://www.stilconceptstore.de/shop/,kundenservice@stilconceptstore.de,0341 35584150,
Saxony Ducks,Germany,Leipzig,concept store,"Zschochersche Str. 71, 04229 Leipzig, Germany",http://saxonyducks.de/,hm@saxonyducks.de,01578 5032429,
TRANQUILLO Leipzig Innenstadt,Germany,Leipzig,concept store,"Nikolaistraße 39-45, 04109 Leipzig, Germany",http://www.tranquillo-shop.de/,service@tranquillo-shop.deregistergericht,0341 24903230,
Culton Mode,Germany,Leipzig,concept store,"Peterssteinweg 7, 04107 Leipzig, Germany",https://www.cultonm.de/,contact@cultonm.de,0341 1416123,
Grünschnabel – Fashion geht fair.,Germany,Leipzig,concept store,"Nikolaistraße 20, 04109 Leipzig, Germany",https://gruenschnabel-shop.de/,info@gruenschnabel-shop.de,0341 9808022,
TRANQUILLO Leipzig Südvorstadt,Germany,Leipzig,concept store,"Karl-Liebknecht-Straße 91, 04275 Leipzig, Germany",http://www.tranquillo-shop.de/,service@tranquillo-shop.deregistergericht,0341 25696973,
Pin Up 56,Germany,Leipzig,concept store,"Nikolaistraße 42, 04109 Leipzig, Germany",http://www.pinup56.de/,pinup56@gmx.de,0341 96286622,
Bazar Royal,Germany,Leipzig,concept store,"Neumarkt 14, 04109 Leipzig, Germany",http://www.bazarroyal.de/,shop@bazarroyal.de,,
Highlander Games Bremen,Germany,Bremen,board game store,"Bürgermeister-Smidt-Straße 41, 28195 Bremen, Germany",http://www.highlander-bremen.de/,info@highlander-bremen.de,0421 6849279,
Gameground,Germany,Bremen,board game store,"Lange Str. 78, 27749 Delmenhorst, Germany",http://www.gameground.de/,info@gameground.de,04221 6851675,
Lesumer Spieleladen,Germany,Bremen,board game store,"Stader Landstraße 41-43, 28719 Bremen, Germany",https://lesumer-spieleladen.de/,info@lesumer-spieleladen.de,0171 1731652,
Elbenwald,Germany,Bremen,board game store,"Waterfront, AG-Weser-Straße 3, 28237 Bremen, Germany",https://www.elbenwald.de/elbenwald-store-bremen,bremen@elbenwald.de,0421 61940425,
Planet Arcade,Germany,Bremen,game shop,"AG-Weser-Straße 3, 28237 Bremen, Germany",https://planet-arcade.de/,info@planet-arcade.de,0421 83061823,
"TÜTORT - Knobelspiele, Puzzles & Favorites",Germany,Bremen,game shop,"Marterburg 12, 28195 Bremen, Germany",http://www.tuetort-spiele.de/,mail@tuetort-spiele.de,0421 66598821,
