name,country,city,type,address,website,email,phone,status
A+M Concept,France,Lille,concept store,"43 Rue Basse, 59000 Lille, France",http://www.aplusmconcept.com/,contact@aplusm-conceptstore.fr,03 20 19 18 77,
Momentum Design Store,France,Lille,concept store,"42 Rue des trois Mollettes, 59800 Lille, France",http://www.momentum-store.com/,hello@momentum-store.com,03 20 13 31 08,
Coco Friendly,France,Lille,concept store,"9 Rue de la Vieille Comédie, 59800 Lille, France",http://coco-friendly.com/,juliette@coco-friendly.com,03 20 52 32 43,
el MARKET Vieux Lille,France,Lille,concept store,"89 Rue de la Monnaie, 59800 Lille, France",http://www.elmarket.fr/,contact@elmarket.fr,09 77 60 88 16,
Atelier Mama Oh!,France,Lille,concept store,"57 Rue des Arts, 59800 Lille, France",http://www.ateliermamaoh.fr/,hellomamaoh@gmail.com,03 74 45 50 71,
Geek Factory Rennes,France,Rennes,board game store,"Centre Commercial Les Longs Champs, 7 All. Morvan Lebesque, 35700 Rennes, France",https://geekfactory.games/,gkfmichaud@gmail.com,02 99 27 76 09,
Au comptoir des sorciers,France,Rennes,board game store,"Au comptoir des sorciers, 2 Rue Maréchal Joffre, 35000 Rennes, France",http://aucomptoirdessorciers.fr/,contact@aucomptoirdessorciers.fr,09 52 14 25 74,
Les Enfants D'Abord! - Mouton à 5 pattes,France,Rennes,board game store,"7 Rue Pont aux Foulons, 35000 Rennes, France",https://moutona5pattes.com/,contact@moutona5pattes.com,02 99 53 41 39,
Pioche & Rejoue,France,Rennes,board game store,"Shop'in, 35740 Pacé, France",https://pioche-rejoue.fr/,pioche.rejoue@gmail.com,02 22 66 83 49,
Lord of Pop,France,Rennes,board game store,"9 Rue du Pré Botté, 35000 Rennes, France",http://lordofpop.weezbe.com/,lordofpop35@gmail.com,02 90 02 26 12,
