name,country,city,type,address,website,email,phone,status
Mimitoys,Ireland,Limerick,toy store,"Derryclare, Summerhill, Co. Meath, A83 P863, Ireland",https://www.mimitoys.ie/,mimi@mimitoys.ie,(046) 955 8977,
Totally Toys & Nursery,Ireland,Limerick,toy store,"Moneen Industrial Estate, Moneenbradagh, Castlebar, Co. Mayo, F23 DH24, Ireland",https://totallytoys.ie/,info@totallytoys.ie,(094) 902 5480,
Allens,Ireland,Limerick,gift shop,"lower william street, 68 William St, Prior's-Land, Limerick, Ireland",http://allens.ie/,athlone@allens.ie,(061) 467 170,
Abbey Book Shop Ltd,Ireland,Limerick,bookstore,"26 O'Connell St, Prior's-Land, Limerick, Ireland",http://www.abbeybookshop.ie/,lynda@abbeybookshop.ie,(061) 400 252,
Bookstation,Ireland,Limerick,bookstore,"Unit 19, Crescent Shopping Centre, Dooradoyle Rd, Dooradoyle, Limerick, V94 KX6H, Ireland",https://www.bookstation.ie/,info@bookstation.ie,(061) 210 652,
TheBookshop.ie,Ireland,Limerick,bookstore,"48 Patrick St, Kiltillane, Templemore, Co. Tipperary, Ireland",http://www.thebookshop.ie/,sales@thebookshop.ie,086 389 2932,
Cregal Art,Ireland,Galway,board game store,"Monivea Rd, Galway, H91 VP7V, Ireland",https://www.cregalart.ie/,info@cregalart.ie,(091) 751 864,
Toy Corner,Ireland,Galway,board game store,"An Fuarán, Kylebroghlan, Moycullen, Co. Galway, Ireland",https://toycorner.ie/,hello@toycorner.ie,(091) 556 886,
Amber Gift Shop,Ireland,Galway,board game store,"18 Mary St, Galway, H91 F7K4, Ireland",https://holisticproductsireland.com/,info@holisticproductsireland.com,(091) 567 810,
Beattys Toymaster,Ireland,Galway,toy store,"Main St, Loughrea, Co. Galway, H62 X380, Ireland",https://www.beattys.ie/,websales@beattys.ie,(091) 841 403,
