name,country,city,type,address,website,email,phone,status
Game Store,Austria,Linz,board game store,"Friedrichstraße 2, 4040 Linz, Austria",http://magic-linz.at/,office@magic-linz.at,0699 19771161,
"Games, Toys & more",Austria,Linz,board game store,"Wiener Str. 95, 4020 Linz, Austria",http://gtnm.at/ueber-uns/,daniel@gtnm.at,0650 4129861,
Elbenwald,Austria,Linz,board game store,"Plus-Kauf-Straße 7, 4061 Pasching, Austria",https://www.elbenwald.de/Elbenwald-Store-Linz,e-mailinfo@elbenwald.de,0732 231216,
Merchfox Comic Shop,Austria,Linz,board game store,"Wiener Str. 20, 4481 Asten, Austria",http://www.merchfox.at/,contact@merchfox.at,07435 21101,
GAMINGPC.STORE,Austria,Linz,board game store,"Lastenstraße 42, 4020 Linz, Austria",https://www.gamingpc.store/,office@gamingpc.store,0732 210466,
papiertiger,Austria,Linz,board game store,"Pfarrpl. 17, 4020 Linz, Austria",http://www.papiertiger.net/,info@papiertiger.net,0732 783420,
Spielbrett.co.at | Sammelkarten | Tabletop,Austria,Linz,board game store,"Bergham 21, 4891 Pöndorf, Austria",https://shop.spielbrett.biz/,kontakt@spielbrett.co.at,0650 3037619,
MISSIONGAMES,Austria,Linz,board game store,"Hauptstraße 16/1. Stock, 4040 Linz, Austria",https://missiongames.at/,job@missiongames.at,0316 232240,
TCG Dealers Local Store und 24/7 Vending Automat,Austria,Linz,board game store,"Steyrerstraße 29, 4501 Neuhofen an der Krems, Austria",https://www.tcg-dealers.at/,info@tcg-dealers.at,,
ANIGAME,Austria,Linz,game shop,"Jakoministraße 8, 8010 Graz, Austria",http://www.anigame.at/,uhroffice@anigame.at,0316 306319,
PlusCity,Austria,Linz,game shop,"Plus-Kauf-Straße 7, 4061 Pasching, Austria",https://www.pluscity.at/,servicecenter@pluscity.at,07229 6800,
Kinderkram,Austria,Linz,toy store,"Volksgartenstraße 28, 4020 Linz, Austria",http://www.kinderkram-linz.at/,e-mail:laden@kinderkram-linz.at,0699 14039557,
BRICK Flip | PlusCity,Austria,Linz,toy store,"Plus-Kauf-Straße 7, 4061 Pasching, Austria",https://www.brickflip.at/,office@brickflip.at,07229 90505,
BabyOne - The big baby stores,Austria,Linz,toy store,"Frunpark, Handelsring 8-10, 4481 Asten, Austria",https://www.babyone.at/fachmarkt/linz-asten/097?utm_source=google-mb&utm_medium=organic&utm_campaign=linz-asten-097,linz-asten@babyone.at,07224 658180,
Japan-Shop Shirakura,Austria,Linz,Japanese store,"Klammstraße 6, 4020 Linz, Austria",https://www.japan-shop.at/,office@japan-shop.at,0650 9022488,
Nippon-Ya 日本屋 | Japanmarkt,Austria,Linz,Japanese store,"Faulmanngasse 5, 1040 Wien, Austria",http://www.nipponya.at/,office@nippon-ya.at,01 5861084,
Mabuhay 51 – Philippinischer & Asia Markt,Austria,Linz,Japanese store,"Schillerstraße 51, 4020 Linz, Austria",https://sites.google.com/view/mabuhay-51-ihrem-philippinisch?usp=sharing,nursemaryanne89@gmail.com,0677 61986914,
Thai Market,Austria,Linz,Japanese store,"Wiener Str. 13, 4020 Linz, Austria",http://www.thaimarkt.at/,info@thaimarkt.at,0732 947739,
Zushi Market LentiaCity,Austria,Linz,Japanese store,"Hauptstraße 54, 4040 Linz, Austria",https://www.zushi-market.at/,brenda@zushi-market.at,,
Izakaya Restaurant OG,Austria,Linz,Japanese store,"Klammstraße 6, 4020 Linz, Austria",http://www.izakaya.eu/,sabine.shirakura@izakaya.eu,0676 7168174,
Hobby-Kabinett Eder,Austria,Linz,hobby shop,"Hauptstraße 16-18, 4040 Linz, Austria",http://www.hobby-kabinett.at/,office@hobby-kabinett.at,0732 733302,
Gerstäcker Linz GmbH,Austria,Linz,hobby shop,"Peter-Behrens-Platz 9-10, 4020 Linz, Austria",https://www.gerstaecker.at/linz/,info@gerstaecker.attelefon,050 22434,
Zeller Modellbau,Austria,Linz,hobby shop,"Brunnenweg 11, 4560 Kirchdorf an der Krems, Austria",http://zeller-modellbau.com/,office@zeller-modellbau.com,07582 211000,
Modellbahn Zentrale Linz,Austria,Linz,hobby shop,"Figulystraße 1, 4020 Linz, Austria",https://www.modellbahn-zentrale.at/,office@modellbahn-zentrale.at,0732 997193,
Modellbau Albl - RC Spielwaren,Austria,Linz,hobby shop,"Millstätter Str. 59, 9523 Villach, Austria",http://www.modellbau-albl.com/,info@modellbau-albl.com,04242 41118,
Körner Wilhelm GmbH & Co KG,Austria,Linz,hobby shop,"Winetzhammerstraße 5, 4030 Linz, Austria",https://www.koerner.co.at/,office@koerner.co.at,0732 386023,
TCG Dealers 24/7 Vending Automat PlusCity,Austria,Linz,hobby shop,"Plus-Kauf-Straße 7, 4061 Pasching, Austria",https://www.tcg-dealers.at/,info@tcg-dealers.at,,
Souvenir SHOP,Austria,Linz,gift shop,"Hauptpl. 12, 4020 Linz, Austria",http://www.linzsouvenir.at/,office@linzsouvenir.at,0732 774480,
Living,Austria,Linz,gift shop,"Bischofstraße 15, 4020 Linz, Austria",https://www.living-store.at/,info@living-store.at,0732 773877,
DAS Mitbrings´l,Austria,Linz,gift shop,"Böhmerwaldstraße 10, 4020 Linz, Austria",http://dasmitbringsl.at/,info@dasmitbringsl.at,0732 730872,
Dergustationsladen,Austria,Linz,gift shop,"Marktpl. 16, 4020 Linz, Austria",http://www.dergustationsladen.at/,dergustationsladen@microfarm.me,,
Unsere Liebelei Wohlschlager OG,Austria,Linz,gift shop,"Bischofstraße 9, 4020 Linz, Austria",https://www.unsereliebelei.at/,wilhelm@unsereliebelei.atbottom,0660 5492500,
NANU-NANA,Austria,Linz,gift shop,"Hauptstraße 54, 4040 Linz, Austria",https://unternehmen.nanu-nana.de/filiale/linz-lentia-city-hauptstrasse-54,info@nanu-nana.de,0732 711207,
NANU-NANA,Austria,Linz,gift shop,"Landstraße 17/25, 4020 Linz, Austria",https://unternehmen.nanu-nana.de/filiale/linz-landstrasse-17-25,info@nanu-nana.de,,
SONNENTOR Linz Herrenstraße,Austria,Linz,gift shop,"Herrenstraße 3, 4020 Linz, Austria",https://www.sonnentor.com/de-at/geschaefte/sonnentor-geschaefte/sonnentor-linz-herrenstrasse,office@sonnentor.at,0732 770614,
Altstadt 11 - concept store,Austria,Linz,gift shop,"Altstadt 11, 4020 Linz, Austria",https://altstadt-linz.at/einkaufen,wir@altstadt-linz.at,0664 1447585,
A/T Store,Austria,Linz,concept store,"Hofgasse 11, 4020 Linz, Austria",http://www.at-store.at/,shop@at-store.at,0732 220080,
Zerum,Austria,Linz,concept store,"Herrenstraße 8, 4020 Linz, Austria",http://www.zerum.store/,onlineshop@zerum.store,0676 4406130,
moxie,Austria,Linz,concept store,"Promenade 5, 4020 Linz, Austria",https://www.moxie-linz.com/,uhrhello@moxie-linz.com,,
Kleider machen Leute,Austria,Linz,concept store,"Herrenstraße 14, 4020 Linz, Austria",https://www.kleidermachenleute.at/,732942739shop@kleidermachenleute.at,0732 942739,
BLUMA,Austria,Linz,concept store,"Altstadt 18, 4020 Linz, Austria",http://www.bluma.at/,office@bluma.at,0699 12160620,
P3 Comix,Austria,Salzburg,board game store,"Elisabethstraße 43A, 5020 Salzburg, Austria",https://www.p3comix.at/,shop@p3comix.at,0664 2607931,
Gamers Finest,Austria,Salzburg,board game store,"Nußdorferstraße 2, 5020 Salzburg, Austria",https://gamers-finest.at/,kontaktoffice@gamers-finest.at,,
Silent Night Games,Austria,Salzburg,board game store,"St. Georgener Str. 2, 5110 Oberndorf bei Salzburg, Austria",http://www.silent-night-games.at/,dsb@dsb.gv.at,0664 3921955,
ANIGAME,Austria,Salzburg,game shop,"Jakoministraße 8, 8010 Graz, Austria",http://www.anigame.at/,uhroffice@anigame.at,0316 306319,
LEVEL UP - The Gaming Festival,Austria,Salzburg,game shop,"Am Messezentrum 1, 5020 Salzburg, Austria",https://www.levelup-salzburg.at/,info@levelup-salzburg.at,,
Spielbrett.co.at | Sammelkarten | Tabletop,Austria,Salzburg,game shop,"Bergham 21, 4891 Pöndorf, Austria",https://shop.spielbrett.biz/,kontakt@spielbrett.co.at,0650 3037619,
Games2Game,Austria,Salzburg,game shop,"Hanneburgerstraße 13, 6111 Volders, Austria",https://www.games2game.at/,office@games2game.at,0660 7605069,
VideoGameStore SCS,Austria,Salzburg,game shop,"Shopping City Süd Galerie 287, Eingang 10, 2334 Vösendorf, Austria",http://www.videogamestorewien.at/,videogamestorelandstrasse@gmail.com,0676 6007802,
Thalia,Austria,Salzburg,game shop,"Europastraße 1, 5020 Salzburg, Austria",https://www.thalia.at/buchhandlung/6419?utm_source=google&utm_medium=gmb&utm_campaign=website&utm_content=salzburg,info@thalia.at,0732 761567320,
