name,country,city,type,address,website,email,phone,status
MerseyMade,United Kingdom,Liverpool,Gift shop and creative hub,"98 Paradise Street, Liverpool L1 3HJ",https://merseymade.uk,shopwk@merseymade.uk,,
Secret Solstice Games,United Kingdom,Edinburgh,Board Game Cafe & Retail Store,"1 Carpet Lane, Leith, Edinburgh, EH6 6SS",https://www.secretsolsticegames.co.uk/,info@secretsolsticegames.com,Not publicly listed,
Paper Tiger,United Kingdom,Edinburgh,Gift and Design Shop,"6A/8 Stafford St, Edinburgh EH3 7AU",https://papertiger.co.uk,info@papertiger.co.uk,+44 131 225 3333,
Curiouser & Curiouser,United Kingdom,Edinburgh,Gift and Design Shop,"93 Broughton St, Edinburgh EH1 3RZ",https://curiouserandcuriouser.com,hello@curiouserandcuriouser.com,+44 131 556 9834,
The Red Door Gallery,United Kingdom,Edinburgh,Design and Art Shop,"42 Victoria St, Edinburgh EH1 2JW",https://edinburghart.com,ask@edinburghart.com,+44 131 220 2828,
Golden Hare Books,United Kingdom,Edinburgh,Bookstore,"68 Raeburn Pl, Stockbridge, Edinburgh EH4 1HJ",https://goldenharebooks.com,mail@goldenharebooks.com,+44 131 332 9004,
Lighthouse Bookshop,United Kingdom,Edinburgh,Bookstore,"43-45 W Nicolson St, Edinburgh EH8 9DB",https://lighthousebookshop.com,books@lighthousebookshop.com,+44 131 662 9112,
An Independent Zebra,United Kingdom,Edinburgh,Gift and Design Shop,"88-92 Raeburn Pl, Edinburgh EH4 1HH",https://anindependentzebra.com,enquiries@anindependentzebra.com,null,
GoodTime Games,United Kingdom,Manchester,Board game cafe and store,"212 Burton Rd, West Didsbury, Manchester M20 2LW",https://www.goodtimegames.co.uk,info@goodtimegames.co.uk,0161 445 0175,
Urmston Books and Board Games,United Kingdom,Manchester,Bookshop and board game cafe,"72 Flixton Rd, Urmston, Manchester M41 5AB",https://urmstonbooks.co.uk,jo@urmstonbooks.co.uk,0161 747 7442,
Fred Aldous,United Kingdom,Manchester,"Art, Craft and Design Shop","37 Lever Street, Manchester M1 1LW, United Kingdom",https://www.fredaldous.co.uk/,sales@fredaldous.co.uk,+44 161 236 4224,
UNITOM,United Kingdom,Manchester,Bookstore and Gallery,"1a Stevenson Square, Manchester M1 1DN, United Kingdom",https://unitom.co.uk/,hello@unitom.co.uk,+44 7496 267160,
Chorlton Bookshop,United Kingdom,Manchester,Bookstore,"506 Wilbraham Road, Chorlton-cum-Hardy, Manchester M21 9AW, United Kingdom",https://www.chorltonbookshop.co.uk/,info@chorltonbookshop.co.uk,+44 161 881 6374,
Excelsior,United Kingdom,Bristol,Comic and Board Game Store,"51-53 Merchant Street, Bristol, BS1 3EE",https://excelsiorgamesandcomics.co.uk/,excelsiorcomicsbristol@gmail.com,0117 925 7479 (Games) / 0117 930 0621 (Comics),
Toyville,United Kingdom,Bristol,Toy and Board Game Shop,"9 North Street, Bedminster, Bristol, BS3 1EN",https://toyvilleshop.co.uk/,hello@toyvilleshop.co.uk,0117 985 3515,
Bristol Independent Gaming,United Kingdom,Bristol,Tabletop Gaming Venue and Hobby Store,"11-16 Cater Road, Block 8, Bishopsworth, Bristol, BS13 7TW",https://bristolindependentgaming.co.uk/,big@bristolindependentgaming.co.uk,0117 403 9400,
Mon Pote,United Kingdom,Bristol,Gift and Homeware Shop,"177 North Street, Bedminster, Bristol, BS3 1JW",https://monpote.co.uk,info@monpote.co.uk,Not publicly listed,
Independent Design Collective,United Kingdom,Bristol,Gift and Design Shop,"76 North Street, Southville, Bristol, BS3 1HJ",https://independentdesigncollective.com,mail@independentdesigncollective.com,0117 239 1198,
Prior Shop,United Kingdom,Bristol,Gift and Design Shop,"136 Church Road, Redfield, Bristol, BS5 9HH",https://priorshop.uk,hello@priorshop.uk,0117 929 0712,
The Bristol Artisan,United Kingdom,Bristol,Gift and Design Shop,"3 Lower Redland Road, Redland, Bristol, BS6 6TB",https://thebristolartisan.com,thebristolartisan@gmail.com,0117 317 9640,
Storysmith,United Kingdom,Bristol,Bookstore,"236 North Street, Bedminster, Bristol, BS3 1JD",https://storysmithbooks.com,roy@storysmithbooks.com,0117 953 7961,
Max Minerva's Marvellous Books,United Kingdom,Bristol,Bookstore,"47 Henleaze Road, Henleaze, Bristol, BS9 4BL",https://maxminervas.co.uk,info@maxminervas.co.uk,07498 538 858,
Book Space Cardiff,United Kingdom,Cardiff,Independent Bookstore,"26a Crwys Road, Cathays, Cardiff, CF24 4NL",https://bookspacecardiff.co.uk,lily@bookspacecardiff.co.uk,07723 142872,
My Old Toy Box,United Kingdom,Belfast,Toy & Model Shop,"Unit 14, Smithfield Market, Winetavern Street, Belfast, BT1 1JE, United Kingdom",https://myoldtoybox.shop,info@myoldtoybox.shop,07719 100483,
Model Corner,United Kingdom,Leicester,Hobby Shop,"Leicester, Leicestershire",https://modelcorner.co.uk,sales@modelcorner.co.uk,0116 267 7454,
Henshin,United Kingdom,Leicester,Japanese Lifestyle and Toy Store,"5 Silver Street, Leicester, LE1 5ET",https://henshinuk.com,sales@henshintoys.com,Not available,
Beadlebop Design,United Kingdom,Coventry,Gift and Craft Shop,"2a Fargo Village, Far Gosford St, Coventry CV1 5ED, United Kingdom",https://www.beadlebop.co.uk/,hello@beadlebop.co.uk,+44 7982 040502,
The Dice Cup,United Kingdom,Nottingham,Board Game Cafe,"68-70 Mansfield Rd, Nottingham, NG1 3GY",https://dicecupcafe.co.uk,contact@dicecupcafe.co.uk,0115 845 8729,
Games Haven,United Kingdom,Nottingham,Board Game Cafe and Hobby Shop,"Lennox House, 92 Lower Parliament St, Nottingham, NG1 1EH",https://gameshaven.co.uk,info@gameshaven.co.uk,0115 778 6186,
7th City Collectables,United Kingdom,Nottingham,Hobby Shop,"128 Derby Rd, Sandiacre, Nottingham, NG10 5HU",https://7thcitycollectables.com,7thcitycollectables@gmail.com,Not available,
Page 45,United Kingdom,Nottingham,Comic Shop,"9 Market St, Nottingham, NG1 6HY",https://page45.com,page45@page45.com,0115 950 8045,
The Forgotten Toy Shop,United Kingdom,Nottingham,Toy Store,"38 Earlswood Drive, Edwalton, Nottingham, NG12 4AZ",https://theforgottentoyshop.co.uk,shop@theforgottentoyshop.co.uk,Not available,
Debbie Bryan,United Kingdom,Nottingham,Design Shop / Creative Space,"1st Floor, 4-6 St Peter's Gate, Nottingham, NG1 2JG",https://debbiebryan.co.uk/,shop@debbiebryan.co.uk,0115 950 7776,
Nottingham Contemporary Shop,United Kingdom,Nottingham,Design Shop / Art Gallery Shop,"Weekday Cross, Nottingham, NG1 2GB",https://nottinghamcontemporary.shop/,shop@nottinghamcontemporary.org,0115 948 9750,
