name,country,city,type,address,website,email,phone,status
Materia Concept Store,Poland,Lublin,Concept Store,"ul. Peowiaków 12, 20-007 Lublin",https://ck.lublin.pl,kasa@ck.lublin.pl,+48 81 466 61 40,
Flamberg,Poland,Katowice,"Sklep z grami planszowymi, bitewnymi i akcesoriami","ul. Adama Mickiewicza 3, 40-092 Katowice",https://flamberg.com.pl,sklep@flamberg.com.pl,+48 513 845 913,
Komiksiarnia,Poland,Katowice,Sklep z komiksami i mangą,"ul. Kościuszki 14, 40-049 Katowice",https://komiksiarnia.pl,zamowienia@komiksiarnia.pl,+48 519 703 994,
Forum Designu,Poland,Katowice,Design showroom and concept store,"al. Korfantego 6, 40-004 Katowice",https://forumdesignu.pl,biuro@forumdesignu.pl,Not listed,
Lepshe concept store,Poland,Katowice,Concept store,"ul. św. Jana 14, 40-012 Katowice",https://lepshe.pl,kontakt@lepshe.pl,+48 737 169 051,
Sklep Orientalny Lokaah,Poland,Katowice,Oriental gift and lifestyle store,"ul. 3 Maja 16, 40-092 Katowice",https://lokaah.pl,kontakt@lokaah.pl,+48 533 092 434,
Kult Games,Portugal,Lisbon,Game Store,"Rua Pinheiro Chagas, 78C, 1050-180 Lisboa, Portugal",https://www.kultgames.pt/,shop@kultgames.pt,+351 213 555 499,
Defuse Cafe,Portugal,Lisbon,Board Game Cafe,"Rua Viriato 23D, 1050-234 Lisboa, Portugal",https://www.defusecafe.com/,manager@defusecafe.com,+351 963 898 227,
Gameplay Boardgames,Portugal,Lisbon,Game Store,"Estrada de Benfica 726-C, 1500-087 Lisboa, Portugal",https://gameplay.pt/,jogos@gameplay.pt,+351 917 727 541,
BD Mania,Portugal,Lisbon,Comic Book Store,"Rua das Flores 71, 1200-194 Lisboa, Portugal",https://www.bdmania.pt/,bdmania@bdmania.pt,+351 213 461 208,
Hobbysector,Portugal,Lisbon,Hobby and Model Shop,"Rua Cooperativa a Sacavenense 20, Loja C/D, 2685-005 Sacavém, Lisboa, Portugal",https://hobbysector.com/,info@hobbysector.com,+351 961 558 155,
SigToys,Portugal,Lisbon,Toy Store,"Centro Cultural de Belém, Rua Bartolomeu Dias, Loja 3, 1449-003 Lisboa, Portugal",http://www.sigtoys.com/,info@sigtoys.com,+351 210 963 042,
