name,country,city,type,address,website,email,phone,status
Spielkultur,Germany,Münster,board game store,"Frauenstraße 40, 48143 Münster, Germany",https://spielkulturmuenster.com/,kontakt@spielkultur-muenster.de,0251 1449676,
Nett mit Brett,Germany,Münster,board game store,"Templerweg 175A, 48165 Münster, Germany",http://nettmitbrett.de/,info@nettmitbrett.de,0176 70092547,
FIFFIKUS Office- and toy shop,Germany,Münster,board game store,"Marktallee 67, 48165 Münster, Germany",http://spiel-fiffikus.de/,info@spiel-fiffikus.de,02501 9280730,
Schach Niggemann,Germany,Münster,board game store,"Schadowstraße 5, 48163 Münster, Germany",https://www.schachversand.de/,info@schachversand.de,02501 9288320,
Smalltinytoystore,Germany,Münster,board game store,"Nienberger Str. 19, 48159 Münster, Germany",https://smalltinytoystore.de/pages/kontakt,info@smalltinytoystore.de,0163 9181569,
CityGames Münster,Germany,Münster,game shop,"im ""Aasee - Rondell, Adenauerallee, 48149 Münster, Germany",https://citygames-muenster.de/,info@citygames-muenster.de,0251 20835300,
barando - Online-Shop für LEGO,Germany,Münster,toy store,"Siemensstraße 57, 48153 Münster, Germany",https://www.barando.de/,info@barando.de,0251 93267263,
SPACEart,Germany,Münster,toy store,"Vogelrohrsheide 63, 48167 Münster, Germany",https://spaceart.de/,mail@spaceart.de,0251 36894,
Pinolino Kinderträume,Germany,Münster,toy store,"Sprakeler Str. 397, 48159 Münster, Germany",https://www.pinolino.de/,shop@pinolino.de,0251 2392928,
Asia Hua Xin GmbH & Co. KG,Germany,Münster,Japanese store,"Warendorfer Str. 11, 48145 Münster, Germany",http://www.huaxinsupermarkt.de/,info@huaxinsupermarkt.de,0251 39552236,
SB Central Market Münster,Germany,Münster,Japanese store,"Loddenheide 7, 48155 Münster, Germany",https://www.sb-zentralmarkt.de/,info@sbzentralmarkt.de,0251 609210,
DAN DAN Münster,Germany,Münster,Japanese store,"Alter Steinweg 21, 48143 Münster, Germany",https://www.dan-dan.de/,info@dandanmuenster.de,0251 37977887,
Takumi Münster Chicken&Vegan,Germany,Münster,Japanese store,"Marievengasse 9, 48143 Münster, Germany",http://www.takumi-muenster.de/,info@takumi-muenster.de,,
Münster Souvenirs GmbH & Co. KG Jürgen,Germany,Münster,Japan shop,"Heinrich-Brüning-Straße 6, 48143 Münster, Germany",https://muenster-souvenirs.de/,kontakt@muenster-souvenirs.de,0251 9816003,
Takumi Münster,Germany,Münster,Japan shop,"Wolbecker Str. 16, 48155 Münster, Germany",https://takumi-muenster.de/,info@takumi-muenster.de,,
ami & aki,Germany,Münster,Japan shop,"Frauenstraße 40, 48143 Münster, Germany",https://amiandaki.com/,info@amiandaki.com,,
Kreativ Markt Münster GmbH & Co. KG,Germany,Münster,hobby shop,"Alter Steinweg 40, 48143 Münster, Germany",https://kreativmarkt.online/bastelladen-muenster/,muenster@kreativmarkt.online,0251 97599700,
WIEMO,Germany,Münster,hobby shop,"Warendorfer Str. 21, 48145 Münster, Germany",http://www.wiemo.com/,service@wiemo.com,0251 135767,
Franke & Franke GmbH,Germany,Münster,hobby shop,"Friedrich-Ebert-Straße 118, 48153 Münster, Germany",http://www.franke-franke.de/,info@franke-franke.de,0251 399570,
Schulranzenwelt ISFORT,Germany,Münster,hobby shop,"Bergstraße 68, 48143 Münster, Germany",https://www.schulranzenwelt.de/unser-fachmarkt,info@schulranzenwelt.de,0251 9794342,
Homebeis,Germany,Münster,gift shop,"Aegidiistraße 2 - 3, 48143 Münster, Germany",https://homebeis.de/,mail@homebeis.de,0251 48409407,
Grün & Form,Germany,Münster,gift shop,"Bohlweg 68A, 48147 Münster, Germany",http://www.gruen-und-form.de/,info@gruen-und-form.de,0251 48820764,
Koster - The house for home decor,Germany,Münster,gift shop,"Prinzipalmarkt 27, 48143 Münster, Germany",http://www.koesters-wohnkultur.de/,info@koesters-wohnkultur.de,0251 414230,
No45 Concept Store - Skandinavien Lifestyle - Münster,Germany,Münster,concept store,"Windthorststraße 45, 48143 Münster, Germany",https://www.no45-concept.store/,info@no45-concept.store,01512 7279800,
Vida Luminosa Conceptstore,Germany,Münster,concept store,"Überwasserstraße 22, 48143 Münster, Germany",https://www.vidaluminosa.com/,info@vidaluminosa.com,,
Das Schönwerk,Germany,Münster,concept store,"Spiekerhof 23/ 24, 48143 Münster, Germany",https://www.dasschoenwerk.de/,info@dasschoenwerk.de,0251 39440880,
B A C K Y A R D - Münster,Germany,Münster,concept store,"Servatiipl. 1, 48143 Münster, Germany",http://www.backyard-shop.de/,info@backyard-shop.de,0251 1449396,
Villa Sophie Label Store Münster,Germany,Münster,concept store,"Ludgeripl. 12, 48151 Münster, Germany",https://www.villa-sophie.com/,kontakt@villa-sophie.com,0251 93137178,
AFAUN - About Future And Urban Nature,Germany,Münster,concept store,"Ludgeristraße 58, 48143 Münster, Germany",http://www.gruenewiese-shop.de/,info@gruenewiese-shop.de,,
MIN SKAT,Germany,Münster,concept store,"Julius-Voos-Gasse 6, 48143 Münster, Germany",http://min-skat.de/,info@min-skat.de,0251 98166971,
STORY OF MINE for dogs & friends,Germany,Münster,concept store,"Spiekerhof 1, 48143 Münster, Germany",https://www.story-of-mine.com/,info@story-of-mine.com,0251 29793090,
Rosta Buchladen,Germany,Münster,bookstore,"Aegidiistraße 12, 48143 Münster, Germany",http://www.rosta-online.de/,buchladen@rosta-online.de,0251 44926,
Buchhandlung Der Wunderkasten,Germany,Münster,bookstore,"Rüschhausweg 6, 48161 Münster, Germany",http://www.wunderkasten.de/,info@wunderkasten.de,0251 14476962,
Antiquariat Michael Solder (Wilsberg),Germany,Münster,bookstore,"Frauenstraße 49/50, 48143 Münster, Germany",https://rarebooks.antiquariat-solder.de/,info@antiquariat-solder.de,0251 45339,
Hiltruper Buchhandlung,Germany,Münster,bookstore,"Marktallee 46, 48165 Münster, Germany",http://www.hiltruperbuchhandlung.de/,info@hiltruperbuchhandlung.de,02501 987940,
Buchhandlung Lesezeit,Germany,Münster,bookstore,"Dingbängerweg 33, 48163 Münster, Germany",https://lesezeit-münster.de/,info@lesezeit-muenster.de,0251 9743294,
donnerblitz design Studio,Germany,Münster,design shop,"Bernhard-Ernst-Straße 12, 48155 Münster, Germany",http://www.donnerblitz-design.de/,info@dbd-moebel.de,0251 74748063,
Mersmann Design,Germany,Münster,design shop,"Roggenmarkt 4, 48143 Münster, Germany",http://www.mersmann.com/,info@mersmann.com,0251 42644,
raum und form,Germany,Münster,design shop,"Willy-Brandt-Weg 13, 48155 Münster, Germany",http://www.raumundform.com/,beratung@raumundform.com,0251 20818420,
"Ventana Möbel, Mathias Müller",Germany,Münster,design shop,"Stubengasse 22, 48143 Münster, Germany",http://www.ventana.ms/,info@ventana-moebel.de,0251 40788,
SpecOps network,Germany,Münster,tabletop cafe,"Aegidiimarkt 5, 48143 Münster, Germany",https://spec-ops.de/,info@spec-ops.de,,
The City Café,Germany,Münster,tabletop cafe,"Klemensstraße 9, 48143 Münster, Germany",http://stadt-cafe.ms/,stadtcafe@dalili.ms,0251 39587907,
Tabletop Gaming Münster e.V.,Germany,Münster,tabletop cafe,"Eulerstraße 15, 48155 Münster, Germany",https://tabletop-muenster.de/,info@tabletop-muenster.de,,
Café Magnolia,Germany,Münster,tabletop cafe,"Brüderstraße 31, 48145 Münster, Germany",http://www.cafemagnolia.de/,info@cafemagnolia.de,0251 93261980,
KAWENTSMANNs CAFE & TAGESBAR,Germany,Münster,tabletop cafe,"Spiekerhof 15, 48143 Münster, Germany",https://cafe.kawentsmann.de/,gastro@kawentsmann.de,0251 96280270,
Fantasy Shop,Greece,Athens,board game store,"3is Septemvriou 65, Athina 104 33, Greece",http://www.fantasy-shop.gr/,info@fantasy-shop.gr,21 0823 1072,
Game ON,Greece,Athens,board game store,"Leof. Mesogeion 41, Athina 115 26, Greece",http://www.gameongreece.gr/,info@gameongreece.gr,21 3045 3124,
The Game Rules (Chalandri),Greece,Athens,board game store,"Agias Paraskevis 69, Athina 152 34, Greece",http://www.thegamerules.com/,sales@thegamerules.com,21 5215 1221,
Aroundyou,Greece,Athens,board game store,"Likourgou 9, Athina 105 51, Greece",https://aroundyou.gr/,info@aroundyou.gr,21 0325 4175,
