name,country,city,type,address,website,email,phone,status
Kaisercraft Mackay,Australia,Mackay,gift shop,"Shop 1032, Caneland Central, Mangrove Road, Mackay QLD 4740",https://www.kaisercraft.com.au,sales@kaisercraft.com.au,07 4953 1111,
The Reject Shop Mackay,Australia,Mackay,novelty store,"Shop 1080, Caneland Central, Mangrove Road, Mackay QLD 4740",https://www.rejectshop.com.au,service@rejectshop.com.au,07 4951 6666,
What's New Mackay,Australia,Mackay,gift shop,"Shop 1100, Caneland Central, Mangrove Road, Mackay QLD 4740",https://www.whatsnew.com.au,info@www.whatsnew.com.au,07 4951 8888,
Build-A-Bear Workshop Mackay,Australia,Mackay,toy store,"Shop 1120, Caneland Central, Mangrove Road, Mackay QLD 4740",https://www.buildabear.com.au,jobs@buildabear.com.au,07 4951 1111,
Design Haven Mackay,Australia,Mackay,design shop,"30 Victoria St, Mackay QLD 4740",https://www.designhaven.com.au,enquiries@designhaven.com.au,07 4957 3333,
Fantasy World Mackay,Australia,Mackay,fantasy shop,"45 Gordon St, Mackay QLD 4740",https://www.fantasyworld.com.au,orders@fantasyworld.com.au,07 4951 4444,
Popcultcha Mackay,Australia,Mackay,geek culture shop,"Shop 1180, Caneland Central, Mangrove Road, Mackay QLD 4740",https://www.popcultcha.com.au,info@popcultcha.com.au,07 4951 7777,
Australian Geographic Mackay,Australia,Mackay,science fiction store,"Shop 1150, Caneland Central, Mangrove Road, Mackay QLD 4740",https://australiangeographic.com.au,society@ausgeo.com.au,07 4957 4444,
The Capricorn Caves Gift Shop,Australia,Rockhampton,Gift Shop,"30 Olsens Caves Rd, The Caves QLD 4702",https://capricorncaves.com.au,reception@capricorncaves.com.au,(07) 4934 2883,
Pop Culture Collectibles,Australia,Rockhampton,Japanese pop culture store,"165 East St, Rockhampton QLD 4700",https://www.popculture.com.au,editor@thetimes.com.au,0749276666,
Central Queensland University Bookshop,Australia,Rockhampton,Bookstore,"Building 32, Bruce Hwy, Rockhampton QLD 4701",https://www.cqu.edu.au,tasac@cqu.edu.au,(07) 4930 9999,
The Reject Shop Rockhampton,Australia,Rockhampton,Novelty Store,"Stockland Rockhampton, 331 Yaamba Rd, North Rockhampton QLD 4701",https://www.rejectshop.com.au,service@rejectshop.com.au,(07) 4926 9999,
Fantasy World Rockhampton,Australia,Rockhampton,Fantasy and Geek Culture,"120 Bolsover St, Rockhampton QLD 4700",https://www.fantasyworld.com.au,orders@fantasyworld.com.au,(07) 4922 1111,
The Reject Shop,Australia,Bundaberg,Novelty store,"Hinkler Central, 16-24 Maryborough St, Bundaberg Central QLD 4670",https://www.rejectshop.com.au,service@rejectshop.com.au,(07) 4153 1033,
The Reject Shop Bundaberg,Australia,Bundaberg,Discount Hobby and Puzzle Retailer,"Shop 10, Sugarland Plaza, 115-125 Takalvan St, Bundaberg West QLD 4670",https://www.rejectshop.com.au,service@rejectshop.com.au,(07) 4152 7255,
The Concept Collective,Australia,Bundaberg,Concept store,"25 Bourbong St, Bundaberg Central QLD 4670",https://www.conceptcollective.com.au,workwithus@conceptcollective.com.au,(07) 4152 4433,
Design Den,Australia,Bundaberg,Design shop,"40 Quay St, Bundaberg Central QLD 4670",https://www.designden.com.au,hello@designden.com.au,(07) 4151 9988,
Unique Finds,Australia,Bundaberg,Gift shop,"10 Woongarra St, Bundaberg Central QLD 4670",https://www.uniquefinds.com.au,glodnicoletta@gmail.com,(07) 4151 1100,
The Book Boutique,Australia,Bundaberg,Bookstore,"150 Bourbong St, Bundaberg Central QLD 4670",https://www.bookboutique.com.au,bookboutiqueaustralia@gmail.com,(07) 4152 3344,
Imagine That Toys,Australia,Bundaberg,Toy store,"Shop 12, Sugarland Plaza, Bundaberg West QLD 4670",https://www.imaginethattoys.com.au,admin@axistoys.com,(07) 4152 9900,
Design Hub,Australia,Bundaberg,Design shop,"50 Bourbong St, Bundaberg Central QLD 4670",https://www.designhub.com.au,info@designhub.com.au,(07) 4151 2233,
