name,country,city,type,address,website,email,phone,status
Momoko - Japan Treats & Bubble Tea,Hungary,Miskolc,Japanese store,"Budapest, József krt. 46, 1085 Hungary",https://momokoshop.hu/,info@momokoshop.hu,06 30 924 5361,
DekorPlaza.hu,Hungary,Miskolc,Japan shop,"Miskolc, Szeles u. 63 69, 3526 Hungary",https://www.dekorplaza.hu/,info@dekorplaza.hu,06 70 600 1033,
Wonderlab,Hungary,Miskolc,concept store,"Budapest, Veres Pálné u. 3, 1053 Hungary",https://wonderlabconcept.com/,hello@wonderlabconcept.com,06 20 263 8963,
Genius Book Store,Hungary,Miskolc,bookstore,"Miskolc, Széchenyi istván út 107, 3525 Hungary",https://www.geniusz.hu/,info@geniusz.hu,(06 46) 412 878,
GeekCorner,Hungary,Miskolc,comic shop,"Budapest, Már bezárták.Csak raktár. Személyes vásárlásra nincs lehetőség, Késmárk u 16, 1158 Hungary",https://geekcorner.hu/,andras.muller@geekcorner.hu,06 30 138 0926,
Board Game Café,Hungary,Miskolc,tabletop cafe,"Budapest, Üllői út 46, 1082 Hungary",https://boardgamecafe.hu/,info@boardgamecafe.hu,06 70 469 9474,
TCG FUTÁR,Hungary,Pécs,board game store,"Pécs, Bajcsy-Zsilinszky u. 9, 7622 Hungary",https://tcgfutar.hu/,info@tcgfutar.hu,06 30 823 3182,
PanDani Világa - A fejlesztő mesevilág - Játékbolt Pécs - Fejlesztő játékok,Hungary,Pécs,board game store,"Pécs, Király u. 50, 7626 Hungary",http://www.pandani.hu/,hello@pandani.hu,06 30 457 1737,
Multigames,Hungary,Pécs,board game store,"Pécs, Nyugati Ipari út 4, 7634 Hungary",http://www.multigames.hu/,info@multigames.hu,06 30 478 6621,
Jump Games,Hungary,Pécs,board game store,"Pécs, Siklósi út 3, 7622 Hungary",https://jumpgames.hu/,hello@jumpgames.hu,06 20 251 0613,
Pécsi PC,Hungary,Pécs,game shop,"Pécs, Veress Endre u. 17, 7633 Hungary",http://www.pecsipc.hu/,info@pecsipc.hu,06 30 141 2002,
Pécs Plaza,Hungary,Pécs,toy store,"Pécs, Megyeri út 76, 7631 Hungary",http://pecsplaza.hu/,info@pecsplaza.hu,06 30 163 7775,
Momoko - Japan Treats & Bubble Tea,Hungary,Pécs,Japanese store,"Budapest, József krt. 46, 1085 Hungary",https://momokoshop.hu/,info@momokoshop.hu,06 30 924 5361,
Yourconcept,Hungary,Pécs,concept store,"Pécs, Alkotmány u. 37, 7624 Hungary",https://yourconcept.hu/,uzlet@yourconcept.hu,06 30 555 1645,
"1861 Kesztyűmanufaktúra, Kiállítás és Factory Store",Hungary,Pécs,concept store,"Pécs, Major u. 21, 7626 Hungary",http://www.kesztyumanufaktura.hu/,info@pecsikesztyushop.hu,06 70 335 2647,
Globero,Hungary,Pécs,concept store,"Pécs, Batthyány u. 9, 7621 Hungary",https://globero.hu/,rendeles@globero.hu,06 30 898 9547,
Jókai Antikvárium,Hungary,Pécs,bookstore,"Pécs, Ferencesek utcája 1, 7621 Hungary",http://jokaiantikvarium.hu/,info@jokaiantikvarium.hu,(06 72) 315 823,
Könyvfaló Könyvesbolt,Hungary,Pécs,bookstore,"Pécs, Rákóczi út 28, 7623 Hungary",http://www.konyvfalo.hu/,guthanna@konyvfalo.hu,06 20 216 8535,
Aroma Shop Magyarország by BALI-GALI DESIGN,Hungary,Pécs,design shop,"Pécs, Megyeri út 66/1, 7623 Hungary",https://www.aromashopmagyarorszag.hu/,info@aromashopmagyarorszag.hu,06 70 633 5001,
Diadravai design,Hungary,Pécs,design shop,"Pécs, Szabadság u. 38, 7623 Hungary",http://www.diadravai.hu/,kapcsolat@diadravai.hu,06 30 466 2397,
Wega-Design Kft.,Hungary,Pécs,design shop,"Pécs, Őz u. 5, 7624 Hungary",http://www.wega-design.com/contact.html,info@wega-design.com,(06 72) 532 359,
Sőregi Cake Decoration - Sőregi Gábor ev.,Hungary,Pécs,design shop,"Pécs, Aidinger János utca 50-52, 7632 Hungary",http://www.soregi.com/,info@soregi.com,(06 72) 411 985,
"Ilosfai Bútor - Bútorüzlet Pécs , Design bútorok Pécs",Hungary,Pécs,design shop,"Pécs, Siklósi út 22, 7632 Hungary",http://ilosfaibutor.hu/,butor@ilosfaibutor.hu,06 30 650 2926,
Board Game Café,Hungary,Pécs,tabletop cafe,"Budapest, Üllői út 46, 1082 Hungary",https://boardgamecafe.hu/,info@boardgamecafe.hu,06 70 469 9474,
