name,country,city,type,address,website,email,phone,status
The Compleat Strategist,United States,New York City,Game and Hobby Shop,"11 East 33rd Street, New York, NY 10016",https://thecompleatstrategist.com,info@thecompleatstrategist.com,(212) 685-3880,
The Brooklyn Strategist,United States,New York City,Board Game Cafe,"148 Pierrepont St, Brooklyn, NY 11201",https://thebrooklynstrategist.com,info@thebrooklynstrategist.com,(718) 576-3035,
Midtown Comics Times Square,United States,New York City,Comic Book Store,"200 W. 40th St., New York, NY 10018",https://midtowncomics.com,info@midtowncomics.com,(212) 302-8192,
Midtown Comics Grand Central,United States,New York City,Comic Book Store,"459 Lexington Avenue, New York, NY 10017",https://midtowncomics.com,info@midtowncomics.com,(212) 302-8192,
Midtown Comics Downtown,United States,New York City,Comic Book Store,"64 Fulton St., New York, NY 10038",https://midtowncomics.com,info@midtowncomics.com,(212) 302-8192,
Toy Tokyo,United States,New York City,Toy Store,"91 Second Avenue, New York, NY 10003",https://toytokyo.com,sales@toytokyo.com,(212) 673-5424,
Mary Arnold Toys,United States,New York City,Toy Store,"1178 Lexington Avenue, New York, NY 10028",https://maryarnoldtoys.com,custservice@maryarnoldtoys.com,(212) 744-8510,
CAMP,United States,New York City,Toy Store,"110 5th Ave, New York, NY 10011",https://camp.com,hi@camp.com,(917) 997-0439,
Colbo,United States,New York City,Concept Store,"51 Orchard St, New York, NY 10002",https://colbo.nyc,hi@colbo.nyc,(646) 682-7944,
The Store at MAD,United States,New York City,Design & Gift Shop,"2 Columbus Circle, New York, NY 10019",https://madmuseum.org,info@madmuseum.org,(212) 299-7700,
It's GameTime,United States,Los Angeles,Game Shop,"3301 Motor Ave, Los Angeles, CA 90034",https://itsgametimela.com,info@itsgametimela.com,(424) 603-4325,
Game N' Grounds,United States,Los Angeles,Tabletop Cafe,"20929 Devonshire St, Chatsworth, CA 91311",https://gamengrounds.com,info@gamengrounds.com,(818) 709-1000,
Burbank's House of Hobbies,United States,Los Angeles,Hobby Shop,"911 S Victory Blvd, Burbank, CA 91502",https://houseofhobbies.com,info@houseofhobbies.com,(818) 848-3674,
Game Empire Pasadena,United States,Los Angeles,Game Shop,"265 N Allen Ave, Pasadena, CA 91106",https://gameempire.com,gameempire@gameempire.com,(626) 577-6867,
Collector's Paradise,United States,Los Angeles,Comic Shop,"7131 Winnetka Ave, Winnetka, CA 91306",https://comicsandcards.net,store@comicsandcards.net,(818) 999-9455,
Book Soup,United States,Los Angeles,Bookstore,"8818 W Sunset Blvd, West Hollywood, CA 90069",https://www.booksoup.com/,info@booksoup.com,(310) 659-3110,
Athena Board Game Cafe,United States,Chicago,Tabletop Cafe,"1412 W Lunt Ave, Chicago, IL 60626",https://athenabgc.com/,contact@athenabgc.com,N/A,
Bonus Round Game Cafe,United States,Chicago,Tabletop Cafe,"3230 N Clark St, Chicago, IL 60657",https://bonusroundcafe.com/,hello@bonusroundcafe.com,(773) 857-1037,
Prism Games Chicago,United States,Chicago,Game Shop,"2874 N Milwaukee Ave, Chicago, IL 60618",https://prismgameschicago.com/,prismgameschicago@gmail.com,(773) 661-9742,
First Aid Comics (Hyde Park),United States,Chicago,Comic Shop,"1617 E 55th St, Chicago, IL 60615",https://firstaidcomics.com/,tomfirstaidcomics@gmail.com,(773) 752-6642,
First Aid Comics (Little Italy),United States,Chicago,Comic Shop,"1142 W Taylor St, Chicago, IL 60607",https://firstaidcomics.com/,tomfirstaidcomics@gmail.com,(312) 733-2080,
Building Blocks Toy Store (Lakeview),United States,Chicago,Toy Store,"3306 N Lincoln Ave, Chicago, IL 60657",https://buildingblockstoys.com/,toys2@buildingblockstoys.com,(773) 525-6200,
Building Blocks Toy Store (Wicker Park),United States,Chicago,Toy Store,"2130 W Division St, Chicago, IL 60622",https://buildingblockstoys.com/,toys2@buildingblockstoys.com,(773) 235-1888,
Toy de Jour,United States,Chicago,Toy Store,"2532 W Fullerton Ave, Chicago, IL 60647",https://toydejour.com/,toydejour@gmail.com,N/A,
Gamers World (Water Tower Place),United States,Chicago,Game Shop,"835 N Michigan Ave, Floor 4, Chicago, IL 60611",https://gamersworldchicago.net/,bjerger@gamersworldchicago.net,(312) 202-0565,
Foursided Card & Gift,United States,Chicago,Gift shop,"2958 N. Clark St., Chicago, IL 60657",https://foursided.com/,customerservice@foursided.com,(773) 244-6431,
Komoda,United States,Chicago,Gift shop,"2448 W. Chicago Ave., Chicago, IL 60622",https://shopkomoda.com/,sherri@shopkomoda.com,(773) 276-8229,
Asgard Games,United States,Houston,Game and Hobby Shop,"3302 South Shepherd Drive, Houston, TX 77098",https://asgardgames.net,asgardgameshouston@gmail.com,(713) 677-0699,
Cronos Café and Collectables,United States,Houston,Comic and Game Cafe,"16726 Huffmeister Rd D500, Cypress, TX 77429",https://cronoscafeandcollectablestx.com,cronoscafecypress@gmail.com,(346) 332-5564,
Dragon's Lair Comics and Fantasy,United States,Houston,Comic and Game Shop,"21151 Tomball Parkway, Houston, TX 77070",https://dlairhouston.com,odin@odinslair.com,(832) 761-0072,
Odin's Lair,United States,Houston,Comic and Game Shop,"21155A State Highway 249, Houston, TX 77070",https://dlairhouston.com,odin@odinslair.com,(832) 761-0072,
Toys To Love,United States,Houston,Toy Store,"1715 Post Oak Blvd, Houston, TX 77056",https://toystolove.net,service@toystolove.net,(713) 599-0099,
Space Montrose,United States,Houston,Gift Shop / Concept Store,"1706 Westheimer Road, Suite 2, Houston, TX 77098",https://spacemontrose.com/,hello@spacemontrose.com,(832) 649-5743,
Forth & Nomad,United States,Houston,Concept Store / Lifestyle Shop,"731 Yale St, Houston, TX 77007",https://forthandnomad.com/,hello@forthandnomad.com,(713) 814-8198,
Brazos Bookstore,United States,Houston,Bookstore,"2421 Bissonnet St, Houston, TX 77005",https://brazosbookstore.com/,bookbuyer@brazosbookstore.com,(713) 523-0701,
Murder By The Book,United States,Houston,Bookstore,"2342 Bissonnet St, Houston, TX 77005",https://murderbythebooks.com/,info@murderbythebooks.com,(713) 524-8597,
The Merchantile of Phoenix,United States,Phoenix,Concept Store / Boutique Marketplace,"730 E. Missouri Ave, Phoenix, AZ 85014",https://themerchantile.co,hello@themerchantile.co,(602) 296-4417,
Palabras Bilingual Bookstore,United States,Phoenix,Bookstore,"906 W. Roosevelt St, Unit 2, Phoenix, AZ 85007",https://palabrasbookstore.com,info@palabrasbookstore.com,(602) 595-9600,
The Poisoned Pen Bookstore,United States,Phoenix,Bookstore,"4014 N. Goldwater Blvd, #101, Scottsdale, AZ 85251",https://poisonedpen.com,sales@poisonedpen.com,(480) 947-2974,
The Philly Game Shop,United States,Philadelphia,Game Shop,"519 South 5th Street, Philadelphia, PA 19147",https://phillygameshop.com,staff@phillygameshop.com,215-305-9230,
Queen & Rook Game Cafe,United States,Philadelphia,Tabletop Cafe,"607 South 2nd Street, Philadelphia, PA 19147",https://queenandrookcafe.com,info@queenandrookcafe.com,215-995-0043,
Brave New Worlds,United States,Philadelphia,Comic & Game Shop,"55 N. Second St., Philadelphia, PA 19106",https://bravenewworldscomics.com,rob@bravenewworldscomics.com,215-925-6525,
Tildie's Toy Box,United States,Philadelphia,Toy Store,"1829 East Passyunk Ave, Philadelphia, PA 19148",https://tildiestoybox.com,info@tildiestoybox.com,215-334-9831,
Minnow Lane,United States,Philadelphia,Toy Store,"2029 Frankford Ave, Philadelphia, PA 19125",https://minnowlane.com,hello@minnowlane.com,215-291-1875,
Moon + Arrow,United States,Philadelphia,Concept Store,"742 S. 4th St., Philadelphia, PA 19147",https://moonandarrow.com,info@moonandarrow.com,(215) 469-1448,
Head House Books,United States,Philadelphia,Bookstore,"619 S. 2nd St., Philadelphia, PA 19147",https://headhousebooks.com,sales@headhousebooks.com,(215) 923-9525,
Heroes & Fantasies,United States,San Antonio,"Comic, Toy, and Game Shop","13013 N. US-Hwy 281, Suite 120, San Antonio, TX 78216",https://heroesandfantasies.com,adam@heroesandfantasies.com,(210) 340-0074,
Knight Watch Games,United States,San Antonio,Tabletop Game Shop,"16350 Blanco Rd, Suite 116, San Antonio, TX 78232",https://knightwatchgames.com,owners@knightwatchgames.com,(210) 888-1051,
