name,country,city,type,address,website,email,phone,status
TRÉSORS PUBLICS - boutique,France,Nice,gift shop,"18 Rue de la Préfecture, 06300 Nice, France",http://www.tresorspublics.com/,contact@tresorspublics.com,04 97 08 19 67,contacted
ICI Concept Store,France,Nice,gift shop,"24 Rue Tonduti de l'Escarène, 06000 Nice, France",https://ici-conceptstore.fr/,contact@ici-conceptstore.fr,04 93 55 67 25,contacted
Boutique Opéra,France,Nice,gift shop,"1 Rue Saint-François de Paule, 06300 Nice, France",https://www.ensoleillade-atelier.fr/,contact@ensoleilladesas.fr,09 51 81 99 53,contacted
Troc N' Troll,France,Nantes,board game store,"5 Rue de l'Arche Sèche, 44000 Nantes, France",http://www.trocntroll.fr/,trocntroll@gmail.com,02 52 10 05 61,contacted
Galaxie Games,France,Nantes,board game store,"Centre Commercial Viv'Erdre, 44240 La Chapelle-sur-Erdre, France",http://www.galaxiegames.fr/,contact@galaxiegames.fr,02 51 12 36 61,contacted
Archi Chouette Jeux et Jouets Nantes,France,Nantes,board game store,"91 Bd de la Prairie au Duc, 44200 Nantes, France",http://www.archi-chouette.fr/,lyonsupport@archi-chouette.fr,02 28 49 42 83,contacted
"Le Dédale, boutique-café ludique",France,Nantes,board game store,"10 Rdpt de la Corbinerie, 44400 Rezé, France",https://lededale.fr/,lededale.nantes@gmail.com,02 53 35 20 85,contacted
Librairie Ludique CACTUS,France,Nantes,board game store,"20 Rue de la ville en Pierre, 44000 Nantes, France",http://www.librairieludiquecactus.fr/,librairieludiquecactus@gmail.com,02 53 97 81 21,contacted
Otaku No Dera,France,Nantes,board game store,"5 Pl. Royale, 44000 Nantes, France",https://otakunodera.fr/,contact@otakunodera.fr,02 40 35 25 83,contacted
Librairie Ludique PORTAILS,France,Nantes,board game store,"18 Rue Gutenberg, 44100 Nantes, France",https://www.librairieludiqueportails.fr/,contact@librairieludiqueportails.fr,02 40 46 80 56,contacted
A Plein Rêves,France,Nantes,game shop,"13 All. du Port Maillard, 44000 Nantes, France",http://www.apleinreves.com/,apleinreves@yahoo.fr,02 40 35 22 37,contacted
Le Bonhomme De Bois,France,Nantes,toy store,"32 Rue de Verdun, 44000 Nantes, France",https://www.bonhommedebois.com/,serviceclient@bonhommedebois.com,02 28 08 59 74,contacted
"Dröm, Concept-Store 0-4ans",France,Nantes,toy store,"31 Rue de Verdun, 44000 Nantes, France",https://www.dromdesign.fr/,contact@dromdesign.fr,09 51 30 42 08,contacted
Mon Panier d'Asie,France,Nantes,Japanese store,"2 Rue de l'Échelle, 44000 Nantes, France",http://www.monpanierdasie.com/,contact@monpanierdasie.com,09 73 69 39 69,contacted
Asian Et Caraïbes,France,Nantes,Japanese store,"58 Rte de Vannes, 44100 Nantes, France",http://www.asianetcaraibes.fr/,asianetcaraibes@gmail.com,02 40 89 24 21,contacted
Soba et Sarrasin,France,Nantes,Japanese store,"4 Rue de la ville en Bois, 44100 Nantes, France",https://www.sobaetsarrasin.com/commande-en-ligne,sophie@sobaetsarrasin.com,02 40 58 87 95,contacted
Le Géant des Beaux Arts Nantes,France,Nantes,hobby shop,"2 Av. des Floralies, 44800 Saint-Herblain, France",https://www.geant-beaux-arts.fr/,bienvenue@geant-beaux-arts.fr,02 40 35 83 00,contacted
Le Géant des Beaux-Arts Ile de Nantes,France,Nantes,hobby shop,"58 Rue de l'Angélique des Estuaires, 44200 Nantes, France",https://www.geant-beaux-arts.fr/,bienvenue@geant-beaux-arts.fr,02 51 83 69 50,contacted
