name,country,city,type,address,website,email,phone,status
Games Garden Video Game Store Nuremberg,Germany,Nuremberg,board game store,"Karl-Grillenberger-Straße 16, 90402 Nürnberg, Germany",http://www.gamesgarden.de/,info@gamesgarden.de,,
GeeksNürnberg,Germany,Nuremberg,board game store,"Voltastraße 50, 90459 Nürnberg, Germany",https://www.geeksnuernberg.de/,info@geeksnuernberg.de,0176 32501085,
Elbenwald,Germany,Nuremberg,board game store,"Breite G. 16, 90402 Nürnberg, Germany",http://www.elbenwald.de/elbenwald-store-nuernberg,info@elbenwald.de,0911 21108115,
Toys - Schweiger GmbH,Germany,Nuremberg,board game store,"Eslarner Str. 2, 90482 Nürnberg, Germany",http://www.spielwaren-schweiger.de/,info@schweiger.de,0911 2491750,
Toy store Pfiffikus - Nicole Moser,Germany,Nuremberg,board game store,"Plobenhofstraße 1-9, 90403 Nürnberg, Germany",http://www.pfiffikus-spielzeug.de/,kontakt@pfiffikus-spielzeug.de,0911 241319,
Nerd Nexus Nürnberg e.V.,Germany,Nuremberg,board game store,"Nordring 107/2. Etage, 90409 Nürnberg, Germany",http://www.nerd-nexus.de/,info@nerd-nexus.de,0911 98333360,
Thalia Nürnberg,Germany,Nuremberg,board game store,"Karolinenstraße 53, 90402 Nürnberg, Germany",https://www.thalia.de/buchhandlung/5467?utm_source=google&utm_medium=gmb&utm_campaign=website&utm_content=n%C3%BCrnberg,info@thalia.de,0911 992080,
Rofu Kinderland Fürth,Germany,Nuremberg,board game store,"Waldstraße 99, 90763 Fürth, Germany",https://www.rofu.de/filialen/#!/l/furth/waldstrasse-99/1198038,shop@rofu.de,0911 7875227,
Ultra Comix Erlangen,Germany,Nuremberg,board game store,"Südliche Stadtmauerstraße 6, 91054 Erlangen, Germany",https://ultra-comix.de/,info@ultracomix.de,09131 5301308,
Müller,Germany,Nuremberg,game shop,"Königstraße 26, 90402 Nürnberg, Germany",https://www.mueller.de/meine-filiale/,service@shop.mueller.de,0911 205220,
Cam On - Asia Shop,Germany,Nuremberg,Japanese store,"Kaiserstraße 15B, 90403 Nürnberg, Germany",https://camonshop.de/,hello@camonshop.de,0911 24081284,
Dookan Indian Grocery Nuremberg Store,Germany,Nuremberg,Japanese store,"Rollnerstraße 12, 90408 Nürnberg, Germany",https://dookan.com/,support@dookan.com,0911 97699711,
Hong Kong Store,Germany,Nuremberg,Japanese store,"Vordere Sterngasse 3, 90402 Nürnberg, Germany",http://www.hongkong-store.de/,trieuvongnuong@gmail.com,0911 243028,
Kajana's Asia Shop,Germany,Nuremberg,Japan shop,"Breitscheidstraße 19, 90459 Nürnberg, Germany",http://www.kajanas-asiashop.de/,info@kajanas-asiashop.de,0911 49124,
idee. Creativmarkt Nuremberg,Germany,Nuremberg,hobby shop,"Breite G. 25/27, 90402 Nürnberg, Germany",https://www.idee-shop.com/bastelladen-nuernberg/,service@idee-shop.com,0911 24279955,
Edi's model paradise GmbH,Germany,Nuremberg,hobby shop,"Schlesierstraße 12, 90552 Röthenbach an der Pegnitz, Germany",http://www.modellbauparadies.de/,info@modellbauparadies.de,0911 5700707,
Eisenbahn Dörfler,Germany,Nuremberg,hobby shop,"Färberstraße 34/36, 90402 Nürnberg, Germany",http://www.eisenbahn-doerfler.de/,info@eisenbahn-doerfler.de,0911 227839,
boesner GmbH - Nürnberg,Germany,Nuremberg,hobby shop,"Sprottauer Str. 37, 90475 Nürnberg, Germany",https://www.boesner.com/unsere-standorte/nuernberg,nuernberg@boesner.com,0911 988620,
Model Train Ritzer,Germany,Nuremberg,hobby shop,"Kirchenweg 16, 90419 Nürnberg, Germany",http://www.modellbahnritzer.de/,info@modellbahnritzer.de,0911 346507,
Slotrace & More,Germany,Nuremberg,hobby shop,"Kirchenweg 6A, 90419 Nürnberg, Germany",http://www.slotraceandmore.de/,info@slotraceandmore.de,0911 95349141,
Frankonia Nuremberg,Germany,Nuremberg,hobby shop,"Boxdorfer Hauptstraße 65, 90427 Nürnberg, Germany",https://www.frankonia.de/service/filialen/nuernberg.html,nuernberg@frankonia.de,0911 205520,
EuroShop,Germany,Nuremberg,hobby shop,"Vordere Sterngasse 10, 90402 Nürnberg, Germany",https://euroshop-online.de/filiale,info@euroshop-online.de,0931 90004984,
NANU-NANA,Germany,Nuremberg,gift shop,"Königstraße 39, 90402 Nürnberg, Germany",https://unternehmen.nanu-nana.de/filiale/nuernberg-koenigstr-39,info@nanu-nana.de,0911 23739270,
