name,country,city,type,address,website,email,phone,status
Skan Design Studio GmbH,Germany,Nuremberg,design shop,"Fritz-Gastreich-Straße 3, 90765 Fürth, Germany",http://www.skan-design.de/,info@skan-design.de,0911 792979,
designfunktion,Germany,Nuremberg,design shop,"Hauptmarkt 2, 90403 Nürnberg, Germany",https://www.designfunktion.de/standorte/nuernberg,oberpfalz@designfunktion.de,0911 998040,
TENDENZA Nürnberg,Germany,Nuremberg,design shop,"Lorenzer Str. 2, 90402 Nürnberg, Germany",https://tendenza.de/nuernberg/,info@tendenza.de,0911 5698550,
Space + form,Germany,Nuremberg,design shop,"Fürther Str. 96, 90429 Nürnberg, Germany",https://www.design-kiste.de/,info@design-kiste.de,0911 6002216,
Wohn+Design-Forum,Germany,Nuremberg,design shop,"Ziegenstraße 92, 90482 Nürnberg, Germany",http://wd-forum.de/,juliane.ha.then@googlemail.com,0911 6604116,
WOHNSTUDIO WEINGART,Germany,Nuremberg,design shop,"Pirckheimerstraße 44, 90408 Nürnberg, Germany",https://www.format-modern.de/,anfrage@format-modern.de,0172 9823576,
BSK Office + Design GmbH,Germany,Nuremberg,design shop,"Kressengartenstraße 2, 90402 Nürnberg, Germany",http://www.bsk.de/,info@bsk.de,0911 995950,
BOLIA,Germany,Nuremberg,design shop,"Königstraße 4, 90402 Nürnberg, Germany",https://www.bolia.com/de-de/treffen-sie-uns/filialen/filiale-suchen/bolia-nurnberg-konigstrabe/?utm_source=GMBlisting_N%C3%BCrnberg&utm_medium=organic,nuernberg@bolia.com,040 87407916,
Renner Raum und Idee,Germany,Nuremberg,design shop,"Trödelmarkt 10-26, 90403 Nürnberg, Germany",https://www.renner-raumundidee.de/,renner@renner-raumundidee.de,0911 232839,
Kitchen - Loesch,Germany,Nuremberg,design shop,"Lorenzer Pl. 7/15, 90402 Nürnberg, Germany",https://www.kuechen-loesch.de/,info@kuechen-loesch.de,0911 206740,
Kaffee Lebemann,Germany,Nuremberg,tabletop cafe,"Adlerstraße 28, 90403 Nürnberg, Germany",https://shop.kaffeelebemann.de/,shop@kaffeelebemann.de,01520 5758535,
Café Wanderer & Bieramt,Germany,Nuremberg,tabletop cafe,"Beim Tiergärtnertor 2-6, 90403 Nürnberg, Germany",http://www.cafe-wanderer.de/,info@cafe-wanderer.de,,
Espressolab,Germany,Nuremberg,tabletop cafe,"Schillerstraße 14, 90409 Nürnberg, Germany",https://espresso-lab.de/,nuernberg@espressolab.com,0911 36692200,
Cafe Bar Katz,Germany,Nuremberg,tabletop cafe,"Hans-Sachs-Platz 8, 90403 Nürnberg, Germany",http://www.cafe-bar-katz.de/,info@cafe-bar-katz.de,0911 23690526,
Rösttrommel Kaffeerösterei Laufer Gasse,Germany,Nuremberg,tabletop cafe,"Äußere Laufer G. 34, 90403 Nürnberg, Germany",http://www.roesttrommel.de/,info@roesttrommel.de,0911 53994944,
Machhörndl Coffee: Espresso Brew Bar,Germany,Nuremberg,tabletop cafe,"Brunnengasse 7, 90402 Nürnberg, Germany",http://www.machhoerndl-kaffee.de/,info@machhoerndl-kaffee.de,0911 13092743,
Neef Confiserie Café,Germany,Nuremberg,tabletop cafe,"Winklerstraße 29, 90403 Nürnberg, Germany",http://www.confiserie-neef.de/,neef-confiserie@gmx.de,0911 225179,
Casa Pane,Germany,Nuremberg,tabletop cafe,"Hauptmarkt 3, 90403 Nürnberg, Germany",https://www.der-beck.de/in-ihrer-naehe/casa-pane/,info@der-beck.de,0911 6607037,
Green Center Krottenbach,Germany,Nuremberg,tabletop cafe,"Höllwiesenstraße 59, 90453 Nürnberg, Germany",https://www.gruenes-zentrum-schopf.de/,info@gruenes-zentrum-schopf.de,0911 638631,
Café Flora,Germany,Nuremberg,tabletop cafe,"Höllwiesenstraße 59, 90453 Nürnberg, Germany",https://www.gruenes-zentrum-schopf.de/cafe-flora/,info@gruenes-zentrum-schopf.de,0911 9626962,
BOB'S Rock & Bowl Fürth,Germany,Nuremberg,tabletop cafe,"Schwabacher Str. 337, 90763 Fürth, Germany",https://bobs.de/standorte/bobs-rock-bowl-fuerth/,fuerth@bobs.de,0911 78796200,
Restaurant im Literaturhaus,Germany,Nuremberg,tabletop cafe,"Luitpoldstraße 6, 90402 Nürnberg, Germany",https://www.rilh.de/,info@rilh.de,0911 2342658,
"Das Steichele, Hotel | Restaurant | Weinstube",Germany,Nuremberg,tabletop cafe,"Knorrstraße 8, 90402 Nürnberg, Germany",http://www.steichele.de/,info@steichele.de,0911 202280,
Brettspielkiste Dinslaken,Germany,Duisburg,board game store,"B-Passage, Bahnstraße 20, 46535 Dinslaken, Germany",https://brettspielkiste-dinslaken.de/,shop@brettspielkiste-dinslaken.de,02064 1417541,
Reiner Frütel Sport & Spiel,Germany,Duisburg,board game store,"Asterlager Str. 94, 47228 Duisburg, Germany",https://www.fruetel-sport-spiel.de/filiale.asp,info@sbzentralmarkt.de,02065 64814,
Mage Store,Germany,Duisburg,board game store,"Graf-Adolf-Straße 41, 40210 Düsseldorf, Germany",http://www.magestore.de/,info@magestore.de,0211 9944085,
Drachental Games & Magic,Germany,Duisburg,board game store,"Wagnerstraße 14, 40212 Düsseldorf, Germany",http://www.drachental.com/,info@drachental.com,0211 5803795,
Spieletreff Duisburg,Germany,Duisburg,board game store,"Gustav-Adolf-Straße 65, 47057 Duisburg, Germany",http://spieletreff-duisburg.de/,info@spieletreff-duisburg.de,0172 6554807,
Phoenix Inn,Germany,Duisburg,board game store,"Stöckmannstraße 90, 46045 Oberhausen, Germany",https://phoenix-inn.de/,info@phoenix-inn.de,0178 5402432,
DuK Box GmbH,Germany,Duisburg,board game store,"Giesenfeldstraße 6, 47239 Duisburg, Germany",http://www.dukbox.de/,info@dukbox.de,,
SeesawBridge,Germany,Duisburg,board game store,"Zum Grind 17, 47259 Duisburg, Germany",http://www.seesawbridge.de/,seesawbridge@web.de,01525 3591224,
Spielzeit!,Germany,Duisburg,board game store,"Ostwall 92, 47798 Krefeld, Germany",https://www.spielzeit-krefeld.de/,post@spielzeit-krefeld.de,02151 801718,
The Game Box Duisburg,Germany,Duisburg,game shop,"Königstraße 58, 47051 Duisburg, Germany",http://www.thegamebox.de/,info@thegamebox.de,,
Palladium Games,Germany,Duisburg,game shop,"Am Inzerfeld 75, 47167 Duisburg, Germany",https://www.palladiumgames.be/,support@palladiumgames.be,01521 9216315,
