name,country,city,type,address,website,email,phone,status
Faraos Cigarer,Denmark,Odense,board game store,"Klostervej 3, 5000 Odense, Denmark",http://www.faraos.dk/,faraos@faraos.dk,65 91 97 01,
Halmes Hule ApS,Denmark,Odense,board game store,"Søndergade 7A, 5000 Odense, Denmark",https://halmeshule.dk/,kontakt@halmeshule.dktlf,44 40 60 06,
Papas Papbar,Denmark,Odense,board game store,"Sankt Knuds Kirkestræde 2, 5000 Odense, Denmark",https://www.papbar.dk/,papa@papbar.dkkom,61 70 55 48,
E.P.BANKO ODENSE A/S,Denmark,Odense,board game store,"Hvidkærvej 44, 5250 Odense, Denmark",http://www.epbanko.dk/,info@epbanko.dk,66 17 55 15,
Eurotoys - Legetøj,Denmark,Odense,board game store,"Emil Neckelmanns Vej 11, 5220 Odense, Denmark",https://www.eurotoys.dk/,servicecenter@eurotoys.dk,70 40 00 60,
Loukrudt,Denmark,Odense,board game store,"Sivlandvænget 3, 5260 Odense, Denmark",http://www.loukrudt.dk/,info@loukrudt.dk,61 31 70 00,
DPH Antique Trading,Denmark,Odense,board game store,"Løkkegravene 49, 5270 Odense, Denmark",https://www.dphtrading.dk/,info@dph-trading.dk,66 18 95 95,
Good Games,Denmark,Odense,board game store,"Tøndervej 54B, 6000 Kolding, Denmark",http://www.goodgames.dk/,goodgames@goodgames.dk,27 11 59 04,
reshoppit Odense,Denmark,Odense,game shop,"Thriges Pl. 5, 5000 Odense, Denmark",https://reshoppit.dk/,vejle@reshoppit.dk,31 32 67 70,
Games Copenhagen,Denmark,Odense,game shop,"Jorcks Passage, 1159 Indre By, Denmark",http://gamesweb.dk/,info@gamesweb.dk,29 88 11 91,
Odense Data,Denmark,Odense,game shop,"Rolf Krakes Vej 29 Bolbro, Rolf Krakes Vej 29, 5200 Odense, Denmark",http://odensedata.dk/,info@odensedata.dk,66 16 90 73,
Bronx,Denmark,Odense,game shop,"Middelfartvej 115B, 5200 Odense, Denmark",http://www.bronx5200.dk/,sighej@bronx5200.dk,91 52 52 45,
Mission Afrika Genbrug Odense C,Denmark,Odense,game shop,"Vesterbro 53, B, 5000 Odense C, Denmark",https://missionafrika.dk/butik/odense-c-genbrug/,genbrug@missionafrika.dk,61 24 91 56,
All About Kids,Denmark,Odense,toy store,"Klaregade 15, 5000 Odense, Denmark",http://www.allaboutkids.dk/,cshop@allaboutkids.dkbutikkens,40 53 30 30,
BabySam Odense,Denmark,Odense,toy store,"Tagtækkervej 8, 5230 Odense M, Denmark",https://www.babysam.dk/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=71,kundeservice@babysam.dk,66 10 30 51,
BETO HOBBY Odense.,Denmark,Odense,toy store,"Sdr. Boulevard 142, 5000 Odense C, Denmark",http://www.beto-hobby.dk/,beto_hobby@hotmail.com,51 37 14 77,
Mammashop,Denmark,Odense,toy store,"Sivlandvænget 3, 5220 Odense S, Denmark",http://www.mammashop.dk/?utm_source=google&utm_medium=organic&utm_campaign=my_business,info@mammashop.dk,36 93 90 22,
The Loveshop,Denmark,Odense,toy store,"Store Gråbrødrestræde 11, 5000 Odense C, Denmark",http://www.loveshoppen.dk/,info@loveshoppen.dkadressestore,51 19 69 33,
Saigon Marked,Denmark,Odense,Japanese store,"Christine Løvmands Vej 8, 5230 Odense, Denmark",https://www.saigonmarked.dk/,info@saigonmarked.dk,65 91 40 46,
Aunt Green ApS,Denmark,Odense,Japanese store,"Vestergade 7, 5000 Odense C, Denmark",https://www.tantegroen.dk/,salg@tantegroen.dk,66 13 24 48,
The China Shop,Denmark,Odense,Japanese store,"Rosengården 13, 1174 København, Denmark",https://denkinesiskebutik.dk/,info@denkinesiskebutik.dk,33 15 33 68,
GOMA,Denmark,Odense,Japanese store,"Kongensgade 66, 68, 5000 Odense C, Denmark",http://goma.nu/,info@goma.nu,31 75 53 95,
Gordon Japansk Restaurant & Take away,Denmark,Odense,Japanese store,"Læssøegade 1, 5000 Odense, Denmark",http://www.gordonsushi.dk/,gordon@gordonsushi.dk,82 82 50 00,
"Whisky Watcher, Denmark",Denmark,Odense,Japanese store,"Kongensgade 69 F, 5000 Odense, Denmark",https://whiskywatcher.com/,info@whiskywatcher.com,66 13 95 05,
Tegne- og Kontorleverandøren A/S,Denmark,Odense,Japanese store,"Ravnholtvænget 4, 5230 Odense M, Denmark",https://www.tegneogkontor.dk/,salg@tegneogkontor.dk,66 11 36 07,
Dr. Adams,Denmark,Odense,Japanese store,"Pogestræde 24-28, 5000 Odense, Denmark",http://www.dr-adams.dk/,04mail@dr-adams.dk,66 14 55 59,
Restaurant Umashi,Denmark,Odense,Japanese store,"Vestergade 92, 5000 Odense, Denmark",https://www.umashi.dk/,info@umashi.dk,63 11 01 01,
JapanskeDanmark,Denmark,Odense,Japan shop,"Neesvej 38, 7570 Vemb, Denmark",http://www.japanskemoebler.dk/,kontoret@japanskedanmark.dk,35 29 42 00,
Dalum Ink & Hobby,Denmark,Odense,hobby shop,"Faaborgvej 37A, 5250 Odense, Denmark",http://www.dalumblæk.dk/,kundeprint@gmail.com,66 11 27 12,
Heidishobby.dk,Denmark,Odense,hobby shop,"Faaborgvej 37A, 5250 Odense SV, Denmark",http://www.heidishobby.dk/,%70%65%72%6c%65%73%79%6e%69%6e%67@%67%6d%61%69%6c.%63%6f%6d,66 11 27 12,
RC Kongen,Denmark,Odense,hobby shop,"Rebslagervej 6, 5471 Søndersø, Denmark",https://rckongen.dk/,rckongen@rckongen.dktelefonen,63 89 14 77,
RC Hobby Trucks,Denmark,Odense,hobby shop,"Ellehaven 15, 5690 Tommerup, Denmark",http://www.rchobbytrucks.dk/,kontakt@rchobbytrucks.dk,21 35 01 51,
Klods Hans,Denmark,Odense,gift shop,"Hans Jensens Stræde 34, 5000 Odense, Denmark",http://klodshansodense.com/,klodshansdk@gmail.com,66 11 09 40,
