name,country,city,type,address,website,email,phone,status
Dookan,Czech Republic,Ostrava,Japanese store,"Orlovská 791/40, Heřmanice, 713 00 Ostrava-Slezská Ostrava, Czechia",https://dookan.com/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,support@dookan.com,773 842 228,
Shopland Ostrava,Czech Republic,Ostrava,Japanese store,"Sjízdná 5554/2, 722 00 Ostrava-Třebovice, Czechia",https://shop-land.eu/ostrava/,info@shopperparkplus.hu,596 769 724,
Heiwa kafé,Czech Republic,Ostrava,Japanese store,"3058, Čs. legií 7, 702 00 Moravská Ostrava a Přívoz, Czechia",https://heiwa.japanova.cz/,heiwa@japanova.cz,603 396 936,
Gokana Japanese restaurant,Czech Republic,Ostrava,Japanese store,"Zámecká 1666/17, 702 00 Moravská Ostrava a Přívoz, Czechia",http://gokana.cz/,info@gokana.cz,720 588 588,
"Česko-japonské kulturní centrum, z.s.",Czech Republic,Ostrava,Japan shop,"3058, Čs. legií 7, 702 00 Moravská Ostrava a Přívoz, Czechia",http://www.japanova.cz/,info@japanova.cz,603 396 936,
Ippon - Shop,Czech Republic,Ostrava,Japan shop,"Česká 2908/10A, 700 30 Ostrava-jih-Zábřeh, Czechia",https://www.ipponshop.cz/,objednavka@ipponshop.cz,603 543 377,
Japa shop,Czech Republic,Ostrava,Japan shop,"Verdunská 709/21, 160 00 Praha 6-Bubeneč, Czechia",http://www.japafoods.cz/,japa@japa-shop.cz,233 320 629,
Hobby Shop s.r.o.,Czech Republic,Ostrava,hobby shop,"Žel. stanice ČD Ostrava hl.n, Nádražní 164/215, 702 00 Ostrava-Moravská Ostrava a Přívoz, Czechia",https://www.hobby-shop.cz/,info@hobby-shop.cz,603 787 270,
EXTREME HOBBY CZ/SK,Czech Republic,Ostrava,hobby shop,"28. října 439/221, 709 00 Ostrava-Mariánské Hory a Hulváky, Czechia",https://www.extreme-hobby.cz/,eshop@extreme-hobby.cz,739 402 364,
Výtvarné a umělecké potřeby Ateliér Umění,Czech Republic,Ostrava,hobby shop,"Jablonského 2091/6, 709 00 Ostrava-Mariánské Hory a Hulváky, Czechia",http://www.atelierumeni.cz/,info@atelierumeni.cz,603 921 169,
Army Shop,Czech Republic,Ostrava,hobby shop,"30A, Rudná 1117, 703 00 Ostrava-Vítkovice, Czechia",http://www.army-shop.cz/,obchod@army-shop.cz,776 648 648,
RC hračka,Czech Republic,Ostrava,hobby shop,"Panská 3012/4, 747 21 Kravaře-Kravaře u Hlučína, Czechia",https://www.rchracka.cz/,obchod@rchracka.cz,725 449 113,
STOKLASA Ostrava Avion Shopping Park,Czech Republic,Ostrava,hobby shop,"Rudná 3114/114, Zábřeh, 700 48 Ostrava-Ostrava-jih, Czechia",https://www.stoklasa.cz/prodejny/prodejna-avion-shopping-park-ostrava,eshop@stoklasa.cz,228 229 395,
Daroland obchod s dárky,Czech Republic,Ostrava,gift shop,"Bohumíra Četyny 3025/15, 700 30 Ostrava-jih-Bělský Les, Czechia",http://www.daroland.cz/,daroland@seznam.cz,731 779 425,
Suvenýry ze zoo,Czech Republic,Ostrava,gift shop,"Michálkovická 1137/197, 710 00 Slezská Ostrava, Czechia",http://www.zoo-ostrava.cz/cz/zoo/suvenyry-ze-zoo/,info@zoo-ostrava.cz,596 241 269,
Karolina Shopping Center,Czech Republic,Ostrava,gift shop,"Vítkovická 3278/3, 702 00 Moravská Ostrava a Přívoz, Czechia",https://www.intercora.cz/objekt/127,info@intercora.cz,377 510 411,
Shopping center Futurum Ostrava,Czech Republic,Ostrava,gift shop,"Novinářská 3178/6, 702 00 Moravská Ostrava a Přívoz, Czechia",https://www.futurumostrava.cz/,ocfuturum@scfinance.cz,596 693 000,
Nanu-Nana,Czech Republic,Ostrava,gift shop,"Jantarová 3344/4, 702 00 Moravská Ostrava a Přívoz, Czechia",https://unternehmen.nanu-nana.de/filialfinder,info@nanu-nana.de,596 155 144,
Ty Identity,Czech Republic,Ostrava,concept store,"2, Poštovní 39, Moravská Ostrava, 702 00 Ostrava-Moravská Ostrava a Přívoz, Czechia",http://www.tyidentity.cz/,263ostrava@tyidentity.cz,724 339 157,
KEEN Concept Store Futurum,Czech Republic,Ostrava,concept store,"3178, Novinářská 6A, 702 00 Moravská Ostrava a Přívoz, Czechia",http://www.keenfootwear.cz/,e-shop@keenfootwear.cz,596 612 979,
CVRK Ostrava,Czech Republic,Ostrava,concept store,"2, Vojanova 204, 702 00 Moravská Ostrava a Přívoz, Czechia",https://www.cvrk.cz/,letna@cvrk.czcvrk,770 101 970,
ab concept & design Ltd.,Czech Republic,Ostrava,concept store,"Hasičská 551/52, Hrabůvka, 700 30 Ostrava-Ostrava-jih, Czechia",http://www.abconcept.cz/,obchod@abconcept.cz,724 780 941,
Vivobarefoot - Shop Ostrava,Czech Republic,Ostrava,concept store,"28. října 158/212, 709 00 Ostrava-Mariánské Hory a Hulváky, Czechia",http://vivoostrava.cz/,info@vivoostrava.cz,731 827 739,
BACK2 GRAND Vintage & Second Hand,Czech Republic,Ostrava,concept store,"Nádražní 1248/16, 702 00 Ostrava-Moravská Ostrava a Přívoz, Czechia",http://www.back2grandvintage.com/,info@back2grand.com,777 267 719,
BIKOMATIC,Czech Republic,Ostrava,concept store,"1, Gebauerova 1087, 702 00 Moravská Ostrava a Přívoz, Czechia",http://www.bikomatic.cz/,info@bikomatic.cz,608 608 456,
Kavenu z.s.,Czech Republic,Plzeň,board game store,"10 2727, Husova, 301 00 Plzeň 3, Czechia",http://www.kavenu.eu/,info@kavenu.eu,,
Bílá myš,Czech Republic,Plzeň,board game store,"1, Olympia, 326 00 Plzeň-Plzeň 8-Černice, Czechia",http://www.bilamys.com/,bilamys.plzen@seznam.cz,775 362 545,
GadgetIT s.r.o.,Czech Republic,Plzeň,board game store,"Americká 1787/58, 301 00 Plzeň-Plzeň 3, Czechia",https://www.gadgetit.cz/,info@gadgetit.cz,376 588 055,
Albi prodejna - OC Olympia Plzeň,Czech Republic,Plzeň,board game store,"Písecká 972/1, 326 00 Plzeň-Plzeň 8-Černice, Czechia",http://www.albi.cz/,eshop@albi.cz,731 165 790,
GAME STATION muzeum her,Czech Republic,Plzeň,game shop,"Štefánikovo Nám. 2621/4, 301 00 Plzeň 3-Jižní Předměstí, Czechia",https://arcadeplzen.cz/,info@muzeumher.cz,721 950 832,
Bílá Myš,Czech Republic,Plzeň,game shop,"U Letiště 1074/2, 301 00 Plzeň 3-Skvrňany, Czechia",https://bilamys.com/,bilamys.plzen@seznam.cz,774 445 435,
PLANEO - Plzeň,Czech Republic,Plzeň,game shop,"Berounka park, Nákupní 1445/7, 312 00 Plzeň-Plzeň 4, Czechia",https://www.planeo.cz/,info@planeo.cz,735 700 191,
Top Pawn in Pilsen,Czech Republic,Plzeň,game shop,"Pražská 31, 301 00 Plzeň 3, Czechia",https://www.getcash.cz/,info@getcash.cz,777 313 366,
PLANEO - Plzeň,Czech Republic,Plzeň,game shop,"u Decathlonu, Stavbařská 3027/4, 301 00 Plzeň 3, Czechia",https://www.planeo.cz/,info@planeo.cz,731 094 226,
BestComp.cz - BestComputer s.r.o.,Czech Republic,Plzeň,game shop,"V Hájku 790/63, 312 00 Plzeň-Plzeň 4, Czechia",https://www.bestcomp.cz/,info@bestcomp.cz,602 443 351,
Sparkys Dárky Plzeň,Czech Republic,Plzeň,toy store,"Radčická 2861/2, 301 00 Plzeň-Plzeň 3, Czechia",https://www.sparkys.cz/prodejny,eshop@sparkys.cz,,
Bambule - Království hraček,Czech Republic,Plzeň,toy store,"27, nám. Gen. Píky 2703, Východní Předměstí, 326 00 Plzeň-Plzeň 2-Slovany, Czechia",https://www.bambule.cz/prodejna/bambule-plzen-nc-galerie-slovany,info@bambule.cz,725 491 332,
"Kočárky, autosedačky BABYBOO , Feedo Plzeň",Czech Republic,Plzeň,toy store,"OC Atom, Sokolovská 1327/74C, 323 00 Plzeň 1-Bolevec, Czechia",http://www.kocarkybabyboo.cz/,info@kocarkybabyboo.cz,,
Simply Kids - Obchod s dětským zbožím,Czech Republic,Plzeň,toy store,"Solní 6, 301 00 Plzeň-Plzeň 3, Czechia",https://www.simplykids.cz/,info@simplykids.cz,727 928 420,
Pompo,Czech Republic,Plzeň,toy store,"U Letiště 1074/2, Skvrňany, 301 00 Plzeň-Plzeň 3, Czechia",http://www.pompo.cz/,info.eshop@pompo.cz,778 547 150,
Jimbo.cz - výdejní místo,Czech Republic,Plzeň,toy store,"Masarykova 75, 312 00 Plzeň 4, Czechia",https://www.jimbo.cz/,dotazy@jimbo.cz,739 208 707,
Bambule - Království hraček,Czech Republic,Plzeň,toy store,"1, Písecká 972, 326 00 Plzeň-Plzeň 8-Černice, Czechia",http://www.bambule.cz/,info@bambule.cz,377 421 312,
Agátin svět,Czech Republic,Plzeň,toy store,"Poděbradova 8, 301 00 Plzeň 3-Jižní Předměstí, Czechia",https://www.agatinsvet.cz/,plzen@agatinsvet.cz,737 924 963,
Happy Model s.r.o.,Czech Republic,Plzeň,toy store,"Nade Mží 2, Skvrňany, 318 00 Plzeň-Plzeň 3, Czechia",https://www.happymodel.cz/,info@happymodel.cz,774 327 139,
Galerie Slovany,Czech Republic,Plzeň,toy store,"nám. Gen. Píky 2703/27, 326 00 Plzeň 2-Slovany-Východní Předměstí, Czechia",http://www.galerieslovany.cz/,drofa@galerieslovany.cz,724 703 236,
Shopping center Plzeň,Czech Republic,Plzeň,toy store,"Rokycanská 1424/128, 312 00 Plzeň 4, Czechia",https://www.oc-rokycanska.cz/,info@oc-rokycanska.cz,377 816 542,
Nugatu Škroupova,Czech Republic,Plzeň,Japanese store,"Škroupova 1982/3, 301 00 Plzeň 3, Czechia",https://www.nugatu.cz/,info@nugatu.cz,,
Japa shop,Czech Republic,Plzeň,Japanese store,"Verdunská 709/21, 160 00 Praha 6-Bubeneč, Czechia",http://www.japafoods.cz/,japa@japa-shop.cz,233 320 629,
JTEKT COLUMN SYSTEMS CZECH s.r.o.,Czech Republic,Plzeň,Japanese store,"8, Podnikatelská 1144, 301 00 Plzeň 3-Skvrňany, Czechia",http://jtekt-cs.cz/,jobs@jtekt-cs.cz,378 011 111,
Japan LP Vinyl Shop,Czech Republic,Plzeň,Japan shop,"12, Na Příkopě 853, 110 00 Praha 1-Nové Město, Czechia",http://www.japanlpshop.cz/,japanlpshop@seznam.cz,,
