name,country,city,type,address,website,email,phone,status
Funbox,Greece,Patras,board game store,"Patreos 25, Patra 262 21, Greece",http://www.funbox.gr/,info@funbox.gr,261 022 4528,
Fairyland | Παιδικό Πολυβιβλιοπωλείο,Greece,Patras,board game store,"Riga Fereou 101, Patra 262 21, Greece",http://www.fairy-land.gr/,info@fairy-land.gr,261 022 4406,
KIDERELLA,Greece,Patras,game shop,"Patreos 28, Patra 262 21, Greece",http://www.kiderella.gr/,info@kiderella.gr,261 024 3947,
BlueByte Shop,Greece,Patras,game shop,"Thessalonikis 44, Patra 264 41, Greece",https://www.bbshop.gr/,info@bbshop.gr,261 042 7494,
IQShop,Greece,Patras,game shop,"Dim. Gounari 26, Patra 262 22, Greece",https://iqshop.biz/,info@iqshop.biz,261 032 3186,
Babyloon,Greece,Patras,toy store,"Aretha 117, Patra 264 43, Greece",https://babyloon.gr/,info@babyloon.gr,697 177 9552,
Παιχνίδια Μουστάκας Πάτρα-Εμπορικό πάρκο Top Parks,Greece,Patras,toy store,"ΑΝΘΕΙΑΣ 26 &, Akti Dimeon, Patra 263 33, Greece",https://www.moustakastoys.gr/,orders@moustakastoys.gr,261 021 0250,
Jajala.gr,Greece,Patras,toy store,"Akti Dimeon 10, Patra 262 22, Greece",https://jajala.gr/,shop@jajala.gr,261 031 0555,
JOY market,Greece,Patras,Japanese store,"Paleon Patron Germanou 150, Patra 263 31, Greece",https://joymarket.gr/,info@joymarket.gr,261 600 8008,
JOY Χονδρική,Greece,Patras,Japanese store,"Marathonomachon 111, Patra 263 35, Greece",http://www.joy.com.gr/,info@joy.com.gr,261 064 0381,
Craftstore,Greece,Patras,hobby shop,"Kanari 22-24, Patra 262 22, Greece",http://www.craftstore.gr/,info@craftstore.gr,261 032 8328,
Idea,Greece,Patras,gift shop,"Gerokostopoulou 37, Patra 262 25, Greece",http://www.idea4me.gr/,contact@idea4me.gr,261 024 0796,
