name,country,city,type,address,website,email,phone,status
Dárkové zboží z Japonska,Czech Republic,Plzeň,Japan shop,"Kynského 134, 274 01 Slaný-Slaný 1, Czechia",http://www.japandarek.cz/,martin@japandarek.cz,774 352 288,
Made In Japan Europe,Czech Republic,Plzeň,Japan shop,"Zličín Praha 13 - Zličín CZ, Strojírenská 16, 155 21 Praha 13, Czechia",https://www.mijeurope.com/,info@mijeurope.com,735 171 876,
HOBBY - KOHOUT,Czech Republic,Plzeň,hobby shop,"Sušická 162/117, Božkov, 326 00 Plzeň-Plzeň 2-Slovany, Czechia",https://www.hobbykohout.cz/,obchod@hobbykohout.cz,603 900 724,
Výtvarné potřeby a rámování Artikon,Czech Republic,Plzeň,hobby shop,"Borská 629, 301 00 Plzeň 3, Czechia",http://www.artikon.cz/,info@artikon.cz,734 327 252,
MPM prodejna Plzeň,Czech Republic,Plzeň,hobby shop,"23, Přemyslova 132, 301 00 Plzeň 3-Jižní Předměstí, Czechia",http://www.mpmshop.cz/,shop@mpm.cz,774 423 087,
Western Hobby,Czech Republic,Plzeň,hobby shop,"Čelakovského 766/10, 301 00 Plzeň 3-Jižní Předměstí, Czechia",http://www.westernhobby.cz/,info@westernhobby.cz,,
U kreativní Blanky,Czech Republic,Plzeň,hobby shop,"Koterovská 593/37, 326 00 Plzeň 2-Slovany-Východní Předměstí, Czechia",http://www.ukreativniblanky.cz/,info@ukreativniblanky.czi,777 057 530,
Tvořilka,Czech Republic,Plzeň,hobby shop,"15, Přemyslova 113, 301 00 Plzeň 3, Czechia",http://www.tvorilka.cz/,info@tvorilka.cz,777 825 520,
MarketArt u Bílé paní,Czech Republic,Plzeň,hobby shop,"Palackého 74/11, 301 00 Plzeň-Plzeň 3, Czechia",https://www.marketart.cz/,info@www.marketart.cz,736 620 008,
ALFA TACTICAL,Czech Republic,Plzeň,hobby shop,"1019, Družby 1014/19, 312 00 Plzeň-Plzeň 4, Czechia",http://www.alfatactical.cz/,info@alfatactical.cz,774 949 776,
Benovo letadýlka.cz,Czech Republic,Plzeň,hobby shop,"9, Za Vodárnou 397, 326 00 Plzeň 2-Slovany-Hradiště, Czechia",http://www.benovoletadylka.cz/,info@benovoletadylka.cz,603 118 788,
Dům a zahrada Ježek s.r.o.,Czech Republic,Plzeň,hobby shop,"K Papírně 171/32, Bukovec, 312 00 Plzeň-Plzeň 4, Czechia",https://www.zahradajezek.cz/,objednavky@zahradajezek.cz,371 655 660,
Trigon Galerie a výtvarné potřeby,Czech Republic,Plzeň,hobby shop,"Perlová 12/61, 301 00 Plzeň 3, Czechia",http://trigon.gallery/,ramarstvi@trigon.gallery,377 235 729,
Gift shop Pilsner Urquell,Czech Republic,Plzeň,gift shop,"U Prazdroje 7, 301 00 Plzeň 3, Czechia",http://www.eshop.prazdroj.cz/,eshop@eshop.asahibeer.cz,377 062 438,
Výdejní a dárkové centrum,Czech Republic,Plzeň,gift shop,"12, Kollárova 259, 301 00 Plzeň 3, Czechia",http://www.vydejniadarkovecentrum.cz/,bizunatali@tiscali.czotev,608 413 763,
"Dárky na přání Plzeň, TutyDarky.cz",Czech Republic,Plzeň,gift shop,"Přemyslova 113/15, 301 00 Plzeň 3-Jižní Předměstí, Czechia",https://www.tutydarky.cz/,info@tutydarky.cz,775 966 595,
U Černé Labutě,Czech Republic,Plzeň,gift shop,"Veleslavínova 339/16, 301 00 Plzeň-Plzeň 3, Czechia",http://www.ucernelabute.cz/,info@ucernelabute.cz,777 681 409,
