name,country,city,type,address,website,email,phone,status
A4,Iceland,Reykjavik,board game store,"Skeifan, 108 Reykjavík, Iceland",https://a4.is/,a4@a4.is,580 0090,
CCP Games,Iceland,Reykjavik,game shop,"Kristínargata 1, 102 Reykjavík, Iceland",https://www.ccpgames.com/,info@ccpgames.com,540 9100,
Tölvutek,Iceland,Reykjavik,game shop,"Mörkin 3, 108 Reykjavík, Iceland",http://www.tolvutek.is/,sala@tolvutek.is,563 6900,
PokeHöllin,Iceland,Reykjavik,game shop,"Álfheimum 74, 104 Reykjavík, Iceland",http://pokehollin.is/,pokehollin@pokehollin.is,883 4440,
Computer.is,Iceland,Reykjavik,game shop,"Skipholt 50, 105 Reykjavík, Iceland",http://www.computer.is/,info@computer.is,582 6000,
ABC Skólavörur,Iceland,Reykjavik,toy store,"Sundaborg, 104 Reykjavík, Iceland",https://abcskolavorur.is/,abcskolavorur@abcskolavorur.is,588 0077,
Litla Jólabúðin,Iceland,Reykjavik,toy store,"Laugavegur 8, 101 Reykjavík, Iceland",http://www.jolabudin.is/,jolabudin@jolabudin.is,552 2412,
Kubbabúðin,Iceland,Reykjavik,toy store,"Smáralind 2 hæð, 201 Kópavogur, Iceland",https://kubbabudin.is/,kubbabudin@kubbabudin.is,551 6700,
Hokus Pokus,Iceland,Reykjavik,toy store,"Laugavegur 69, 101 Reykjavík, Iceland",http://www.hokuspokus.is/,panta@hokuspokus.is,551 7955,
Polka,Iceland,Reykjavik,toy store,"Ármúli 34, 108 Reykjavík, Iceland",https://polka.is/,polka@polka.is,778 5310,
Remember Reykjavík,Iceland,Reykjavik,toy store,"Laugavegur 32, 101 Reykjavík, Iceland",https://rememberreykjavik.com/,nadia@rememberreykjavik.com,790 6996,
Hjarta Reykjavíkur - The Heart of Reykjavik,Iceland,Reykjavik,toy store,"Laugavegur 12 b, 101 Reykjavík, Iceland",http://hjartareykjavikur.com/,johann@hjartareykjavikur.is,864 9822,
Fiska - Asian supermarket,Iceland,Reykjavik,Japanese store,"Nýbýlavegur 6, 200, 200 Kópavogur, Iceland",http://www.fiska.is/,fiska@fiska.is,571 5518,
Melabúðin,Iceland,Reykjavik,Japanese store,"107 Reykjavík, Iceland",http://www.melabudin.is/,melabudin@melabudin.is,551 0224,
MJÚK Iceland,Iceland,Reykjavik,Japan shop,"Laugavegur 23, 101 Reykjavík, Iceland",http://www.mjukiceland.com/,anna@mjukiceland.com,832 0567,
artsupplies.is • Myndlistarvöruverslunin,Iceland,Reykjavik,hobby shop,"Hrísateigur 47, 104 Reykjavík, Iceland",http://artsupplies.is/,info@artsupplies.is,888 1490,
