name,country,city,type,address,website,email,phone,status
TEDi,Croatia,Rijeka,toy store,"Martinkovac ul. 129, 51000, Rijeka, Croatia",https://www.tedi.com/stores/1823/HR/Primorsko-goranska-%C5%BEupanija/Rijeka-Marti-Retail-Park/Srdo%C4%87i/Ulica-Martinkovac-129,presse@tedi.com,01 4859 900,
Tower Center Rijeka,Croatia,Rijeka,Japanese store,"Pećine 81A, Janka Polića Kamova, 51000, Rijeka, Croatia",https://tower-center-rijeka.hr/,info@tower-center-rijeka.hr,051 403 815,
Central Market,Croatia,Rijeka,Japanese store,"Ul. Vatroslava Lisinskog, 51000, Rijeka, Croatia",https://www.rijeka-plus.hr/,info@rijeka-plus.hr,051 320 143,
Anime Shop BIG3 - Zagreb,Croatia,Rijeka,Japanese store,"Tratinska 56, 10000, Zagreb, Croatia",http://animeshopbig3.hr/,info@animeshopbig3.hr,098 966 3117,
Vrtni Centar - Viškovo | NS Agro trade d.o.o.,Croatia,Rijeka,Japanese store,"Vozišće 59/c, 51216, Viškovo, Croatia",http://vrtnicentar.hr/,info@vrtnicentar.hr,051 256 626,
Kaufland Rijeka,Croatia,Rijeka,Japanese store,"Zametska ul. 44, 51000, Rijeka, Croatia",https://www.kaufland.hr/?cid=F14685B02C1000K23556W01000000,kontakt@kaufland.hr,0800 223 223,
Tržnice Rijeka,Croatia,Rijeka,Japanese store,"Demetrova ul. 3, 51000, Rijeka, Croatia",https://www.rijeka-plus.hr/trznice-grada-rijeke/,info@rijeka-plus.hr,051 333 416,
Taiyo,Croatia,Rijeka,Japanese store,"Verdijeva ul. 19A, 51000, Rijeka, Croatia",http://www.taiyo.com.hr/,taiyosushirestaurant@gmail.com,051 550 406,
Kaufland,Croatia,Rijeka,Japan shop,"Osječka ul. 39, 51000, Rijeka, Croatia",https://www.kaufland.hr/?cid=F14685B02C1000K23556W01000000,kontakt@kaufland.hr,0800 223 223,
PALETA ART D.O.O.,Croatia,Rijeka,hobby shop,"Ul. Šime Ljubića, 51000, Rijeka, Croatia",http://www.paleta-art.hr/,paletaart.ri@gmail.com,051 321 361,
Art and Hobby - likovna radionica Rijeka,Croatia,Rijeka,hobby shop,"Pomerio 4, 51000, Rijeka, Croatia",http://www.likovnaradionica.com/,0725likovna.radionica.info@gmail.com,091 539 0725,
Aura Shop Rijeka 1,Croatia,Rijeka,gift shop,"Korzo III, 51000, Rijeka, Croatia",https://www.aura.hr/,office@auraproizvodi.com,,
Suverirnica Foto Jadranka,Croatia,Rijeka,gift shop,"Kapucinske stube 5, 51000, Rijeka, Croatia",https://www.foto-jadranka.hr/,info@foto-jadranka.hr,098 368 511,
Gifter,Croatia,Rijeka,gift shop,"Slavka Krautzeka 1, 51000, Rijeka, Croatia",http://www.gifter.hr/,info@gifter.hr,095 533 6673,
Zea - majice & tisak,Croatia,Rijeka,gift shop,"Riva 6, 51000, Rijeka, Croatia",https://zea.hr/,zearijeka@gmail.comradno,091 633 2040,
Aura Shop Tower Centar Rijeka,Croatia,Rijeka,gift shop,"Ul. Janka Polića Kamova 81a, 51000, Rijeka, Croatia",https://www.aura.hr/hr/,office@auraproizvodi.com,,
Unique Gifts,Croatia,Rijeka,gift shop,"Put Peršići 26, 51415, Oprić, Croatia",https://unikatni-pokloni.com/,info@unikatni-pokloni.comradno,095 521 0000,
ORNAMENT ethno shop,Croatia,Rijeka,gift shop,"Sokol-Kula ul. 5, 51000, Rijeka, Croatia",http://www.ornament.hr/,ornamentzadar@gmail.com,091 220 0726,
HAPPY HOME,Croatia,Rijeka,concept store,"Riva 6, 51000, Rijeka, Croatia",http://happyhome.hr/,happyhomerijeka@gmail.com,051 324 675,
Shop Supermajice.hr,Croatia,Rijeka,concept store,"Ul. Andrije Medulića 1d, 51000, Rijeka, Croatia",http://www.supermajice.hr/,info@supermajice.hr,051 315 514,
