name,country,city,type,address,website,email,phone,status
Avalon Roma,Italy,Rome,Game shop,"Via di S. Francesco a Ripa, 10, 00153 Roma",https://avalonroma.it,info@avalonroma.it,,
Al Sogno,Italy,Rome,Toy store,"Piazza Navona, 53, 00186 Roma",https://alsogno.com,info@alsogno.com,,
BoardGame Universe,Italy,Rome,Game shop,"Via di Tor Pignattara, 125, 00177 Roma",https://boardgameuniverse.it,info@boardgameuniverse.it,,
10 Corso Como,Italy,Milan,Concept Store,"Corso Como, 10, 20154 Milano MI, Italy",https://www.10corsocomo.com,shop@10corsocomo.com,+39 02 2900 2674,
Libreria Hoepli,Italy,Milan,Bookstore,"Via Ulrico Hoepli, 5, 20121 Milano MI, Italy",https://www.hoepli.it,info@hoepli.it,+39 02 864871,
Libreria Bocca,Italy,Milan,Bookstore,"Galleria Vittorio Emanuele II, 12, 20121 Milano MI, Italy",https://www.libreriabocca.com,libreriabocca@libreriabocca.com,+39 02 8646 2321,
Cargo & Hi-Tech,Italy,Milan,Design Shop,"Via Antonio Meucci, 39, 20128 Milano MI, Italy",https://www.cargomilano.it,info@cargomilano.it,+39 02 2722 131,
The Cloister,Italy,Milan,Concept Store,"Via Valpetrosa, 5, 20123 Milano MI, Italy",https://thecloister.store,info@thecloister.store,+39 02 4244 1633,
L'Arabesque,Italy,Milan,Concept Store,"Largo Augusto, 10, 20122 Milano MI, Italy",https://www.larabesque.net,info@larabesque.net,+39 02 7601 4806,
Arcadia Comics And Games Genova,Italy,Genoa,Fumetteria e negozio di giochi,"Corso Buenos Aires 10/R, 16129 Genova",https://www.arcadiagames.eu,info@arcadiagames.eu,010 4592837,
Libreria Liberrima,Italy,Bari,Bookstore / Wine Bar,"Via Alessandro Maria Calefati, 12, 70121 Bari BA, Italy",https://www.liberrima.it,libreria@liberrima.it,+39 080 919 8986,
Funside Cavallotto Ubik,Italy,Catania,Comic and Hobby Shop,"Corso Sicilia, 91, 95131 Catania CT, Italy",https://www.cavallotto.it,info@cavallotto.it,,
Comics' Collection,Italy,Catania,Comic and Game Shop,"Via Genova, 48-50-52, 95124 Catania CT, Italy",https://www.comicscollection.it,info@comicscollection.it,+39 095 437728,
Toys Planet Catania,Italy,Catania,Toy Store,"Via Gabriele D'Annunzio, 116, 95128 Catania CT, Italy",http://www.toysplanet.it,info@toysplanet.it,+39 095 509671,
