name,country,city,type,address,website,email,phone,status
Big Alpaca Comics,United States,San Antonio,Comic Shop,"5885 Babcock Rd, San Antonio, TX 78240",https://stores.comichub.com/bigalpacacomics,info@bigalpacacomics.com,(726) 300-2833,
GG's Emporium,United States,San Antonio,Toy and Collectible Shop,"1716 Blanco Rd, San Antonio, TX 78212",https://ggs-emporium.com,ggsemporiumtx@gmail.com,(210) 239-5585,
Feliz Modern,United States,San Antonio,Gift Shop / Concept Store,"110 W. Olmos Dr., San Antonio, TX 78212",https://felizmodern.com,hello@felizmodern.com,(210) 622-8364,
Feliz Modern POP,United States,San Antonio,Gift Shop / Concept Store,"303 Pearl Pkwy #104, San Antonio, TX 78215",https://felizmodern.com,hello@felizmodern.com,(210) 622-8364,
Nowhere Bookshop,United States,San Antonio,Bookstore,"5154 Broadway, San Antonio, TX 78209",https://nowherebookshop.com,orders@nowherebookshop.com,(210) 640-7260,
Teso Life,United States,San Antonio,Japanese Store / Asian Lifestyle Store,"12720 Interstate 10 Frontage Rd, San Antonio, TX 78230",https://tesolife.com,info@tesolife.com,N/A,
Guadalupe Latino Bookstore & Gift Shop,United States,San Antonio,Bookstore / Gift Shop,"1300 Guadalupe St, San Antonio, TX 78207",https://guadalupeculturalarts.org,info@guadalupeculturalarts.org,(210) 271-3151,
Pigment,United States,San Diego,Concept Store & Gift Shop,"3801 30th St, San Diego, CA 92104",https://shoppigment.com,support@shoppigment.com,(619) 501-6318,
Artelexia,United States,San Diego,Mexican Gift Shop & Concept Store,"3803 Ray St, San Diego, CA 92104",https://artelexia.com,customerservice@artelexia.com,(619) 501-6381,
The Book Catapult,United States,San Diego,Independent Bookstore,"3010-B Juniper St, San Diego, CA 92104",https://www.thebookcatapult.com,info@thebookcatapult.com,(619) 795-3780,
Mysterious Galaxy Bookstore,United States,San Diego,Independent Bookstore,"3555 Rosecrans St #107A, San Diego, CA 92110",https://www.mystgalaxy.com,mgbooks@mystgalaxy.com,(619) 539-7137,
Libélula Books & Co,United States,San Diego,Independent Bookstore,"950 S 26th St, San Diego, CA 92113",https://www.libelulabooksandco.com,info@libelulabooksandco.com,(619) 913-3046,
Common Ground Games,United States,Dallas,Board Game Store,"1314 Inwood Rd, Dallas, TX 75247",https://boardgamesdallas.com,questions@commongroundgames.com,(214) 631-4263,
